key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,2.2973,space,23.6265,space,12.7252,space,6.783,space,6.6147,space,2.6496,127,PF,-85.59998983,-64.00000633,1,0,0,response5disk_5,2,8.4638,21.60006059,3.199970254,1,0,0,rectangle_8,21.60006059,3.199970254,1,0,0,21.60006059,3.199970254,1,0,0,0,0,0,6,1,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,FF,-84.79998982,31.19997067,1,0,0,response7disk_5,1,1.9993,-6.399939823,0.799994633,1,0,0,rectangle_8,102.400013,39.99999522,1,0,0,-18.39994,-0.800029805,1,0,0,0,1,1,3,1,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.9825,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,-106.3999413,39.19997079,1,0,0,response7disk_5,1,1.0827,-5.599988639,4.799994692,1,0,0,rectangle_8,-5.599988639,4.799994692,1,0,0,-5.599988639,4.799994692,1,0,0,0,2,2,4,1,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,FF,68.00001246,-111.2000559,1,0,0,response3disk_5,4,4.0648,-9.599988699,5.59997029,1,0,0,rectangle_8,-9.599988699,5.59997029,1,0,0,-9.599988699,5.59997029,1,0,0,0,3,3,0,1,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,PF,-113.5999902,-84.00000663,1,0,0,response5disk_5,2,1.3159,7.200011551,-8.000005499,1,0,0,rectangle_8,112.0000131,24.79999499,1,0,0,-5.599988639,6.399994716,1,0,0,0,4,4,2,1,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.2493,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,62.40001237,96.79999606,1,0,0,response1disk_5,7,3.1482,-2.399939764,-3.200005427,1,0,0,rectangle_8,-2.399939764,-3.200005427,1,0,0,-2.399939764,-3.200005427,1,0,0,0,5,5,1,1,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,FF,-85.59998983,-65.60000636,1,0,0,response5disk_5,2,1.3503,7.200011551,8.799994752,1,0,0,rectangle_8,7.200011551,8.799994752,1,0,0,7.200011551,8.799994752,1,0,0,0,6,6,5,1,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0158,,,,,,,,,,,,,,,,,,,,,,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.5999,1270,61.60001236,32.79999511,1,0,0,response1disk,,6,-0.799988568,-3.200005427,1,0,0,rectangle,38.40001202,-102.4000069,1,0,0,response3disk_3,TRUE,4,4,"[75,297,225,176,150,178,194,149,157,156,166,243,78,243,11,253,236,42,1,207]",1.8996,-5.599988639,11.19997037,1,0,0,rectangle,0,0,0,25,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1992,,,,,,,,,,,,,,,,,,,,,,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,584,45.60006095,-90.40000673,1,0,0,response3disk,,4,1.600060296,3.199970254,1,0,0,rectangle,1.600060296,3.199970254,1,0,0,,,,,,,1.600060296,3.199970254,1,0,0,,0,1,1,29,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5155,,,,,,,,,,,,,,,,,,,,,,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4049,-39.19998914,-94.40000679,1,0,0,response5disk,,3,7.200011551,2.399994656,1,0,0,rectangle,7.200011551,2.399994656,1,0,0,,,,,,,7.200011551,2.399994656,1,0,0,,0,2,2,111,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1161,,,,,,,,,,,,,,,,,,,,,,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3535,105.600013,37.59997077,1,0,0,response1disk,,6,-11.99998873,-2.400029829,1,0,0,rectangle,-11.99998873,-2.400029829,1,0,0,,,,,,,-11.99998873,-2.400029829,1,0,0,,0,3,3,7,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3995,,,,,,,,,,,,,,,,,,,,,,5b2464337297750001c6ce7a,61036cf11a963688c0485a5b,2021-07-29_20h08.39.514,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2612,44.0000121,-88.00000669,1,0,0,response3disk,,4,-7.199988663,5.59997029,1,0,0,rectangle,-7.199988663,5.59997029,1,0,0,,,,,,,-7.199988663,5.59997029,1,0,0,,0,4,4,100,1,
