key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.2077,space,9.246,space,28.3039,space,7.917,space,1.8414,space,3.6388,99,PF,104.800013,-45.60000712,1,0,0,response3disk_5,5,15.8342,20.00001174,1.599993587,1,0,0,rectangle_8,20.00001174,1.599993587,1,0,0,20.00001174,1.599993587,1,0,0,0,0,0,6,1,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,-88.79998988,-32.80000693,1,0,0,response5disk_5,2,7.3831,-4.799988627,-6.400006533,1,0,0,rectangle_8,59.20001233,-113.600057,1,0,0,-3.999988616,1.599993587,1,0,0,0,1,1,2,1,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.8674,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,PF,84.80001271,-46.40000713,1,0,0,response3disk_5,5,8.8503,-18.39994,-6.400006533,1,0,0,rectangle_8,-18.39994,-6.400006533,1,0,0,-18.39994,-6.400006533,1,0,0,0,2,2,4,1,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9,PF,46.40001214,-65.60000741,1,0,0,response3disk_5,4,4.9837,-2.399939764,8.799993694,1,0,0,rectangle_8,-2.399939764,8.799993694,1,0,0,-2.399939764,8.799993694,1,0,0,0,3,3,1,1,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,FF,37.60006083,100.7999951,1,0,0,response1disk_5,7,4.683,-1.59998858,-6.400006533,1,0,0,rectangle_8,50.4000122,-107.200008,1,0,0,-4.799988627,-4.800006509,1,0,0,0,4,4,0,1,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.116,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,109,FF,-103.9999901,44.79999423,1,0,0,response7disk_5,1,5.8168,-16.79998881,-6.4373E-06,1,0,0,rectangle_8,-16.79998881,-6.4373E-06,1,0,0,-16.79998881,-6.4373E-06,1,0,0,0,5,5,5,1,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,136,FF,-52.79998934,-80.00000763,1,0,0,response5disk_5,3,4.8503,-0.799988568,-8.800006568,1,0,0,rectangle_8,-0.799988568,-8.800006568,1,0,0,-0.799988568,-8.800006568,1,0,0,0,6,6,3,1,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.4336,,,,,,,,,,,,,,,,,,,,,,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.3318,3294,45.60006095,-84.00000769,1,0,0,response3disk,,4,4.800011516,7.19999367,1,0,0,rectangle,36.80001199,-108.8000081,1,0,0,response3disk_3,TRUE,4,4,"[315,289,310,291,236,108,168,245,8,236,122,166,265,226,164,1,16,52,6,173]",1.584,0.800011456,-9.60000658,1,0,0,rectangle,0,0,0,17,1,
,,,,,,,,,,,,,FF,,,,,,,,2.5339,,,,,,,,,,,,,,,,,,,,,,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2876,30.4000119,-86.40000772,1,0,0,response3disk,,4,-9.599988699,-0.800006449,1,0,0,rectangle,-9.599988699,-0.800006449,1,0,0,,,,,,,-9.599988699,-0.800006449,1,0,0,,0,1,1,129,1,
,,,,,,,,,,,,,FF,,,,,,,,5.2333,,,,,,,,,,,,,,,,,,,,,,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,68,-39.19998914,-98.4000079,1,0,0,response5disk,,3,-7.999988675,-1.600006461,1,0,0,rectangle,-7.999988675,-1.600006461,1,0,0,,,,,,,-7.999988675,-1.600006461,1,0,0,,0,2,2,1,1,
,,,,,,,,,,,,,FF,,,,,,,,3.3532,,,,,,,,,,,,,,,,,,,,,,5b76e19d948cc40001da0e50,610377bad87e153c2cccc7fe,2021-07-30_06h01.01.187,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1167,53.60001224,-88.80000776,1,0,0,response3disk,,4,-6.399939823,4.799993634,1,0,0,rectangle,-6.399939823,4.799993634,1,0,0,,,,,,,-6.399939823,4.799993634,1,0,0,,0,3,3,131,1,
