key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.334,space,37.376,space,52.372,space,18.686,space,6.022,space,5.506,41,FF,-99,44.5,1,0,0,response7disk_5,1,3.251,-5,4.5,1,0,0,rectangle_8,-5,4.5,1,0,0,-5,4.5,1,0,0,0,0,0,3,1,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,-70,93.5,1,0,0,response7disk_5,0,4.8,6,-3.5,1,0,0,rectangle_8,-37,-105.5,1,0,0,-3,2.5,1,0,0,0,1,1,6,1,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,4.301,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,FF,-39,105.5,1,0,0,response7disk_5,0,9.35,2,3.5,1,0,0,rectangle_8,2,3.5,1,0,0,2,3.5,1,0,0,0,2,2,5,1,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,FF,45,100.5,1,0,0,response1disk_5,7,4.316,2,-1.5,1,0,0,rectangle_8,2,-1.5,1,0,0,2,-1.5,1,0,0,0,3,3,0,1,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,PF,49,117.5,1,0,0,response1disk_5,7,5.85,-1,3.5,1,0,0,rectangle_8,-50,-106.5,1,0,0,2,1.5,1,0,0,0,4,4,1,1,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.082,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,37,99.5,1,0,0,response1disk_5,7,5.583,4,0.5,1,0,0,rectangle_8,4,0.5,1,0,0,4,0.5,1,0,0,0,5,5,2,1,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,PF,-46,119.5,1,0,0,response7disk_5,0,2.767,-3,5.5,1,0,0,rectangle_8,-3,5.5,1,0,0,-3,5.5,1,0,0,0,6,6,4,1,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.983,,,,,,,,,,,,,,,,,,,,,,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,5.227,1014,56,112.5,1,0,0,response1disk,,7,-1,0.5,1,0,0,rectangle,-1,0.5,1,0,0,-1,0.5,1,0,0,0,0,0,106,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.634,,,,,,,,,,,,,,,,,,,,,,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,751,50,122.5,1,0,0,response1disk,,7,-3,0.5,1,0,0,rectangle,-3,0.5,1,0,0,-3,0.5,1,0,0,0,1,1,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.667,,,,,,,,,,,,,,,,,,,,,,5e8ec3e28ee4fe17502d74eb,6103764a31b0121be5202ca6,2021-07-29_22h57.13.687,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,383,61,137.5,1,0,0,response1disk,,7,-4,-0.5,1,0,0,rectangle,-4,-0.5,1,0,0,-4,-0.5,1,0,0,0,2,2,92,1,,,,,,,,
