key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.3097,space,12.8315,space,34.9793,space,15.362,space,3.9839,space,6.5939,79,FF,27,75,1,0,0,response1disk_5,7,11.0992,9,-6,1,0,0,rectangle_8,9,-6,1,0,0,9,-6,1,0,0,0,0,0,5,1,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,FF,98,-41,1,0,0,response3disk_5,5,6.1474,-18,-3,1,0,0,rectangle_8,-38,79,1,0,0,-6,-6,1,0,0,0,1,1,0,1,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.4491,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,43,100,1,0,0,response1disk_5,7,2.6323,-6,-1,1,0,0,rectangle_8,-6,-1,1,0,0,-6,-1,1,0,0,0,2,2,6,1,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,FF,33,-81,1,0,0,response3disk_5,4,4.3486,5,0,1,0,0,rectangle_8,5,0,1,0,0,5,0,1,0,0,0,3,3,3,1,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,96,36,1,0,0,response1disk_5,6,2.0326,18,-4,1,0,0,rectangle_8,-40,88,1,0,0,7,-9,1,0,0,0,4,4,1,1,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.8161,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,-37,88,1,0,0,response7disk_5,0,3.2155,-12,3,1,0,0,rectangle_8,-12,3,1,0,0,-12,3,1,0,0,0,5,5,4,1,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,PF,-53,-33,1,0,0,response5disk_5,2,3.7656,-13,10,1,0,0,rectangle_8,-13,10,1,0,0,-13,10,1,0,0,0,6,6,2,1,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.8825,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.0045,396,49,86,1,0,0,response1disk,,7,3,10,1,0,0,rectangle,3,10,1,0,0,3,10,1,0,0,0,0,0,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8324,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2637,81,-42,1,0,0,response3disk,,5,7,2,1,0,0,rectangle,7,2,1,0,0,7,2,1,0,0,0,1,1,110,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.1818,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1587,58,-31,1,0,0,response3disk,,5,-2,9,1,0,0,rectangle,-2,9,1,0,0,-2,9,1,0,0,0,2,2,93,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7825,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1953,38,65,1,0,0,response1disk,,7,9,-9,1,0,0,rectangle,9,-9,1,0,0,9,-9,1,0,0,0,3,3,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2489,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,310,86,36,1,0,0,response1disk,,6,2,2,1,0,0,rectangle,2,2,1,0,0,2,2,1,0,0,0,4,4,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9494,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,771,54,22,1,0,0,response1disk,,6,22,1,1,0,0,rectangle,22,1,1,0,0,22,1,1,0,0,0,5,5,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6487,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3946,59,-71,1,0,0,response3disk,,4,0,-10,1,0,0,rectangle,0,-10,1,0,0,0,-10,1,0,0,0,6,6,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5657,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1356,59,110,1,0,0,response1disk,,7,5,-13,1,0,0,rectangle,5,-13,1,0,0,5,-13,1,0,0,0,7,7,85,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9164,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2560,25,75,1,0,0,response1disk,,7,-4,0,1,0,0,rectangle,-4,0,1,0,0,-4,0,1,0,0,0,8,8,8,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9994,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2362,-22,-76,1,0,0,response5disk,,3,3,4,1,0,0,rectangle,3,4,1,0,0,3,4,1,0,0,0,9,9,20,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3494,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1305,38,-84,1,0,0,response3disk,,4,11,4,1,0,0,rectangle,11,4,1,0,0,11,4,1,0,0,0,10,10,97,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4496,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3132,81,53,1,0,0,response1disk,,6,11,3,1,0,0,rectangle,11,3,1,0,0,11,3,1,0,0,0,11,11,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1498,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,828,39,68,1,0,0,response1disk,,7,-1,12,1,0,0,rectangle,-1,12,1,0,0,-1,12,1,0,0,0,12,12,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.9312,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2651,44,-30,1,0,0,response3disk,,5,15,-13,1,0,0,rectangle,15,-13,1,0,0,15,-13,1,0,0,0,13,13,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7661,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1610,-34,-64,1,0,0,response5disk,,3,-7,-7,1,0,0,rectangle,-7,-7,1,0,0,-7,-7,1,0,0,0,14,14,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.749,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2292,-74,41,1,0,0,response7disk,,1,30,4,1,0,0,rectangle,-31,85,1,0,0,11,-6,1,0,0,0,15,15,121,1,,response7disk_3,TRUE,0,0,"[108,127,52,114,235,187,104,72,36,62,98,17,233,284,187,288,235,16,209,209]",1.7167,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.5492,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1983,70,40,1,0,0,response1disk,,6,-11,-7,1,0,0,rectangle,-38,88,1,0,0,1,-1,1,0,0,0,16,16,15,1,,response7disk_3,TRUE,0,0,"[108,127,52,114,235,187,104,72,36,62,98,17,233,284,187,288,235,16,209,209]",2.3493,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.8995,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,650,42,85,1,0,0,response1disk,,7,6,12,1,0,0,rectangle,6,12,1,0,0,6,12,1,0,0,0,17,17,70,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0993,,,,,,,,,,,,,,,,,,,,,,5ecfd0b927d04d049d65b73d,61036eccf7272343cda563b6,2021-07-30_05h17.29.921,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,813,69,94,1,0,0,response1disk,,7,16,-15,1,0,0,rectangle,16,-15,1,0,0,16,-15,1,0,0,0,18,18,159,1,,,,,,,,
