key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3261,space,5.3345,space,14.3407,space,1.917,space,1.195,space,2.5285,82,FF,-112,55,1,0,0,response7disk_5,1,1.5415,10,-10,1,0,0,rectangle_8,10,-10,1,0,0,10,-10,1,0,0,0,0,0,0,1,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,-104,-97,1,0,0,response5disk_5,2,5.7114,-3,7,1,0,0,rectangle_8,60,121,1,0,0,1,-3,1,0,0,0,1,1,4,1,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,3.9498,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,PF,84,102,1,0,0,response1disk_5,7,3.2434,15,-16,1,0,0,rectangle_8,15,-16,1,0,0,15,-16,1,0,0,0,2,2,1,1,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,PF,122,39,1,0,0,response1disk_5,6,5.542,2,0,1,0,0,rectangle_8,2,0,1,0,0,2,0,1,0,0,0,3,3,6,1,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,-88,-62,1,0,0,response5disk_5,2,2.0626,-17,-13,1,0,0,rectangle_8,49,95,1,0,0,12,-14,1,0,0,0,4,4,3,1,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,3.5071,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,PF,-77,-52,1,0,0,response5disk_5,2,4.6391,10,6,1,0,0,rectangle_8,10,6,1,0,0,10,6,1,0,0,0,5,5,2,1,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,FF,-71,-43,1,0,0,response5disk_5,2,2.6669,6,-9,1,0,0,rectangle_8,6,-9,1,0,0,6,-9,1,0,0,0,6,6,5,1,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.861,,,,,,,,,,,,,,,,,,,,,,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,6.8171,3473,-87,-53,1,0,0,response5disk,,2,-18,0,1,0,0,rectangle,-18,0,1,0,0,-18,0,1,0,0,0,0,0,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0513,,,,,,,,,,,,,,,,,,,,,,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,570,72,-133,1,0,0,response3disk,,4,-23,-14,1,0,0,rectangle,-23,-14,1,0,0,-23,-14,1,0,0,0,1,1,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3892,,,,,,,,,,,,,,,,,,,,,,5eebcc4620cb9a33cd0df72d,61036e083870dce2f2b6664d,2021-07-30_04h12.37.379,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3784,81,-131,1,0,0,response3disk,,4,4,3,1,0,0,rectangle,4,3,1,0,0,4,3,1,0,0,0,2,2,80,1,,,,,,,,
