key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.5866,space,29.3518,space,40.4172,space,12.6324,space,21.3021,space,8.0911,44,PF,33,-105,1,0,0,response3disk_5,4,15.5081,2,2,1,0,0,rectangle_8,2,2,1,0,0,2,2,1,0,0,0,0,0,4,1,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,127,FF,74,-34,1,0,0,response3disk_5,5,11.9157,-3,0,1,0,0,rectangle_8,-76,-46,1,0,0,15,-8,1,0,0,0,1,1,0,1,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.3985,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,FF,61,107,1,0,0,response1disk_5,7,3.4334,-12,-6,1,0,0,rectangle_8,-12,-6,1,0,0,-12,-6,1,0,0,0,2,2,3,1,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,-35,85,1,0,0,response7disk_5,0,3.9831,4,-8,1,0,0,rectangle_8,4,-8,1,0,0,4,-8,1,0,0,0,3,3,6,1,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,FF,33,81,1,0,0,response1disk_5,7,5.6351,4,5,1,0,0,rectangle_8,-80,-35,1,0,0,13,5,1,0,0,0,4,4,5,1,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.1836,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,PF,-86,-45,1,0,0,response5disk_5,2,3.682,14,-5,1,0,0,rectangle_8,14,-5,1,0,0,14,-5,1,0,0,0,5,5,1,1,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,PF,31,-79,1,0,0,response3disk_5,4,2.6173,9,3,1,0,0,rectangle_8,9,3,1,0,0,9,3,1,0,0,0,6,6,2,1,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1861,,,,,,,,,,,,,,,,,,,,,,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2927,1600,-63,-38,1,0,0,response5disk,,2,16,-2,1,0,0,rectangle,16,-2,1,0,0,16,-2,1,0,0,0,0,0,145,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1548,,,,,,,,,,,,,,,,,,,,,,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3475,-73,31,1,0,0,response7disk,,1,0,1,1,0,0,rectangle,0,1,1,0,0,0,1,1,0,0,0,1,1,78,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6384,,,,,,,,,,,,,,,,,,,,,,5f63b9d3a83a7d0ecdda4eb2,61037757864e7cffc8c688f6,2021-07-29_22h55.54.830,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2809,76,54,1,0,0,response1disk,,6,11,-2,1,0,0,rectangle,11,-2,1,0,0,11,-2,1,0,0,0,2,2,63,1,,,,,,,,
