key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.5355,space,26.0567,space,17.0923,space,6.2624,space,2.368,space,3.4349,6,FF,71.22722799,-40.2727021,1,0,0,response3disk_5,5,9.6322,-9.98488766,2.151537418,1,0,0,rectangle_8,-9.98488766,2.151537418,1,0,0,-9.98488766,2.151537418,1,0,0,0,0,0,0,1,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,PF,74.86359137,30.63638395,1,0,0,response1disk_5,6,2.083,10.01514796,-5.72724992,1,0,0,rectangle_8,-41.50007401,90.03030078,1,0,0,-0.287918627,-5.121189356,1,0,0,0,1,1,4,1,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.8494,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,50.62116879,67.60607839,1,0,0,response1disk_5,7,2.883,-4.530342579,-2.696947098,1,0,0,rectangle_8,-4.530342579,-2.696947098,1,0,0,-4.530342579,-2.696947098,1,0,0,0,2,2,2,1,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,FF,63.95450121,33.0606447,1,0,0,response1disk_5,6,2.6822,6.378710591,3.363658547,1,0,0,rectangle_8,6.378710591,3.363658547,1,0,0,6.378710591,3.363658547,1,0,0,0,3,3,5,1,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,78.49995476,34.27274734,1,0,0,response1disk_5,6,1.2324,5.772687018,-0.27270484,1,0,0,rectangle_8,-27.56060704,71.84848384,1,0,0,-0.893979192,2.757597983,1,0,0,0,4,4,1,1,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.5986,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,-78.46969446,34.27274734,1,0,0,response7disk_5,1,4.1832,-8.166705966,-3.303007662,1,0,0,rectangle_8,-8.166705966,-3.303007662,1,0,0,-8.166705966,-3.303007662,1,0,0,0,5,5,3,1,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,PF,77.28783363,38.51517129,1,0,0,response1disk_5,6,1.3498,13.04541379,3.969719112,1,0,0,rectangle_8,13.04541379,3.969719112,1,0,0,13.04541379,3.969719112,1,0,0,0,6,6,6,1,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8648,,,,,,,,,,,,,,,,,,,,,,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.4022,3376,29.40904903,72.4545629,1,0,0,response1disk,,7,-4.530342579,-3.909068227,1,0,0,rectangle,-4.530342579,-3.909068227,1,0,0,-4.530342579,-3.909068227,1,0,0,0,0,0,129,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6998,,,,,,,,,,,,,,,,,,,,,,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1035,21.5302617,-59.66664016,1,0,0,response3disk,,4,-2.712160885,3.363658547,1,0,0,rectangle,-2.712160885,3.363658547,1,0,0,-2.712160885,3.363658547,1,0,0,0,1,1,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1186,,,,,,,,,,,,,,,,,,,,,,60f3bc4e36762e0c2d9132cb,61036f849502754c05212a36,2021-07-29_23h25.23.886,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,983,-43.3182557,-56.03027678,1,0,0,response5disk,,3,3.348518742,-3.909068227,1,0,0,rectangle,3.348518742,-3.909068227,1,0,0,3.348518742,-3.909068227,1,0,0,0,2,2,153,1,,,,,,,,
