key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.8712,space,19.0333,space,19.4448,space,5.3841,space,2.3929,space,4.9286,94,FF,26.66668653,84.66665846,1,0,0,response1disk_5,7,3.7979,2.000019133,-2.666677475,1,0,0,rectangle_8,2.000019133,-2.666677475,1,0,0,2.000019133,-2.666677475,1,0,0,0,0,0,0,1,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,PF,40.66668695,-78.00001305,1,0,0,response3disk_5,4,2.8663,-1.999980986,4.666656077,1,0,0,rectangle_8,89.33335507,37.33330337,1,0,0,-11.3333146,-9.33334434,1,0,0,0,1,1,6,1,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.7001,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,141,PF,40.66668695,86.66665852,1,0,0,response1disk_5,7,1.6832,2.66668582,-1.333344102,1,0,0,rectangle_8,2.66668582,-1.333344102,1,0,0,2.66668582,-1.333344102,1,0,0,0,2,2,2,1,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,PF,38.66668689,-82.66667986,1,0,0,response3disk_5,4,7.4819,22.66668642,-6.000010908,1,0,0,rectangle_8,22.66668642,-6.000010908,1,0,0,22.66668642,-6.000010908,1,0,0,0,3,3,1,1,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,FF,46.00002044,-109.3333473,1,0,0,response3disk_5,4,5.049,14.66668618,-5.333344221,1,0,0,rectangle_8,83.33335489,45.99999064,1,0,0,10.00001937,-2.000010788,1,0,0,0,4,4,3,1,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.8664,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,46.66668713,85.3333048,1,0,0,response1disk_5,7,4.4656,18.6666863,1.999989331,1,0,0,rectangle_8,18.6666863,1.999989331,1,0,0,18.6666863,1.999989331,1,0,0,0,5,5,4,1,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,FF,-47.33331567,-77.33334637,1,0,0,response5disk_5,3,2.1832,-8.666607161,5.99998945,1,0,0,rectangle_8,-8.666607161,5.99998945,1,0,0,-8.666607161,5.99998945,1,0,0,0,6,6,5,1,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.3502,,,,,,,,,,,,,,,,,,,,,,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.8941,4128,-36.666608,-84.00001323,1,0,0,response5disk,,3,3.333393196,-1.07288E-05,1,0,0,rectangle,3.333393196,-1.07288E-05,1,0,0,3.333393196,-1.07288E-05,1,0,0,0,0,0,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.0824,,,,,,,,,,,,,,,,,,,,,,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,273,93.33335519,28.66665679,1,0,0,response1disk,,6,-5.333314419,-3.333344162,1,0,0,rectangle,-5.333314419,-3.333344162,1,0,0,-5.333314419,-3.333344162,1,0,0,0,1,1,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5493,,,,,,,,,,,,,,,,,,,,,,60f4e713c05794eb144760df,61036af6360a8e49a79c85a6,2021-07-29_21h59.42.208,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2951,-43.99998224,-79.33334643,1,0,0,response5disk,,3,-2.666606983,9.333322883,1,0,0,rectangle,-2.666606983,9.333322883,1,0,0,-2.666606983,9.333322883,1,0,0,0,2,2,159,1,,,,,,,,
