key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.3586,space,85.9664,space,202.6007,space,58.8016,space,7.8191,space,12.9042,74,PF,64,-52,1,0,0,response3disk_5,5,12.9788,-26,-4,1,0,0,rectangle_8,-26,-4,1,0,0,-26,-4,1,0,0,0,0,0,6,1,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,75,PF,100,-72,1,0,0,response3disk_5,5,7.4026,-25,-1,1,0,0,rectangle_8,-47,-107,1,0,0,14,7,1,0,0,0,1,1,2,1,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,15.6615,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,FF,-130,-63,1,0,0,response5disk_5,2,5.3186,-12,-8,1,0,0,rectangle_8,-12,-8,1,0,0,-12,-8,1,0,0,0,2,2,3,1,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,FF,74,-29,1,0,0,response3disk_5,5,2.5145,3,-2,1,0,0,rectangle_8,3,-2,1,0,0,3,-2,1,0,0,0,3,3,5,1,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,PF,-55,-102,1,0,0,response5disk_5,3,3.4906,1,15,1,0,0,rectangle_8,-104,59,1,0,0,-20,13,1,0,0,0,4,4,1,1,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,5.324,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,PF,26,-95,1,0,0,response3disk_5,4,4.4067,2,14,1,0,0,rectangle_8,2,14,1,0,0,2,14,1,0,0,0,5,5,4,1,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,87,FF,80,-69,1,0,0,response3disk_5,5,3.3349,-21,12,1,0,0,rectangle_8,-21,12,1,0,0,-21,12,1,0,0,0,6,6,0,1,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.451,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,5.0122,3302,83,-63,1,0,0,response3disk,,5,0,-8,1,0,0,rectangle,0,-8,1,0,0,0,-8,1,0,0,0,0,0,156,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5391,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2698,98,-62,1,0,0,response3disk,,5,18,-15,1,0,0,rectangle,18,-15,1,0,0,18,-15,1,0,0,0,1,1,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0128,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4077,100,-46,1,0,0,response3disk,,5,17,-8,1,0,0,rectangle,17,-8,1,0,0,17,-8,1,0,0,0,2,2,76,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.8308,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1550,98,-50,1,0,0,response3disk,,5,8,7,1,0,0,rectangle,8,7,1,0,0,8,7,1,0,0,0,3,3,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4696,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4230,130,34,1,0,0,response1disk,,6,0,-14,1,0,0,rectangle,0,-14,1,0,0,0,-14,1,0,0,0,4,4,75,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.0345,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2216,120,-72,1,0,0,response3disk,,5,9,-1,1,0,0,rectangle,9,-1,1,0,0,9,-1,1,0,0,0,5,5,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0185,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,471,87,34,1,0,0,response1disk,,6,-14,-10,1,0,0,rectangle,-14,-10,1,0,0,-14,-10,1,0,0,0,6,6,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.592,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,821,68,-36,1,0,0,response3disk,,5,-4,-4,1,0,0,rectangle,-4,-4,1,0,0,-4,-4,1,0,0,0,7,7,91,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.618,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1956,-58,94,1,0,0,response7disk,,0,-20,4,1,0,0,rectangle,-20,4,1,0,0,-20,4,1,0,0,0,8,8,67,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2015,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2146,98,31,1,0,0,response1disk,,6,-17,-8,1,0,0,rectangle,-17,-8,1,0,0,-17,-8,1,0,0,0,9,9,57,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3440,106,-62,1,0,0,response3disk,,5,7,6,1,0,0,rectangle,7,6,1,0,0,7,6,1,0,0,0,10,10,68,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8339,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1976,119,-41,1,0,0,response3disk,,5,-10,-11,1,0,0,rectangle,-10,-11,1,0,0,-10,-11,1,0,0,0,11,11,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9009,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4280,-64,89,1,0,0,response7disk,,0,-4,-21,1,0,0,rectangle,51,99,1,0,0,-10,-9,1,0,0,0,12,12,123,1,,response1disk_3,TRUE,7,7,"[100,296,88,15,86,310,181,143,291,13,158,270,104,276,251,68,268,244,107,234]",4.2704,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.8505,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2270,89,-59,1,0,0,response3disk,,5,-19,4,1,0,0,rectangle,-19,4,1,0,0,-19,4,1,0,0,0,13,13,143,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5843,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2959,51,90,1,0,0,response1disk,,7,14,-11,1,0,0,rectangle,-114,37,1,0,0,-2,-5,1,0,0,0,14,14,157,1,,response7disk_3,TRUE,1,1,"[100,296,88,15,86,310,181,143,291,13,158,270,104,276,251,68,268,244,107,234]",3.151,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.2676,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,539,108,41,1,0,0,response1disk,,6,-17,-9,1,0,0,rectangle,-17,-9,1,0,0,-17,-9,1,0,0,0,15,15,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6863,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,80,-77,-118,1,0,0,response5disk,,3,16,-5,1,0,0,rectangle,16,-5,1,0,0,16,-5,1,0,0,0,16,16,14,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8345,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2922,36,66,1,0,0,response1disk,,7,-2,-18,1,0,0,rectangle,-2,-18,1,0,0,-2,-18,1,0,0,0,17,17,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0671,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1454,-54,89,1,0,0,response7disk,,0,-10,5,1,0,0,rectangle,-10,5,1,0,0,-10,5,1,0,0,0,18,18,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5847,,,,,,,,,,,,,,,,,,,,,,60f8d449cbfb4e157c2d7c09,61037705ffc2a1abcda5b116,2021-07-29_22h56.38.561,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1471,79,35,1,0,0,response1disk,,6,-18,-19,1,0,0,rectangle,-18,-19,1,0,0,-18,-19,1,0,0,0,19,19,63,1,,,,,,,,
