key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,27.8102,space,34.5325,space,25.3437,space,16.9342,space,4.2904,space,4.1503,48,FF,57,112,1,0,0,response1disk_5,7,5.0519,-9,-1,1,0,0,rectangle_8,-9,-1,1,0,0,-9,-1,1,0,0,0,0,0,5,1,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,PF,117,49,1,0,0,response1disk_5,6,6.7167,15,11,1,0,0,rectangle_8,49,-139,1,0,0,-11,-7,1,0,0,0,1,1,4,1,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,4.134,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,PF,99,39,1,0,0,response1disk_5,6,4.3176,9,-12,1,0,0,rectangle_8,9,-12,1,0,0,9,-12,1,0,0,0,2,2,6,1,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,-66,-107,1,0,0,response5disk_5,3,6.0497,-11,-5,1,0,0,rectangle_8,-11,-5,1,0,0,-11,-5,1,0,0,0,3,3,0,1,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62,PF,114,-41,1,0,0,response3disk_5,5,3.6171,19,2,1,0,0,rectangle_8,58,-134,1,0,0,-4,-3,1,0,0,0,4,4,2,1,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.783,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,106,-67,1,0,0,response3disk_5,5,4.8499,8,-8,1,0,0,rectangle_8,8,-8,1,0,0,8,-8,1,0,0,0,5,5,1,1,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,FF,96,45,1,0,0,response1disk_5,6,3.4832,-5,-16,1,0,0,rectangle_8,-5,-16,1,0,0,-5,-16,1,0,0,0,6,6,3,1,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.6335,,,,,,,,,,,,,,,,,,,,,,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.1597,4241,37,-144,1,0,0,response3disk,,4,-20,5,1,0,0,rectangle,-20,5,1,0,0,-20,5,1,0,0,0,0,0,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8835,,,,,,,,,,,,,,,,,,,,,,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1015,116,42,1,0,0,response1disk,,6,0,-12,1,0,0,rectangle,0,-12,1,0,0,0,-12,1,0,0,0,1,1,23,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0848,,,,,,,,,,,,,,,,,,,,,,60f974cd86441b6d038c484f,61036ed1db302659b0568e66,2021-07-30_00h16.36.359,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,820,56,-109,1,0,0,response3disk,,4,6,-8,1,0,0,rectangle,6,-8,1,0,0,6,-8,1,0,0,0,2,2,69,1,,,,,,,,
