key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,157.9223,space,20.4095,space,24.1033,space,25.152,space,2.576,space,7.0165,126,FF,58,-83,1,0,0,response3disk_5,4,16.9667,-13,5,1,0,0,rectangle_8,-13,5,1,0,0,-13,5,1,0,0,0,0,0,3,1,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,PF,83,61,1,0,0,response1disk_5,6,9.9029,0,2,1,0,0,rectangle_8,-72,55,1,0,0,-2,4,1,0,0,0,1,1,1,1,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,6.2011,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,PF,50,-61,1,0,0,response3disk_5,4,9.203,2,4,1,0,0,rectangle_8,2,4,1,0,0,2,4,1,0,0,0,2,2,2,1,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,PF,-40,-102,1,0,0,response5disk_5,3,7.7194,8,5,1,0,0,rectangle_8,8,5,1,0,0,8,5,1,0,0,0,3,3,4,1,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38,FF,34,105,1,0,0,response1disk_5,7,5.4849,13,-7,1,0,0,rectangle_8,-87,39,1,0,0,9,5,1,0,0,0,4,4,5,1,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,6.7961,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,137,PF,42,94,1,0,0,response1disk_5,7,4.0377,6,-10,1,0,0,rectangle_8,6,-10,1,0,0,6,-10,1,0,0,0,5,5,6,1,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,FF,35,87,1,0,0,response1disk_5,7,2.8674,17,6,1,0,0,rectangle_8,17,6,1,0,0,17,6,1,0,0,0,6,6,0,1,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5865,,,,,,,,,,,,,,,,,,,,,,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,5.6286,1864,77,43,1,0,0,response1disk,,6,2,2,1,0,0,rectangle,2,2,1,0,0,2,2,1,0,0,0,0,0,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.9502,,,,,,,,,,,,,,,,,,,,,,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2075,40,81,1,0,0,response1disk,,7,19,-2,1,0,0,rectangle,19,-2,1,0,0,19,-2,1,0,0,0,1,1,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.1719,,,,,,,,,,,,,,,,,,,,,,60fb2cd6d4e01d29d28c7f36,610368944c5946437063b123,2021-07-30_04h49.52.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3059,60,-22,1,0,0,response3disk,,5,-15,1,1,0,0,rectangle,-15,1,1,0,0,-15,1,1,0,0,0,2,2,110,1,,,,,,,,
