key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.935,space,8.094,space,26.734,space,8.485,space,1.266,space,4.011,128,PF,-84,38,1,0,0,response7disk_5,1,7.069,2,-2,1,0,0,rectangle_8,2,-2,1,0,0,2,-2,1,0,0,0,0,0,4,1,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,FF,-36,-68,1,0,0,response5disk_5,3,2.365,7,4,1,0,0,rectangle_8,24,-70,1,0,0,-9,5,1,0,0,0,1,1,5,1,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.232,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,PF,81,33,1,0,0,response1disk_5,6,1.715,14,3,1,0,0,rectangle_8,14,3,1,0,0,14,3,1,0,0,0,2,2,1,1,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,FF,58,-83,1,0,0,response3disk_5,4,5.332,6,5,1,0,0,rectangle_8,6,5,1,0,0,6,5,1,0,0,0,3,3,0,1,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,FF,-25,-79,1,0,0,response5disk_5,3,2.233,-3,-5,1,0,0,rectangle_8,38,-81,1,0,0,-1,-11,1,0,0,0,4,4,3,1,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.532,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,-36,-74,1,0,0,response5disk_5,3,2.367,15,-4,1,0,0,rectangle_8,15,-4,1,0,0,15,-4,1,0,0,0,5,5,2,1,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,PF,-35,-63,1,0,0,response5disk_5,3,1.067,1,-7,1,0,0,rectangle_8,1,-7,1,0,0,1,-7,1,0,0,0,6,6,6,1,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.069,,,,,,,,,,,,,,,,,,,,,,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.831,2355,-66,-20,1,0,0,response5disk,,2,4,5,1,0,0,rectangle,4,5,1,0,0,4,5,1,0,0,0,0,0,31,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3480,-35,-84,1,0,0,response5disk,,3,5,3,1,0,0,rectangle,5,3,1,0,0,5,3,1,0,0,0,1,1,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.249,,,,,,,,,,,,,,,,,,,,,,60fc66800ccfce9c74ed4f3d,61036b3764e6c768e90c3358,2021-07-29_23h02.31.736,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,814,36,-77,1,0,0,response3disk,,4,16,-2,1,0,0,rectangle,16,-2,1,0,0,16,-2,1,0,0,0,2,2,122,1,,,,,,,,
