key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.57458,space,5.30674,space,23.44964,space,4.201,space,2.314375,space,4.04922,148,PF,120,-72,1,0,0,response3disk_5,5,14.06673,7,0,1,0,0,rectangle_8,7,0,1,0,0,7,0,1,0,0,0,0,0,2,1,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,119,-54,1,0,0,response3disk_5,5,5.85009,17,8,1,0,0,rectangle_8,-62,-110,1,0,0,-18,17,1,0,0,0,1,1,6,1,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.80204,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,FF,-89,-55,1,0,0,response5disk_5,2,1.81697,-16,1,1,0,0,rectangle_8,-16,1,1,0,0,-16,1,1,0,0,0,2,2,3,1,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,135,PF,-60,-80,1,0,0,response5disk_5,3,1.74196,-33,-11,1,0,0,rectangle_8,-33,-11,1,0,0,-33,-11,1,0,0,0,3,3,4,1,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,FF,61,-116,1,0,0,response3disk_5,4,1.511255,-23,-5,1,0,0,rectangle_8,-54,-131,1,0,0,-33,1,1,0,0,0,4,4,5,1,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.483625,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,FF,85,-137,1,0,0,response3disk_5,4,2.277275,-16,-5,1,0,0,rectangle_8,-16,-5,1,0,0,-16,-5,1,0,0,0,5,5,0,1,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,PF,-64,-56,1,0,0,response5disk_5,2,1.100935,-16,-4,1,0,0,rectangle_8,-16,-4,1,0,0,-16,-4,1,0,0,0,6,6,1,1,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.966785,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.910625,2210,107,24,1,0,0,response1disk,,6,-42,19,1,0,0,rectangle,-42,19,1,0,0,-42,19,1,0,0,0,0,0,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.883035,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2947,-98,-69,1,0,0,response5disk,,2,5,14,1,0,0,rectangle,42,-110,1,0,0,-21,13,1,0,0,0,1,1,87,1,,response3disk_3,TRUE,4,4,"[263,146,214,296,183,206,152,148,287,155,273,311,141,279,212,74,166,225,2,284]",1.60163,rectangle
,,,,,,,,,,,,,FF,,,,,,,,0.90947,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3046,-142,46,1,0,0,response7disk,,1,-33,5,1,0,0,rectangle,-33,5,1,0,0,-33,5,1,0,0,0,2,2,59,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.01739,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1225,-69,-108,1,0,0,response5disk,,3,-26,6,1,0,0,rectangle,-26,6,1,0,0,-26,6,1,0,0,0,3,3,44,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.501725,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1068,100,-35,1,0,0,response3disk,,5,18,-18,1,0,0,rectangle,18,-18,1,0,0,18,-18,1,0,0,0,4,4,67,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.35056,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3677,93,-123,1,0,0,response3disk,,4,-2,3,1,0,0,rectangle,-2,3,1,0,0,-2,3,1,0,0,0,5,5,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.23752,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4033,-28,-114,1,0,0,response5disk,,3,9,3,1,0,0,rectangle,9,3,1,0,0,9,3,1,0,0,0,6,6,79,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.526375,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2245,69,-110,1,0,0,response3disk,,4,1,-11,1,0,0,rectangle,1,-11,1,0,0,1,-11,1,0,0,0,7,7,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.373715,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3661,-111,-61,1,0,0,response5disk,,2,-26,0,1,0,0,rectangle,-26,0,1,0,0,-26,0,1,0,0,0,8,8,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.015785,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,898,44,-111,1,0,0,response3disk,,4,17,-15,1,0,0,rectangle,17,-15,1,0,0,17,-15,1,0,0,0,9,9,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4474,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3901,-36,-91,1,0,0,response5disk,,3,-3,-4,1,0,0,rectangle,-3,-4,1,0,0,-3,-4,1,0,0,0,10,10,95,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.267555,,,,,,,,,,,,,,,,,,,,,,60fcac2063bbc8bce2700ad5,61036eddd99f010363a36d98,2021-07-29_22h18.04.257,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,219,100,-37,1,0,0,response3disk,,5,28,13,1,0,0,rectangle,28,13,1,0,0,28,13,1,0,0,0,11,11,93,1,,,,,,,,
