key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6197,space,22.155,space,37.9017,space,8.7694,space,6.0684,space,4.8859,146,FF,-24.12994385,-64.06341553,1,0,0,response5disk_5,3,8.7406,0.994934082,-2.431762695,1,0,0,rectangle_8,0.994934082,-2.431762695,1,0,0,0.994934082,-2.431762695,1,0,0,0,0,0,3,1,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9,PF,66.8157959,-29.79309082,1,0,0,response3disk_5,5,1.8665,3.069580078,-5.702880859,1,0,0,rectangle_8,66.78253174,-39.54553223,1,0,0,0.948974609,-0.737579346,1,0,0,0,1,1,2,1,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.855,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,FF,63.55395508,37.45806885,1,0,0,response1disk_5,6,5.3187,11.66149902,-2.188171387,1,0,0,rectangle_8,11.66149902,-2.188171387,1,0,0,11.66149902,-2.188171387,1,0,0,0,2,2,0,1,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,53.61413574,30.2678833,1,0,0,response1disk_5,6,5.3683,3.257873535,-4.338684082,1,0,0,rectangle_8,3.257873535,-4.338684082,1,0,0,3.257873535,-4.338684082,1,0,0,0,3,3,6,1,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,PF,50.45196533,29.42572021,1,0,0,response1disk_5,6,3.2681,12.73852539,-3.009277344,1,0,0,rectangle_8,79.887146,-30.88952637,1,0,0,10.1072998,-9.451660156,1,0,0,0,4,4,1,1,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.4811,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,FF,-62.4453125,-45.9911499,1,0,0,response5disk_5,2,1.6847,0.259277344,-5.870361328,1,0,0,rectangle_8,0.259277344,-5.870361328,1,0,0,0.259277344,-5.870361328,1,0,0,0,5,5,5,1,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,PF,41.85778809,-60.40100098,1,0,0,response3disk_5,4,1.336,6.768554688,-5.848205566,1,0,0,rectangle_8,6.768554688,-5.848205566,1,0,0,6.768554688,-5.848205566,1,0,0,0,6,6,4,1,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.2044,,,,,,,,,,,,,,,,,,,,,,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,16.6945,3147,-73.43304443,38.50408936,1,0,0,response7disk,,1,9.327880859,0.304534912,1,0,0,rectangle,9.327880859,0.304534912,1,0,0,9.327880859,0.304534912,1,0,0,0,0,0,87,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.3509,,,,,,,,,,,,,,,,,,,,,,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3463,-67.40374756,-43.427948,1,0,0,response5disk,,2,3.380187988,-1.465515137,1,0,0,rectangle,3.380187988,-1.465515137,1,0,0,3.380187988,-1.465515137,1,0,0,0,1,1,109,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2186,,,,,,,,,,,,,,,,,,,,,,60fcb26677a917ac1dd40513,610378be074830d07694c423,2021-07-29_20h58.49.250,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2220,-19.80664063,-56.38726807,1,0,0,response5disk,,3,-9.76965332,11.68066406,1,0,0,rectangle,-9.76965332,11.68066406,1,0,0,-9.76965332,11.68066406,1,0,0,0,2,2,10,1,,,,,,,,
