key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.96211,space,14.99429,space,16.44451,space,3.78507,space,1.46876,space,5.628565,15,FF,54.43988037,-52.91174316,1,0,0,response3disk_5,5,17.4656,-8.922668457,-0.314086914,1,0,0,rectangle_8,-8.922668457,-0.314086914,1,0,0,-8.922668457,-0.314086914,1,0,0,0,0,0,3,1,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,58.50280762,49.10437012,1,0,0,response1disk_5,6,5.76448,1.805358887,-7.715240479,1,0,0,rectangle_8,41.25598145,63.71401978,1,0,0,-3.57611084,0.728485107,1,0,0,0,1,1,4,1,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response1disk_7,7,4.06599,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,PF,34.94488525,65.24731445,1,0,0,response1disk_5,7,5.8311,11.69177246,-4.334259033,1,0,0,rectangle_8,11.69177246,-4.334259033,1,0,0,11.69177246,-4.334259033,1,0,0,0,2,2,1,1,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,58,PF,84.12109375,24.4753418,1,0,0,response1disk_5,6,2.866205,8.747314453,-6.828125,1,0,0,rectangle_8,8.747314453,-6.828125,1,0,0,8.747314453,-6.828125,1,0,0,0,3,3,2,1,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,PF,73.01776123,22.259552,1,0,0,response1disk_5,6,5.58115,-6.130310059,-12.46862793,1,0,0,rectangle_8,31.31085205,73.14199829,1,0,0,2.313171387,-7.35836792,1,0,0,0,4,4,6,1,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.798915,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,FF,77.03961182,-43.64910889,1,0,0,response3disk_5,5,1.999595,1.884094238,-2.145721436,1,0,0,rectangle_8,1.884094238,-2.145721436,1,0,0,1.884094238,-2.145721436,1,0,0,0,5,5,5,1,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,FF,25.72076416,54.39834595,1,0,0,response1disk_5,7,1.782735,-3.214782715,-3.275848389,1,0,0,rectangle_8,-3.214782715,-3.275848389,1,0,0,-3.214782715,-3.275848389,1,0,0,0,6,6,0,1,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.29978,,,,,,,,,,,,,,,,,,,,,,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,2.607975,2538,85.98852539,-53.59991455,1,0,0,response3disk,,5,2.561706543,-4.159942627,1,0,0,rectangle,2.561706543,-4.159942627,1,0,0,2.561706543,-4.159942627,1,0,0,0,0,0,113,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.482305,,,,,,,,,,,,,,,,,,,,,,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3278,77.62445068,-45.58917236,1,0,0,response3disk,,5,-13.41625977,-6.566711426,1,0,0,rectangle,-13.41625977,-6.566711426,1,0,0,-13.41625977,-6.566711426,1,0,0,0,1,1,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.54903,,,,,,,,,,,,,,,,,,,,,,60fcca515dbee0243a67c5d4,6103668583a9273083c856a8,2021-07-29_22h40.29.986,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3581,66.51013184,25.46463013,1,0,0,response1disk,,6,-13.97467041,2.211517334,1,0,0,rectangle,-13.97467041,2.211517334,1,0,0,-13.97467041,2.211517334,1,0,0,0,2,2,151,1,,,,,,,,
