key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,188.8981,space,503.3754,space,25.2033,space,6.2649,space,2.1365,space,3.2041,147,PF,90.33203125,38.52734375,1,0,0,response1disk_5,6,4.9846,8.34375,5.76953125,1,0,0,rectangle_8,8.34375,5.76953125,1,0,0,8.34375,5.76953125,1,0,0,0,0,0,1,1,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,PF,-80.94140625,-49.86328125,1,0,0,response5disk_5,2,6.0499,3.6953125,13.7109375,1,0,0,rectangle_8,32.8671875,56.4296875,1,0,0,-5.02734375,-2.17578125,1,0,0,0,1,1,4,1,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.3182,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,FF,-56.5,-77.98828125,1,0,0,response5disk_5,3,2.452,1.55859375,-0.09765625,1,0,0,rectangle_8,1.55859375,-0.09765625,1,0,0,1.55859375,-0.09765625,1,0,0,0,2,2,5,1,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,FF,-31.8046875,-68.44140625,1,0,0,response5disk_5,3,1.316,2.49609375,0.25,1,0,0,rectangle_8,2.49609375,0.25,1,0,0,2.49609375,0.25,1,0,0,0,3,3,3,1,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,PF,67.34375,36.5859375,1,0,0,response1disk_5,6,1.5662,6.015625,7.13671875,1,0,0,rectangle_8,27.19140625,54.046875,1,0,0,2.2578125,-10.4609375,1,0,0,0,4,4,6,1,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.0328,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,86.96875,29.8046875,1,0,0,response1disk_5,6,3.4012,17.19140625,15.109375,1,0,0,rectangle_8,17.19140625,15.109375,1,0,0,17.19140625,15.109375,1,0,0,0,5,5,0,1,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,PF,-70.8359375,19.74609375,1,0,0,response7disk_5,1,2.967,-0.43359375,3.34375,1,0,0,rectangle_8,-0.43359375,3.34375,1,0,0,-0.43359375,3.34375,1,0,0,0,6,6,2,1,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2838,,,,,,,,,,,,,,,,,,,,,,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.3019,867,38.96875,-67.33203125,1,0,0,response3disk,,4,14.7578125,-11.94140625,1,0,0,rectangle,14.7578125,-11.94140625,1,0,0,14.7578125,-11.94140625,1,0,0,0,0,0,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5656,,,,,,,,,,,,,,,,,,,,,,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,937,53.73046875,65.20703125,1,0,0,response1disk,,7,26.4765625,10.40625,1,0,0,rectangle,26.4765625,10.40625,1,0,0,26.4765625,10.40625,1,0,0,0,1,1,77,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8342,,,,,,,,,,,,,,,,,,,,,,60fccd293da770308619aa88,61036bcc00901aa2abfd1f08,2021-07-29_22h03.36.682,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3451,40.5625,65.390625,1,0,0,response1disk,,7,5.32421875,-13.8359375,1,0,0,rectangle,5.32421875,-13.8359375,1,0,0,5.32421875,-13.8359375,1,0,0,0,2,2,154,1,,,,,,,,
