key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4901,space,7.9985,space,9.0692,space,8.7387,space,0.4163,space,7.3308,104,FF,-97.8125,42.19921875,1,0,0,response7disk_5,1,5.6702,4.80859375,-0.125,1,0,0,rectangle_8,4.80859375,-0.125,1,0,0,4.80859375,-0.125,1,0,0,0,0,0,0,1,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,FF,-49.0078125,-70.39453125,1,0,0,response5disk_5,3,2.6021,-5.27734375,-6.18359375,1,0,0,rectangle_8,-79.3515625,32.44140625,1,0,0,-8.84765625,-5.3046875,1,0,0,0,1,1,5,1,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.8018,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,FF,82.328125,-38.69921875,1,0,0,response3disk_5,5,2.3503,11.6953125,-0.04296875,1,0,0,rectangle_8,11.6953125,-0.04296875,1,0,0,11.6953125,-0.04296875,1,0,0,0,2,2,3,1,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,PF,58.46484375,-75.28125,1,0,0,response3disk_5,4,4.0504,-8.10546875,4.671875,1,0,0,rectangle_8,-8.10546875,4.671875,1,0,0,-8.10546875,4.671875,1,0,0,0,3,3,2,1,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,PF,-75.50390625,38.4375,1,0,0,response7disk_5,1,2.4846,7.3359375,3.2421875,1,0,0,rectangle_8,-88.58203125,29.65625,1,0,0,-0.5078125,-4.03515625,1,0,0,0,4,4,6,1,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.8006,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,PF,42.0078125,87.86328125,1,0,0,response1disk_5,7,2.0492,4.5859375,0.6875,1,0,0,rectangle_8,4.5859375,0.6875,1,0,0,4.5859375,0.6875,1,0,0,0,5,5,1,1,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,76.140625,-48.86328125,1,0,0,response3disk_5,5,1.582,-5.0234375,4.265625,1,0,0,rectangle_8,-5.0234375,4.265625,1,0,0,-5.0234375,4.265625,1,0,0,0,6,6,4,1,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8844,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.5943,4186,42.5859375,-83.71484375,1,0,0,response3disk,,4,-10.34765625,12.68359375,1,0,0,rectangle,-10.34765625,12.68359375,1,0,0,-10.34765625,12.68359375,1,0,0,0,0,0,113,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2332,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,868,-38.6640625,-82.3671875,1,0,0,response5disk,,3,-10.8671875,-11.80859375,1,0,0,rectangle,-10.8671875,-11.80859375,1,0,0,-10.8671875,-11.80859375,1,0,0,0,1,1,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2004,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,634,78.2890625,40.171875,1,0,0,response1disk,,6,3.5234375,2.55859375,1,0,0,rectangle,3.5234375,2.55859375,1,0,0,3.5234375,2.55859375,1,0,0,0,2,2,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8503,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3926,-88.69140625,-50.59765625,1,0,0,response5disk,,2,-2.3046875,-0.81640625,1,0,0,rectangle,-2.3046875,-0.81640625,1,0,0,-2.3046875,-0.81640625,1,0,0,0,3,3,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2669,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,750,-33.03515625,-84.84375,1,0,0,response5disk,,3,6.13671875,-2.77734375,1,0,0,rectangle,6.13671875,-2.77734375,1,0,0,6.13671875,-2.77734375,1,0,0,0,4,4,55,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2002,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,277,96.2109375,31.48046875,1,0,0,response1disk,,6,13.8046875,-1.33984375,1,0,0,rectangle,13.8046875,-1.33984375,1,0,0,13.8046875,-1.33984375,1,0,0,0,5,5,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1342,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,202,-68.47265625,-38.578125,1,0,0,response5disk,,2,-8.55859375,-4.99609375,1,0,0,rectangle,-8.55859375,-4.99609375,1,0,0,-8.55859375,-4.99609375,1,0,0,0,6,6,58,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1189,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1839,33.66015625,-93.35546875,1,0,0,response3disk,,4,2.79296875,5.28125,1,0,0,rectangle,2.79296875,5.28125,1,0,0,2.79296875,5.28125,1,0,0,0,7,7,136,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0343,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2979,-84.80859375,-39.046875,1,0,0,response5disk,,2,6.75390625,7.203125,1,0,0,rectangle,6.75390625,7.203125,1,0,0,6.75390625,7.203125,1,0,0,0,8,8,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0007,,,,,,,,,,,,,,,,,,,,,,60fccfabb21344f8a04ecd91,61036ef72abca54ea525ecf6,2021-07-29_23h16.54.965,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,215,-42.83984375,-99.16015625,1,0,0,response5disk,,3,10.703125,-1.94921875,1,0,0,rectangle,10.703125,-1.94921875,1,0,0,10.703125,-1.94921875,1,0,0,0,9,9,30,1,,,,,,,,
