key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,8.0221,space,8.5306,space,34.7433,space,14.4695,space,1.5249,space,4.0348,86,PF,-20.22372974,56.47481247,1,0,0,response7disk_5,0,16.8499,4.263266743,-9.370582753,1,0,0,rectangle_8,4.263266743,-9.370582753,1,0,0,4.263266743,-9.370582753,1,0,0,0,0,0,6,1,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,FF,23.62665093,38.29779754,1,0,0,response1disk_5,7,9.7348,1.371305372,4.612096217,1,0,0,rectangle_8,52.1668958,-24.78577612,1,0,0,-3.909122299,3.382192836,1,0,0,0,1,1,0,1,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response3disk_7,5,5.7104,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,FF,-23.19756817,41.75297848,1,0,0,response7disk_5,0,5.8275,0.059781925,-8.169256675,1,0,0,rectangle_8,0.059781925,-8.169256675,1,0,0,0.059781925,-8.169256675,1,0,0,0,2,2,5,1,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,PF,-25.68713439,47.39748408,1,0,0,response7disk_5,0,2.3887,-12.96134276,2.220186248,1,0,0,rectangle_8,-12.96134276,2.220186248,1,0,0,-12.96134276,2.220186248,1,0,0,0,3,3,1,1,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,PF,-14.01423134,46.05424805,1,0,0,response7disk_5,0,8.1627,0.268766302,-4.886104923,1,0,0,rectangle_8,50.04384891,-41.91653283,1,0,0,-8.488018303,10.24354671,1,0,0,0,4,4,2,1,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.5059,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,50.33471034,14.10433519,1,0,0,response1disk_5,6,7.5465,7.962896704,-1.486767932,1,0,0,rectangle_8,7.962896704,-1.486767932,1,0,0,7.962896704,-1.486767932,1,0,0,0,5,5,4,1,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,FF,51.62361866,20.78818598,1,0,0,response1disk_5,6,1.6818,8.818982237,-2.297340513,1,0,0,rectangle_8,8.818982237,-2.297340513,1,0,0,8.818982237,-2.297340513,1,0,0,0,6,6,3,1,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.2073,,,,,,,,,,,,,,,,,,,,,,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,1.1432,2099,-21.2250147,37.68510736,1,0,0,response7disk,,0,-14.01824038,6.55144656,1,0,0,rectangle,-14.01824038,6.55144656,1,0,0,-14.01824038,6.55144656,1,0,0,0,0,0,28,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.3483,,,,,,,,,,,,,,,,,,,,,,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,4223,-41.41929939,-33.03402865,1,0,0,response5disk,,2,-1.739303203,2.319795624,1,0,0,rectangle,-1.739303203,2.319795624,1,0,0,-1.739303203,2.319795624,1,0,0,0,1,1,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7691,,,,,,,,,,,,,,,,,,,,,,60fcd1cab3a2ced3c5c9b2e9,61036e90dfbeb787579eee8b,2021-07-29_20h15.17.321,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,2051,47.92732957,19.92202643,1,0,0,response1disk,,6,-16.15074451,-1.163140257,1,0,0,rectangle,-16.15074451,-1.163140257,1,0,0,-16.15074451,-1.163140257,1,0,0,0,2,2,74,1,,,,,,,,
