key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6689,space,17.9956,space,32.905,space,26.5454,space,3.2695,space,5.2985,24,PF,38.12890625,-81.0234375,1,0,0,response3disk_5,4,20.3359,4.80078125,1.3203125,1,0,0,rectangle_8,4.80078125,1.3203125,1,0,0,4.80078125,1.3203125,1,0,0,0,0,0,6,1,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,48.90234375,83.796875,1,0,0,response1disk_5,7,3.4343,-1.06640625,-4.8984375,1,0,0,rectangle_8,-61.7734375,-32.62890625,1,0,0,-15.8046875,-2.1875,1,0,0,0,1,1,2,1,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.7356,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,PF,-38.0859375,-66.265625,1,0,0,response5disk_5,3,3.0817,0.2578125,-1.25390625,1,0,0,rectangle_8,0.2578125,-1.25390625,1,0,0,0.2578125,-1.25390625,1,0,0,0,2,2,1,1,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,PF,29.40234375,-79.2421875,1,0,0,response3disk_5,4,3.1015,-6.9375,-5.0390625,1,0,0,rectangle_8,-6.9375,-5.0390625,1,0,0,-6.9375,-5.0390625,1,0,0,0,3,3,4,1,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,FF,29.90234375,-73.09375,1,0,0,response3disk_5,4,1.948,13.1484375,-4.33203125,1,0,0,rectangle_8,-76.1640625,-48.32421875,1,0,0,-14.16015625,-6.26171875,1,0,0,0,4,4,3,1,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.4344,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,FF,30.4296875,57.6328125,1,0,0,response1disk_5,7,2.4643,14.34765625,7.15234375,1,0,0,rectangle_8,14.34765625,7.15234375,1,0,0,14.34765625,7.15234375,1,0,0,0,5,5,0,1,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,FF,25.2109375,101.625,1,0,0,response1disk_5,7,1.4838,-2.890625,-0.1015625,1,0,0,rectangle_8,-2.890625,-0.1015625,1,0,0,-2.890625,-0.1015625,1,0,0,0,6,6,5,1,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.1341,,,,,,,,,,,,,,,,,,,,,,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.1086,1509,75.98046875,33.86328125,1,0,0,response1disk,,6,12.84765625,8.19140625,1,0,0,rectangle,12.84765625,8.19140625,1,0,0,12.84765625,8.19140625,1,0,0,0,0,0,72,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2341,,,,,,,,,,,,,,,,,,,,,,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2964,53.34375,101.46875,1,0,0,response1disk,,7,20.98046875,-8.44140625,1,0,0,rectangle,20.98046875,-8.44140625,1,0,0,20.98046875,-8.44140625,1,0,0,0,1,1,87,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0998,,,,,,,,,,,,,,,,,,,,,,60fcd314736594904a0ad216,61036bf57baab5273ba77cb8,2021-07-29_23h04.02.963,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,218,100.1210938,-47.015625,1,0,0,response3disk,,5,2.9140625,-9.71484375,1,0,0,rectangle,2.9140625,-9.71484375,1,0,0,2.9140625,-9.71484375,1,0,0,0,2,2,13,1,,,,,,,,
