key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.7429,space,13.6265,space,9.6804,space,5.8506,space,1.3212,space,4.2215,156,PF,35.20001197,-100.0000079,1,0,0,response3disk_5,4,17.536,-3.199988604,2.399993598,1,0,0,rectangle_8,-3.199988604,2.399993598,1,0,0,-3.199988604,2.399993598,1,0,0,0,0,0,1,1,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,FF,101.600013,-46.40000713,1,0,0,response3disk_5,5,8.5432,-4.799988627,10.39999372,1,0,0,rectangle_8,51.20001221,-120.8000082,1,0,0,-7.199988663,3.19999361,1,0,0,0,1,1,0,1,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.7279,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,FF,-109.5999902,-64.00000739,1,0,0,response5disk_5,2,3.8261,-9.599988699,5.599993646,1,0,0,rectangle_8,-9.599988699,5.599993646,1,0,0,-9.599988699,5.599993646,1,0,0,0,2,2,5,1,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,PF,56.80001229,81.59999478,1,0,0,response1disk_5,7,2.4435,-3.999988616,0.799993575,1,0,0,rectangle_8,-3.999988616,0.799993575,1,0,0,-3.999988616,0.799993575,1,0,0,0,3,3,6,1,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,62.40001237,40.79999417,1,0,0,response1disk_5,6,2.131,-3.999988616,-4.000006497,1,0,0,rectangle_8,41.60006089,-68.80000746,1,0,0,-4.799988627,7.19999367,1,0,0,0,4,4,4,1,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.6819,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,80.80001265,-57.6000073,1,0,0,response3disk_5,5,4.8663,-9.599988699,5.599993646,1,0,0,rectangle_8,-9.599988699,5.599993646,1,0,0,-9.599988699,5.599993646,1,0,0,0,5,5,2,1,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,FF,77.6000126,46.39999425,1,0,0,response1disk_5,6,2.3479,5.600060356,1.599993587,1,0,0,rectangle_8,5.600060356,1.599993587,1,0,0,5.600060356,1.599993587,1,0,0,0,6,6,3,1,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2269,,,,,,,,,,,,,,,,,,,,,,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.3044,1920,85.60001272,-40.00000703,1,0,0,response3disk,,5,-10.39993988,10.39999372,1,0,0,rectangle,-10.39993988,10.39999372,1,0,0,-10.39993988,10.39999372,1,0,0,0,0,0,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0249,,,,,,,,,,,,,,,,,,,,,,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,393,-65.59998953,-93.60005666,1,0,0,response5disk,,3,-3.999988616,9.599993706,1,0,0,rectangle,-3.999988616,9.599993706,1,0,0,-3.999988616,9.599993706,1,0,0,0,1,1,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0782,,,,,,,,,,,,,,,,,,,,,,60fcd70d608b9cd2da4651f7,61036dff1cbe328e09cf2616,2021-07-29_21h12.37.668,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4278,63.20001239,-87.20000774,1,0,0,response3disk,,4,-3.999988616,3.999993622,1,0,0,rectangle,-3.999988616,3.999993622,1,0,0,-3.999988616,3.999993622,1,0,0,0,2,2,60,1,,,,,,,,
