key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,33.0789,space,13.1636,space,27.6288,space,12.5671,space,0.7208,space,4.1634,140,FF,30.92578125,-90.0703125,1,0,0,response3disk_5,4,5.0582,-4.15234375,1.26953125,1,0,0,rectangle_8,-4.15234375,1.26953125,1,0,0,-4.15234375,1.26953125,1,0,0,0,0,0,3,1,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,29.03125,-91.921875,1,0,0,response3disk_5,4,4.0524,-3.765625,-5.07421875,1,0,0,rectangle_8,-41.49609375,80.546875,1,0,0,4.1171875,-4.875,1,0,0,0,1,1,6,1,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.3851,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,FF,-88.8671875,-28.62109375,1,0,0,response5disk_5,2,1.8179,-10.96484375,5.5390625,1,0,0,rectangle_8,-10.96484375,5.5390625,1,0,0,-10.96484375,5.5390625,1,0,0,0,2,2,5,1,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,141,PF,-42.96484375,80.76953125,1,0,0,response7disk_5,0,1.5495,2.2265625,-1.73828125,1,0,0,rectangle_8,2.2265625,-1.73828125,1,0,0,2.2265625,-1.73828125,1,0,0,0,3,3,4,1,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,PF,-29.6328125,-98.26171875,1,0,0,response5disk_5,3,4.7013,-10.1953125,2.0078125,1,0,0,rectangle_8,-29.73046875,83.83984375,1,0,0,-2.48046875,-0.81640625,1,0,0,0,4,4,2,1,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.65,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,PF,86.20703125,-53.48046875,1,0,0,response3disk_5,5,2.7177,-17.08984375,9.05078125,1,0,0,rectangle_8,-17.08984375,9.05078125,1,0,0,-17.08984375,9.05078125,1,0,0,0,5,5,1,1,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,FF,78.9140625,-53.4765625,1,0,0,response3disk_5,5,1.6518,-8.578125,-1.2578125,1,0,0,rectangle_8,-8.578125,-1.2578125,1,0,0,-8.578125,-1.2578125,1,0,0,0,6,6,0,1,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.4701,,,,,,,,,,,,,,,,,,,,,,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6321,314,87.6796875,39.17578125,1,0,0,response1disk,,6,5.40234375,-1.57421875,1,0,0,rectangle,5.40234375,-1.57421875,1,0,0,5.40234375,-1.57421875,1,0,0,0,0,0,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.8186,,,,,,,,,,,,,,,,,,,,,,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2199,87.98828125,-49.58984375,1,0,0,response3disk,,5,5.171875,-0.7109375,1,0,0,rectangle,5.171875,-0.7109375,1,0,0,5.171875,-0.7109375,1,0,0,0,1,1,55,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5191,,,,,,,,,,,,,,,,,,,,,,60fcd84b3e8a213628c9a160,610369a172fda66032ff7c73,2021-07-29_19h55.43.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4102,-97.66796875,28.82421875,1,0,0,response7disk,,1,-2.92578125,3.484375,1,0,0,rectangle,-2.92578125,3.484375,1,0,0,-2.92578125,3.484375,1,0,0,0,2,2,140,1,,,,,,,,
