key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0217,space,45.8283,space,45.806,space,8.2889,space,0.9492,space,6.676,23,PF,-67.99998957,-98.4000079,1,0,0,response5disk_5,3,7.1669,1.600060296,7.999993682,1,0,0,rectangle_8,1.600060296,7.999993682,1,0,0,1.600060296,7.999993682,1,0,0,0,0,0,4,1,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,FF,-95.19998997,47.99999428,1,0,0,response7disk_5,1,8.1486,9.600060415,8.799993694,1,0,0,rectangle_8,-95.19998997,-57.6000073,1,0,0,11.20001161,3.999993622,1,0,0,0,1,1,3,1,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.6667,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,FF,-31.19998902,75.19997027,1,0,0,response7disk_5,0,2.7167,-5.599988639,-0.800006449,1,0,0,rectangle_8,-5.599988639,-0.800006449,1,0,0,-5.599988639,-0.800006449,1,0,0,0,2,2,5,1,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,117.6000132,-50.40000719,1,0,0,response3disk_5,5,3.6166,-7.999988675,10.39999372,1,0,0,rectangle_8,-7.999988675,10.39999372,1,0,0,-7.999988675,10.39999372,1,0,0,0,3,3,6,1,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9,FF,43.20001209,90.39999491,1,0,0,response1disk_5,7,5.2324,7.200011551,-6.4373E-06,1,0,0,rectangle_8,-61.59998947,-49.60000718,1,0,0,8.000011563,-5.600006521,1,0,0,0,4,4,0,1,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.4048,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,PF,116.8000132,-48.80000716,1,0,0,response3disk_5,5,5.1201,1.14441E-05,-12.80000663,1,0,0,rectangle_8,1.14441E-05,-12.80000663,1,0,0,1.14441E-05,-12.80000663,1,0,0,0,5,5,1,1,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,-40.79998916,-84.8000077,1,0,0,response5disk_5,3,2.1196,13.60006047,-5.600006521,1,0,0,rectangle_8,13.60006047,-5.600006521,1,0,0,13.60006047,-5.600006521,1,0,0,0,6,6,2,1,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.9328,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.7927,3651,102.400013,47.99999428,1,0,0,response1disk,,6,16.80001169,-3.200006485,1,0,0,rectangle,16.80001169,-3.200006485,1,0,0,16.80001169,-3.200006485,1,0,0,0,0,0,23,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2495,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1640,28.00001186,99.19997063,1,0,0,response1disk,,7,-10.39993988,3.19999361,1,0,0,rectangle,-10.39993988,3.19999361,1,0,0,-10.39993988,3.19999361,1,0,0,0,1,1,60,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9995,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,601,116.8000132,45.59999424,1,0,0,response1disk,,6,23.20001179,-1.600006461,1,0,0,rectangle,23.20001179,-1.600006461,1,0,0,23.20001179,-1.600006461,1,0,0,0,2,2,21,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4498,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3757,33.60006077,-88.80000776,1,0,0,response3disk,,4,22.40001178,5.599993646,1,0,0,rectangle,22.40001178,5.599993646,1,0,0,22.40001178,5.599993646,1,0,0,0,3,3,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.183,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1775,48.00001216,-99.20000792,1,0,0,response3disk,,4,7.200011551,10.39999372,1,0,0,rectangle,7.200011551,10.39999372,1,0,0,7.200011551,10.39999372,1,0,0,0,4,4,25,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.3324,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2548,116.8000132,-52.00000721,1,0,0,response3disk,,5,16.00001168,-4.800006509,1,0,0,rectangle,16.00001168,-4.800006509,1,0,0,16.00001168,-4.800006509,1,0,0,0,5,5,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.999,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3258,-51.19998932,-126.4000083,1,0,0,response5disk,,3,5.600060356,-1.600006461,1,0,0,rectangle,-118.3999415,-38.40000701,1,0,0,7.200011551,-3.200006485,1,0,0,0,6,6,159,1,,response5disk_3,TRUE,2,2,"[11,29,134,232,207,106,68,163,7,317,47,212,43,119,251,210,142,143,208,55]",2.1666,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.4491,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2411,-42.39994036,-113.600057,1,0,0,response5disk,,3,7.200011551,-4.800006509,1,0,0,rectangle,7.200011551,-4.800006509,1,0,0,7.200011551,-4.800006509,1,0,0,0,7,7,9,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.7822,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2262,109.6000131,54.39999437,1,0,0,response1disk,,6,0.800011456,-6.4373E-06,1,0,0,rectangle,0.800011456,-6.4373E-06,1,0,0,0.800011456,-6.4373E-06,1,0,0,0,8,8,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.9329,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1109,55.20001227,87.19997045,1,0,0,response1disk,,7,6.400011539,-0.800006449,1,0,0,rectangle,6.400011539,-0.800006449,1,0,0,6.400011539,-0.800006449,1,0,0,0,9,9,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.0325,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,563,40.80001205,91.99999493,1,0,0,response1disk,,7,1.14441E-05,-3.200006485,1,0,0,rectangle,-102.3999413,-37.600007,1,0,0,1.14441E-05,-6.4373E-06,1,0,0,0,10,10,70,1,,response5disk_3,TRUE,2,2,"[11,29,134,232,207,106,68,163,7,317,47,212,43,119,251,210,142,143,208,55]",2.1003,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.1662,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1543,112.0000131,-46.40000713,1,0,0,response3disk,,5,10.4000116,-4.800006509,1,0,0,rectangle,10.4000116,-4.800006509,1,0,0,10.4000116,-4.800006509,1,0,0,0,11,11,143,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8496,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3370,50.4000122,66.39999455,1,0,0,response1disk,,7,8.800011575,6.399993658,1,0,0,rectangle,8.800011575,6.399993658,1,0,0,8.800011575,6.399993658,1,0,0,0,12,12,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.2154,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3063,-28.79998899,-86.40000772,1,0,0,response5disk,,3,14.40001166,6.399993658,1,0,0,rectangle,14.40001166,6.399993658,1,0,0,14.40001166,6.399993658,1,0,0,0,13,13,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.1824,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3710,98.40001291,-60.00000733,1,0,0,response3disk,,5,2.40001148,11.19999373,1,0,0,rectangle,2.40001148,11.19999373,1,0,0,2.40001148,11.19999373,1,0,0,0,14,14,148,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.399,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2054,56.00001228,-96.00000787,1,0,0,response3disk,,4,10.4000116,-11.2000066,1,0,0,rectangle,10.4000116,-11.2000066,1,0,0,10.4000116,-11.2000066,1,0,0,0,15,15,85,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.3317,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,526,-99.99999005,51.19996991,1,0,0,response7disk,,1,2.40001148,-3.200006485,1,0,0,rectangle,2.40001148,-3.200006485,1,0,0,2.40001148,-3.200006485,1,0,0,0,16,16,76,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,9.1819,,,,,,,,,,,,,,,,,,,,,,60fcdebbef41e08776de751f,61037107e7d532e90980a526,2021-07-29_23h56.33.015,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2561,116.0000132,44.79999423,1,0,0,response1disk,,6,-9.599988699,-4.000006497,1,0,0,rectangle,-9.599988699,-4.000006497,1,0,0,-9.599988699,-4.000006497,1,0,0,0,17,17,122,1,,,,,,,,
