key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.3458,space,1.6299,space,15.3828,space,3.0832,space,0.263,space,2.2294,91,FF,-22.75,-113.4375,1,0,0,response5disk_5,3,5.4679,-1.8984375,-1.10546875,1,0,0,rectangle_8,-1.8984375,-1.10546875,1,0,0,-1.8984375,-1.10546875,1,0,0,0,0,0,5,1,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,92.3203125,56.53515625,1,0,0,response1disk_5,6,2.0834,-3.68359375,8.8515625,1,0,0,rectangle_8,41.6171875,82.96484375,1,0,0,1.734375,-4.26953125,1,0,0,0,1,1,1,1,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.6672,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,78.42578125,-37.74609375,1,0,0,response3disk_5,5,2.5831,8.95703125,-1.48828125,1,0,0,rectangle_8,8.95703125,-1.48828125,1,0,0,8.95703125,-1.48828125,1,0,0,0,2,2,4,1,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,PF,53.58984375,-117.84375,1,0,0,response3disk_5,4,1.2327,1.81640625,-5.1796875,1,0,0,rectangle_8,1.81640625,-5.1796875,1,0,0,1.81640625,-5.1796875,1,0,0,0,3,3,6,1,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,FF,39.8671875,-101.4960938,1,0,0,response3disk_5,4,2.9332,7.90234375,8.1015625,1,0,0,rectangle_8,16.5703125,106.5742188,1,0,0,9.43359375,2.62109375,1,0,0,0,4,4,3,1,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.2839,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,FF,86.96484375,43.71484375,1,0,0,response1disk_5,6,1.5819,13.31640625,2.3984375,1,0,0,rectangle_8,13.31640625,2.3984375,1,0,0,13.31640625,2.3984375,1,0,0,0,5,5,0,1,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,PF,-78.89453125,34.80078125,1,0,0,response7disk_5,1,1.5179,2.8046875,9.1875,1,0,0,rectangle_8,2.8046875,9.1875,1,0,0,2.8046875,9.1875,1,0,0,0,6,6,2,1,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8841,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.4077,882,67.69921875,-103.9140625,1,0,0,response3disk,,4,-10.609375,3.11328125,1,0,0,rectangle,53.046875,76.765625,1,0,0,response1disk_3,TRUE,7,7,"[40,217,22,283,276,187,55,64,182,114,173,76,290,241,1,314,302,211,71,293]",1.0512,4.8515625,-1.61328125,1,0,0,rectangle,0,0,0,45,1,
,,,,,,,,,,,,,FF,,,,,,,,1.7166,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,527,-61.5546875,-95.8671875,1,0,0,response5disk,,3,-5.5859375,-2.703125,1,0,0,rectangle,-5.5859375,-2.703125,1,0,0,,,,,,,-5.5859375,-2.703125,1,0,0,,0,1,1,133,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1326,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1390,-38.71875,-84.8828125,1,0,0,response5disk,,3,1.9765625,-2.46484375,1,0,0,rectangle,1.9765625,-2.46484375,1,0,0,,,,,,,1.9765625,-2.46484375,1,0,0,,0,2,2,118,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1168,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,672,114.6679688,-50.6875,1,0,0,response3disk,,5,17.91796875,-3.2421875,1,0,0,rectangle,17.91796875,-3.2421875,1,0,0,,,,,,,17.91796875,-3.2421875,1,0,0,,0,3,3,101,1,
,,,,,,,,,,,,,FF,,,,,,,,2.8838,,,,,,,,,,,,,,,,,,,,,,60fcdf62ae64294443dd010d,610368b8b1bd52c528ebd7b6,2021-07-29_19h50.32.535,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1376,22.80859375,-100.0625,1,0,0,response3disk,,4,5.453125,-5.36328125,1,0,0,rectangle,5.453125,-5.36328125,1,0,0,,,,,,,5.453125,-5.36328125,1,0,0,,0,4,4,7,1,
