key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.2461,space,22.1228,space,13.4812,space,7.6591,space,1.0224,space,3.9652,119,FF,-47.33331567,-66.0000127,1,0,0,response5disk_5,3,3.0202,14.66668618,12.66665632,1,0,0,rectangle_8,14.66668618,12.66665632,1,0,0,14.66668618,12.66665632,1,0,0,0,0,0,5,1,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,77,FF,-79.99998331,27.33330307,1,0,0,response7disk_5,1,1.6491,11.33339343,-10.66667771,1,0,0,rectangle_8,49.33335388,79.33330462,1,0,0,-0.666606923,5.333322763,1,0,0,0,1,1,3,1,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.4158,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,-62.66660877,36.66665703,1,0,0,response7disk_5,1,1.6662,-12.66660728,7.333322823,1,0,0,rectangle_8,-12.66660728,7.333322823,1,0,0,-12.66660728,7.333322823,1,0,0,0,2,2,1,1,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,-56.66660859,-56.0000124,1,0,0,response5disk_5,2,1.5361,-3.333314359,-7.333344281,1,0,0,rectangle_8,-3.333314359,-7.333344281,1,0,0,-3.333314359,-7.333344281,1,0,0,0,3,3,6,1,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,-23.99998164,58.66665769,1,0,0,response7disk_5,0,3.6946,2.66668582,4.666656077,1,0,0,rectangle_8,63.33335429,79.99999166,1,0,0,-2.666606983,-14.00001115,1,0,0,0,4,4,2,1,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.6653,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,PF,44.66668707,31.99999022,1,0,0,response1disk_5,6,0.7291,7.333393315,6.666656137,1,0,0,rectangle_8,7.333393315,6.666656137,1,0,0,7.333393315,6.666656137,1,0,0,0,5,5,4,1,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,FF,-88.66660955,81.99999171,1,0,0,response7disk_5,1,1.5659,6.666685939,5.333322763,1,0,0,rectangle_8,6.666685939,5.333322763,1,0,0,6.666685939,5.333322763,1,0,0,0,6,6,0,1,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,9.9799,,,,,,,,,,,,,,,,,,,,,,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,36.2967,2664,28.66668659,61.99999112,1,0,0,response1disk,,7,-8.666607161,-11.3333444,1,0,0,rectangle,-8.666607161,-11.3333444,1,0,0,-8.666607161,-11.3333444,1,0,0,0,0,0,159,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1159,,,,,,,,,,,,,,,,,,,,,,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,895,-72.66660907,-57.33334577,1,0,0,response5disk,,2,6.000019252,-5.333344221,1,0,0,rectangle,6.000019252,-5.333344221,1,0,0,6.000019252,-5.333344221,1,0,0,0,1,1,143,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6992,,,,,,,,,,,,,,,,,,,,,,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1456,74.00002128,53.33330385,1,0,0,response1disk,,6,10.66668606,-0.666677415,1,0,0,rectangle,10.66668606,-0.666677415,1,0,0,10.66668606,-0.666677415,1,0,0,0,2,2,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7505,,,,,,,,,,,,,,,,,,,,,,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,901,-67.99998295,45.99999064,1,0,0,response7disk,,1,-16.6666074,9.333322883,1,0,0,rectangle,-16.6666074,9.333322883,1,0,0,-16.6666074,9.333322883,1,0,0,0,3,3,9,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9162,,,,,,,,,,,,,,,,,,,,,,60fce0005a801ae67b99036c,61036b3b8f5700bb730c9c61,2021-07-29_20h01.26.293,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3257,66.66668773,-34.00001174,1,0,0,response3disk,,5,4.000019193,3.333322704,1,0,0,rectangle,4.000019193,3.333322704,1,0,0,4.000019193,3.333322704,1,0,0,0,4,4,76,1,,,,,,,,
