key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,5.5571,space,14.661,space,50.3962,space,10.7527,space,1.5671,space,8.9663,81,FF,-34.39994024,-103.200008,1,0,0,response5disk_5,3,14.8049,8.000011563,-0.800006449,1,0,0,rectangle_8,8.000011563,-0.800006449,1,0,0,8.000011563,-0.800006449,1,0,0,0,0,0,3,1,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,36.80001199,99.19997063,1,0,0,response1disk_5,7,7.6829,2.40001148,6.399993658,1,0,0,rectangle_8,-47.19998926,-105.6000568,1,0,0,4.800011516,-8.800006568,1,0,0,0,1,1,1,1,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,4.4513,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,-94.39994113,-60.80000734,1,0,0,response5disk_5,2,9.799,8.000011563,2.399993598,1,0,0,rectangle_8,8.000011563,2.399993598,1,0,0,8.000011563,2.399993598,1,0,0,0,2,2,4,1,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,PF,116.8000132,40.79999417,1,0,0,response1disk_5,6,3.0496,-4.799988627,-5.600006521,1,0,0,rectangle_8,-4.799988627,-5.600006521,1,0,0,-4.799988627,-5.600006521,1,0,0,0,3,3,2,1,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,FF,36.80001199,-122.4000083,1,0,0,response3disk_5,4,14.9154,1.14441E-05,-12.80000663,1,0,0,rectangle_8,-53.59998935,-116.0000082,1,0,0,17.60006053,-5.600006521,1,0,0,0,4,4,5,1,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.1163,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,PF,52.00001222,-109.6000569,1,0,0,response3disk_5,4,8.3165,18.40001172,-2.400006473,1,0,0,rectangle_8,18.40001172,-2.400006473,1,0,0,18.40001172,-2.400006473,1,0,0,0,5,5,6,1,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,75,FF,35.20001197,-109.6000569,1,0,0,response3disk_5,4,6.5781,-3.999988616,13.59999377,1,0,0,rectangle_8,-3.999988616,13.59999377,1,0,0,-3.999988616,13.59999377,1,0,0,0,6,6,0,1,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.8006,,,,,,,,,,,,,,,,,,,,,,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.2598,200,99.20001292,-60.80000734,1,0,0,response3disk,,5,-10.39993988,-10.40000659,1,0,0,rectangle,-10.39993988,-10.40000659,1,0,0,-10.39993988,-10.40000659,1,0,0,0,0,0,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.4336,,,,,,,,,,,,,,,,,,,,,,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1856,108.0000131,-47.20000714,1,0,0,response3disk,,5,8.800011575,-6.4373E-06,1,0,0,rectangle,8.800011575,-6.4373E-06,1,0,0,8.800011575,-6.4373E-06,1,0,0,0,1,1,3,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1498,,,,,,,,,,,,,,,,,,,,,,60fce0303eddb8283807967a,6103660bcd3244672a76e48e,2021-07-29_22h39.02.054,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3381,-47.99998927,112.7999952,1,0,0,response7disk,,0,-1.59998858,-4.000006497,1,0,0,rectangle,-1.59998858,-4.000006497,1,0,0,-1.59998858,-4.000006497,1,0,0,0,2,2,69,1,,,,,,,,
