key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.7423,space,5.7954,space,36.8582,space,5.1263,space,1.5446,space,3.3155,60,PF,22,-133,1,0,0,response3disk_5,4,1.5336,-19,-3,1,0,0,rectangle_8,-19,-3,1,0,0,-19,-3,1,0,0,0,0,0,6,1,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,78,-39,1,0,0,response3disk_5,5,2.7169,-28,12,1,0,0,rectangle_8,89,-50,1,0,0,-16,18,1,0,0,0,1,1,4,1,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.3503,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,FF,62,-60,1,0,0,response3disk_5,5,1.2502,14,-1,1,0,0,rectangle_8,14,-1,1,0,0,14,-1,1,0,0,0,2,2,3,1,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,75,-41,1,0,0,response3disk_5,5,0.8666,18,9,1,0,0,rectangle_8,18,9,1,0,0,18,9,1,0,0,0,3,3,2,1,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,31,-79,1,0,0,response3disk_5,4,1.25,-5,-3,1,0,0,rectangle_8,74,76,1,0,0,-10,5,1,0,0,0,4,4,5,1,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,3.45,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,PF,61,-36,1,0,0,response3disk_5,5,1.0832,18,-2,1,0,0,rectangle_8,18,-2,1,0,0,18,-2,1,0,0,0,5,5,1,1,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,FF,-76,-58,1,0,0,response5disk_5,2,1.2166,25,6,1,0,0,rectangle_8,25,6,1,0,0,25,6,1,0,0,0,6,6,0,1,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1153,,,,,,,,,,,,,,,,,,,,,,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.4276,3036,-50,-74,1,0,0,response5disk,,3,9,2,1,0,0,rectangle,9,2,1,0,0,9,2,1,0,0,0,0,0,3,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9825,,,,,,,,,,,,,,,,,,,,,,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1540,-32,-64,1,0,0,response5disk,,3,-28,1,1,0,0,rectangle,-28,1,1,0,0,-28,1,1,0,0,0,1,1,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7008,,,,,,,,,,,,,,,,,,,,,,60fce1771681bdc5025b872e,61036f8066dec8e5896fc502,2021-07-29_23h19.48.420,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3482,31,-84,1,0,0,response3disk,,4,-13,9,1,0,0,rectangle,-13,9,1,0,0,-13,9,1,0,0,0,2,2,12,1,,,,,,,,
