key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3306,space,12.7256,space,42.7267,space,14.9666,space,3.2926,space,7.7464,81,PF,-33.54296875,66.8515625,1,0,0,response7disk_5,0,8.2361,-2.2890625,-2.19140625,1,0,0,rectangle_8,-2.2890625,-2.19140625,1,0,0,-2.2890625,-2.19140625,1,0,0,0,0,0,4,1,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,FF,42.04296875,-85.55078125,1,0,0,response3disk_5,4,10.0339,6.26171875,1.19921875,1,0,0,rectangle_8,-30.3828125,76.4765625,1,0,0,5.6953125,-1.171875,1,0,0,0,1,1,5,1,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.4846,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,PF,-64.20703125,26.8125,1,0,0,response7disk_5,1,2.7335,11.79296875,-4.74609375,1,0,0,rectangle_8,11.79296875,-4.74609375,1,0,0,11.79296875,-4.74609375,1,0,0,0,2,2,6,1,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,FF,70.85546875,-35.359375,1,0,0,response3disk_5,5,1.7164,18.04296875,5.96875,1,0,0,rectangle_8,18.04296875,5.96875,1,0,0,18.04296875,5.96875,1,0,0,0,3,3,3,1,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,-40.8515625,-71.74609375,1,0,0,response5disk_5,3,1.4487,1.45703125,-8.734375,1,0,0,rectangle_8,-33.54296875,90.4609375,1,0,0,-20.35546875,6.02734375,1,0,0,0,4,4,2,1,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.6159,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,PF,-65.34765625,-33.28515625,1,0,0,response5disk_5,2,1.4995,-3.90625,-9.84375,1,0,0,rectangle_8,-3.90625,-9.84375,1,0,0,-3.90625,-9.84375,1,0,0,0,5,5,1,1,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,FF,-54.328125,-31.77734375,1,0,0,response5disk_5,2,1.8148,-8.875,-9.88671875,1,0,0,rectangle_8,-8.875,-9.88671875,1,0,0,-8.875,-9.88671875,1,0,0,0,6,6,0,1,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8658,,,,,,,,,,,,,,,,,,,,,,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.194,2316,69.2890625,-42.578125,1,0,0,response3disk,,5,14.23046875,-11.21484375,1,0,0,rectangle,14.23046875,-11.21484375,1,0,0,14.23046875,-11.21484375,1,0,0,0,0,0,128,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4664,,,,,,,,,,,,,,,,,,,,,,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3789,40.8515625,-90.7734375,1,0,0,response3disk,,4,18.7109375,-0.62109375,1,0,0,rectangle,-68.5,-44.73828125,1,0,0,-11.33203125,-9.06640625,1,0,0,0,1,1,22,1,,response5disk_3,TRUE,2,2,"[63,178,164,59,12,2,90,283,57,56,316,58,48,86,311,163,93,138,212,42]",2.4961,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.8165,,,,,,,,,,,,,,,,,,,,,,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,239,63.18359375,-29.41796875,1,0,0,response3disk,,5,17.375,-6.4296875,1,0,0,rectangle,17.375,-6.4296875,1,0,0,17.375,-6.4296875,1,0,0,0,2,2,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1341,,,,,,,,,,,,,,,,,,,,,,60fce1afd66e85b2f0cc4e68,61036cfe377eb09d6274ba28,2021-07-29_23h08.18.578,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2054,75.72265625,-46.6171875,1,0,0,response3disk,,5,13.21875,-10.53515625,1,0,0,rectangle,13.21875,-10.53515625,1,0,0,13.21875,-10.53515625,1,0,0,0,3,3,58,1,,,,,,,,
