key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.286,space,3.309,space,15.274,space,11.406,space,1.412,space,4.066,111,FF,92,57,1,0,0,response1disk_5,6,3.271,14,0,1,0,0,rectangle_8,14,0,1,0,0,14,0,1,0,0,0,0,0,0,1,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,PF,98,-44,1,0,0,response3disk_5,5,1.568,9,0,1,0,0,rectangle_8,-57,-91,1,0,0,13,5,1,0,0,0,1,1,2,1,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.584,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,FF,56,-102,1,0,0,response3disk_5,4,1.601,-4,1,1,0,0,rectangle_8,-4,1,1,0,0,-4,1,1,0,0,0,2,2,5,1,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,151,PF,-56,-88,1,0,0,response5disk_5,3,1.951,15,0,1,0,0,rectangle_8,15,0,1,0,0,15,0,1,0,0,0,3,3,1,1,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,FF,84,-34,1,0,0,response3disk_5,5,1.501,-6,3,1,0,0,rectangle_8,-56,-101,1,0,0,8,2,1,0,0,0,4,4,3,1,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.2,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,PF,59,-93,1,0,0,response3disk_5,4,1.401,-6,9,1,0,0,rectangle_8,-6,9,1,0,0,-6,9,1,0,0,0,5,5,6,1,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,PF,-99,31,1,0,0,response7disk_5,1,1.416,0,-3,1,0,0,rectangle_8,0,-3,1,0,0,0,-3,1,0,0,0,6,6,4,1,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.034,,,,,,,,,,,,,,,,,,,,,,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.571,1524,-94,-56,1,0,0,response5disk,,2,14,-1,1,0,0,rectangle,14,-1,1,0,0,14,-1,1,0,0,0,0,0,7,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.068,,,,,,,,,,,,,,,,,,,,,,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,73,-26,-94,1,0,0,response5disk,,3,1,12,1,0,0,rectangle,-69,45,1,0,0,11,-4,1,0,0,0,1,1,156,1,,response7disk_3,TRUE,1,1,"[103,70,33,313,10,225,205,156,140,237,83,189,232,242,5,125,105,216,201,2]",1.6,rectangle
,,,,,,,,,,,,,FF,,,,,,,,0.934,,,,,,,,,,,,,,,,,,,,,,60fcf0589b18c268d5a2f38d,61036e9b8edf5797ea8d68b4,2021-07-29_22h15.26.875,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1167,98,-56,1,0,0,response3disk,,5,11,-3,1,0,0,rectangle,11,-3,1,0,0,11,-3,1,0,0,0,2,2,32,1,,,,,,,,
