key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.8209,space,9.8315,space,30.6503,space,2.9377,space,1.0941,space,3.2639,98,PF,39.9876709,-84.83325195,1,0,0,response3disk_5,4,10.8067,11.61151123,5.033691406,1,0,0,rectangle_8,11.61151123,5.033691406,1,0,0,11.61151123,5.033691406,1,0,0,0,0,0,1,1,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,FF,88.02490234,58.72241211,1,0,0,response1disk_5,6,6.4994,0.751342773,1.105224609,1,0,0,rectangle_8,-79.21398926,29.72116089,1,0,0,-5.737609863,2.024749756,1,0,0,0,1,1,3,1,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.1679,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,FF,41.03765869,-67.40942383,1,0,0,response3disk_5,4,6.2482,-16.28039551,3.805358887,1,0,0,rectangle_8,-16.28039551,3.805358887,1,0,0,-16.28039551,3.805358887,1,0,0,0,2,2,0,1,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,PF,81.1998291,-55.47509766,1,0,0,response3disk_5,5,2.6332,8.349243164,2.030639648,1,0,0,rectangle_8,8.349243164,2.030639648,1,0,0,8.349243164,2.030639648,1,0,0,0,3,3,2,1,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,FF,105.7001343,30.61810303,1,0,0,response1disk_5,6,5.532,21.63092041,-0.162353516,1,0,0,rectangle_8,-95.31835938,50.56665039,1,0,0,-16.26635742,4.428405762,1,0,0,0,4,4,5,1,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.5658,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,45.95300293,-81.3046875,1,0,0,response3disk_5,4,2.5495,-6.809570313,0.735046387,1,0,0,rectangle_8,-6.809570313,0.735046387,1,0,0,-6.809570313,0.735046387,1,0,0,0,5,5,6,1,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,PF,-69.36669922,-52.04144287,1,0,0,response5disk_5,2,2.0158,-9.463806152,4.16418457,1,0,0,rectangle_8,-9.463806152,4.16418457,1,0,0,-9.463806152,4.16418457,1,0,0,0,6,6,4,1,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0482,,,,,,,,,,,,,,,,,,,,,,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.0801,198,39.86737061,-69.18475342,1,0,0,response3disk,,4,-1.779846191,0.930541992,1,0,0,rectangle,-1.779846191,0.930541992,1,0,0,-1.779846191,0.930541992,1,0,0,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.7668,,,,,,,,,,,,,,,,,,,,,,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2201,90.82275391,-35.3815918,1,0,0,response3disk,,5,-9.177246094,0.206665039,1,0,0,rectangle,-9.177246094,0.206665039,1,0,0,-9.177246094,0.206665039,1,0,0,0,1,1,119,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1472,,,,,,,,,,,,,,,,,,,,,,60fcf1c57085de494d9f15c5,61036ec518eabf7ea66fd164,2021-07-30_13h16.09.359,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3713,-81.81390381,-38.05786133,1,0,0,response5disk,,2,-13.6038208,2.139648438,1,0,0,rectangle,-13.6038208,2.139648438,1,0,0,-13.6038208,2.139648438,1,0,0,0,2,2,113,1,,,,,,,,
