key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.819,space,2.3334,space,2.8339,space,3.6,space,1.8903,space,3.3342,53,FF,-78,-64,1,0,0,response5disk_5,2,7.759,5,-11,1,0,0,rectangle_8,5,-11,1,0,0,5,-11,1,0,0,0,0,0,5,1,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,61,-48,1,0,0,response3disk_5,5,10.2167,21,3,1,0,0,rectangle_8,140,-57,1,0,0,6,6,1,0,0,0,1,1,6,1,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.5997,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,FF,-53,-55,1,0,0,response5disk_5,3,5.3503,14,-5,1,0,0,rectangle_8,14,-5,1,0,0,14,-5,1,0,0,0,2,2,0,1,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,117,59,1,0,0,response1disk_5,6,2.1493,15,7,1,0,0,rectangle_8,15,7,1,0,0,15,7,1,0,0,0,3,3,2,1,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,PF,-91,-47,1,0,0,response5disk_5,2,1.9324,-2,6,1,0,0,rectangle_8,106,-53,1,0,0,-11,-11,1,0,0,0,4,4,4,1,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.7994,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,130,36,1,0,0,response1disk_5,6,2.8334,24,-10,1,0,0,rectangle_8,24,-10,1,0,0,24,-10,1,0,0,0,5,5,1,1,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,FF,92,-54,1,0,0,response3disk_5,5,2.4003,9,3,1,0,0,rectangle_8,9,3,1,0,0,9,3,1,0,0,0,6,6,3,1,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.4156,,,,,,,,,,,,,,,,,,,,,,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,1.8374,3464,77,38,1,0,0,response1disk,,6,16,-2,1,0,0,rectangle,16,-2,1,0,0,16,-2,1,0,0,0,0,0,58,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1553,,,,,,,,,,,,,,,,,,,,,,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1751,-95,-44,1,0,0,response5disk,,2,-9,-7,1,0,0,rectangle,-9,-7,1,0,0,-9,-7,1,0,0,0,1,1,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6828,,,,,,,,,,,,,,,,,,,,,,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,718,-40,-83,1,0,0,response5disk,,3,6,2,1,0,0,rectangle,6,2,1,0,0,6,2,1,0,0,0,2,2,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2744,61,99,1,0,0,response1disk,,7,14,2,1,0,0,rectangle,153,60,1,0,0,16,2,1,0,0,0,3,3,63,1,,response1disk_3,TRUE,6,6,"[242,259,194,196,182,207,120,56,25,20,258,144,218,4,148,271,256,113,108,257]",1.983,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.4324,,,,,,,,,,,,,,,,,,,,,,60fcf4f6c21c55d0cc9081c8,61036d41b25cdebc6342c23e,2021-07-29_20h10.20.746,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3545,103,-49,1,0,0,response3disk,,5,1,-7,1,0,0,rectangle,1,-7,1,0,0,1,-7,1,0,0,0,4,4,99,1,,,,,,,,
