key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.814,space,2.039,space,18.247,space,9.532,space,1.375,space,2.054,153,PF,49,56,1,0,0,response1disk_5,7,3.738,1,-8,1,0,0,rectangle_8,1,-8,1,0,0,1,-8,1,0,0,0,0,0,2,1,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,PF,58,68,1,0,0,response1disk_5,7,1.063,-2,-5,1,0,0,rectangle_8,-30,63,1,0,0,-6,-3,1,0,0,0,1,1,1,1,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.626,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,PF,31,-63,1,0,0,response3disk_5,4,1.932,-13,-11,1,0,0,rectangle_8,-13,-11,1,0,0,-13,-11,1,0,0,0,2,2,6,1,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,FF,67,45,1,0,0,response1disk_5,6,1.682,12,-7,1,0,0,rectangle_8,12,-7,1,0,0,12,-7,1,0,0,0,3,3,5,1,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,PF,60,36,1,0,0,response1disk_5,6,1.229,-15,5,1,0,0,rectangle_8,-45,78,1,0,0,-21,0,1,0,0,0,4,4,4,1,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.308,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,-27,-75,1,0,0,response5disk_5,3,1.783,-1,11,1,0,0,rectangle_8,-1,11,1,0,0,-1,11,1,0,0,0,5,5,0,1,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,FF,57,-33,1,0,0,response3disk_5,5,1.629,-1,7,1,0,0,rectangle_8,-1,7,1,0,0,-1,7,1,0,0,0,6,6,3,1,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.639,,,,,,,,,,,,,,,,,,,,,,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.559,3862,50,-25,1,0,0,response3disk,,5,9,10,1,0,0,rectangle,9,10,1,0,0,9,10,1,0,0,0,0,0,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.892,,,,,,,,,,,,,,,,,,,,,,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,443,-73,39,1,0,0,response7disk,,1,-15,2,1,0,0,rectangle,-15,2,1,0,0,-15,2,1,0,0,0,1,1,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.442,,,,,,,,,,,,,,,,,,,,,,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,696,43,-59,1,0,0,response3disk,,4,24,-7,1,0,0,rectangle,24,-7,1,0,0,24,-7,1,0,0,0,2,2,43,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.439,,,,,,,,,,,,,,,,,,,,,,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3339,-43,-47,1,0,0,response5disk,,3,10,-2,1,0,0,rectangle,10,-2,1,0,0,10,-2,1,0,0,0,3,3,120,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.137,,,,,,,,,,,,,,,,,,,,,,60fcf8392a83ae1b971d1199,61036bdc881c7a19b0966af9,2021-07-29_23h03.58.376,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1012,78,41,1,0,0,response1disk,,6,15,-8,1,0,0,rectangle,15,-8,1,0,0,15,-8,1,0,0,0,4,4,103,1,,,,,,,,
