key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,6.3858,space,8.1561,space,30.2005,space,10.7992,space,1.6407,space,8.2821,6,PF,-27.19998896,81.59999478,1,0,0,response7disk_5,0,9.1681,-0.799988568,-2.400006473,1,0,0,rectangle_8,-0.799988568,-2.400006473,1,0,0,-0.799988568,-2.400006473,1,0,0,0,0,0,2,1,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,40.80001205,67.99999458,1,0,0,response1disk_5,7,4.5976,-8.799988687,-4.000006497,1,0,0,rectangle_8,-72.79998964,29.599994,1,0,0,-1.59998858,-1.600006461,1,0,0,0,1,1,4,1,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,5.551,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27,FF,-20.79998887,-44.00000709,1,0,0,response5disk_5,3,3.4356,3.200011492,3.999993622,1,0,0,rectangle_8,3.200011492,3.999993622,1,0,0,3.200011492,3.999993622,1,0,0,0,2,2,5,1,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,88.80001277,39.99999416,1,0,0,response1disk_5,6,2.9151,0.800011456,6.399993658,1,0,0,rectangle_8,0.800011456,6.399993658,1,0,0,0.800011456,6.399993658,1,0,0,0,3,3,1,1,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,FF,30.4000119,63.99999452,1,0,0,response1disk_5,7,2.0461,-2.399939764,0.799993575,1,0,0,rectangle_8,-65.59998953,26.39999396,1,0,0,-9.599988699,-2.400006473,1,0,0,0,4,4,3,1,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,5.8995,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,53,FF,-38.3999403,-84.00000769,1,0,0,response5disk_5,3,2.0826,-1.59998858,-3.200006485,1,0,0,rectangle_8,-1.59998858,-3.200006485,1,0,0,-1.59998858,-3.200006485,1,0,0,0,5,5,0,1,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,PF,71.20001251,-33.60000694,1,0,0,response3disk_5,5,2.5499,16.80001169,-13.60000664,1,0,0,rectangle_8,16.80001169,-13.60000664,1,0,0,16.80001169,-13.60000664,1,0,0,0,6,6,6,1,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.4326,,,,,,,,,,,,,,,,,,,,,,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.107,3008,86.40001273,51.19996991,1,0,0,response1disk,,6,2.40001148,11.19999373,1,0,0,rectangle,2.40001148,11.19999373,1,0,0,2.40001148,11.19999373,1,0,0,0,0,0,68,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5823,,,,,,,,,,,,,,,,,,,,,,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2028,-41.59998918,-48.80000716,1,0,0,response5disk,,3,-5.599988639,5.599993646,1,0,0,rectangle,-5.599988639,5.599993646,1,0,0,-5.599988639,5.599993646,1,0,0,0,1,1,53,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4495,,,,,,,,,,,,,,,,,,,,,,60fcfc13c59a84fe5ae390d5,61036474107ed3ceabea3202,2021-07-29_22h31.52.101,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3933,75.20001256,-37.600007,1,0,0,response3disk,,5,14.40001166,7.19999367,1,0,0,rectangle,14.40001166,7.19999367,1,0,0,14.40001166,7.19999367,1,0,0,0,2,2,93,1,,,,,,,,
