key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2358,space,15.0366,space,18.6764,space,4.5818,space,3.0492,space,3.4336,80,FF,67.20001245,92.79999495,1,0,0,response1disk_5,7,5.1966,-1.199988574,3.19999361,1,0,0,rectangle_8,-1.199988574,3.19999361,1,0,0,-1.199988574,3.19999361,1,0,0,0,0,0,5,1,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,39.20001203,-82.00000766,1,0,0,response3disk_5,4,6.7658,-3.199988604,6.799993664,1,0,0,rectangle_8,-76.7999897,-35.20000696,1,0,0,15.20001167,9.999993712,1,0,0,0,1,1,3,1,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.5318,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,PF,62.40001237,-97.60005672,1,0,0,response3disk_5,4,5.0165,-3.59998861,2.799993604,1,0,0,rectangle_8,-3.59998861,2.799993604,1,0,0,-3.59998861,2.799993604,1,0,0,0,2,2,1,1,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,PF,-34.79998907,-70.40000749,1,0,0,response5disk_5,3,2.1359,2.000011474,11.19999373,1,0,0,rectangle_8,2.000011474,11.19999373,1,0,0,2.000011474,11.19999373,1,0,0,0,3,3,4,1,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,PF,27.20001185,-77.60000759,1,0,0,response3disk_5,4,2.6323,14.80001166,-2.800006479,1,0,0,rectangle_8,-77.59998971,-32.80000693,1,0,0,-5.599988639,1.599993587,1,0,0,0,4,4,2,1,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.3332,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,PF,-69.59998959,-34.00000694,1,0,0,response5disk_5,2,2.8485,-7.199988663,-0.400006443,1,0,0,rectangle_8,-7.199988663,-0.400006443,1,0,0,-7.199988663,-0.400006443,1,0,0,0,5,5,6,1,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,FF,-34.79998907,-78.0000076,1,0,0,response5disk_5,3,1.6506,-3.59998861,-7.600006551,1,0,0,rectangle_8,-3.59998861,-7.600006551,1,0,0,-3.59998861,-7.600006551,1,0,0,0,6,6,0,1,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4675,,,,,,,,,,,,,,,,,,,,,,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.4677,3783,-31.59998903,-68.00000745,1,0,0,response5disk,,3,11.60006045,5.599993646,1,0,0,rectangle,11.60006045,5.599993646,1,0,0,11.60006045,5.599993646,1,0,0,0,0,0,20,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2666,,,,,,,,,,,,,,,,,,,,,,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2915,71.60001251,-48.00000715,1,0,0,response3disk,,5,15.6000605,-6.4373E-06,1,0,0,rectangle,-90.79998991,-30.00000688,1,0,0,-9.999988705,-9.200006574,1,0,0,0,1,1,31,1,,response5disk_3,TRUE,2,2,"[246,310,245,267,75,278,2,257,285,66,25,53,206,186,138,186,312,298,24,97]",1.765,rectangle
,,,,,,,,,,,,,FF,,,,,,,,4.7522,,,,,,,,,,,,,,,,,,,,,,60fcfc1aa407beaf778db045,61036deaf0989bee0bac8e33,2021-07-29_20h12.15.434,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3681,104.800013,-66.00000742,1,0,0,response3disk,,5,21.60006059,-8.800006568,1,0,0,rectangle,21.60006059,-8.800006568,1,0,0,21.60006059,-8.800006568,1,0,0,0,2,2,145,1,,,,,,,,
