key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0394,space,11.6085,space,18.1206,space,5.6661,space,1.1455,space,4.4849,116,FF,-28.29748535,79.58197021,1,0,0,response7disk_5,0,4.9667,18.07196045,-10.62689209,1,0,0,rectangle_8,18.07196045,-10.62689209,1,0,0,18.07196045,-10.62689209,1,0,0,0,0,0,3,1,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,-28.22827148,48.53326416,1,0,0,response7disk_5,0,0.8832,3.493530273,-7.836791992,1,0,0,rectangle_8,30.30926514,-80.66699219,1,0,0,0.875915527,-3.140869141,1,0,0,0,1,1,6,1,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,3.1507,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,75,FF,33.73431396,83.02215576,1,0,0,response1disk_5,7,2.9834,4.748596191,8.852905273,1,0,0,rectangle_8,4.748596191,8.852905273,1,0,0,4.748596191,8.852905273,1,0,0,0,2,2,0,1,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,43.26953125,-61.80047607,1,0,0,response3disk_5,4,3.183,13.70239258,-2.65322876,1,0,0,rectangle_8,13.70239258,-2.65322876,1,0,0,13.70239258,-2.65322876,1,0,0,0,3,3,2,1,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,42.44689941,93.97363281,1,0,0,response1disk_5,7,1.8331,-0.938720703,-5.729492188,1,0,0,rectangle_8,36.10198975,-66.92047119,1,0,0,-14.03436279,8.219909668,1,0,0,0,4,4,4,1,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.8008,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,PF,34.95556641,-83.85693359,1,0,0,response3disk_5,4,2.8157,-4.485351563,5.31463623,1,0,0,rectangle_8,-4.485351563,5.31463623,1,0,0,-4.485351563,5.31463623,1,0,0,0,5,5,1,1,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,FF,88.99023438,-20.6885376,1,0,0,response3disk_5,5,1.4492,-4.931274414,5.059997559,1,0,0,rectangle_8,-4.931274414,5.059997559,1,0,0,-4.931274414,5.059997559,1,0,0,0,6,6,5,1,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2499,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.7364,2433,25.04003906,-40.23562622,1,0,0,response3disk,,4,8.826416016,-16.85241699,1,0,0,rectangle,8.826416016,-16.85241699,1,0,0,8.826416016,-16.85241699,1,0,0,0,0,0,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.5175,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,88,64.52380371,25.26446533,1,0,0,response1disk,,6,11.18469238,7.983947754,1,0,0,rectangle,11.18469238,7.983947754,1,0,0,11.18469238,7.983947754,1,0,0,0,1,1,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.201,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3417,52.77929688,14.53210449,1,0,0,response1disk,,6,3.769226074,-8.807006836,1,0,0,rectangle,3.769226074,-8.807006836,1,0,0,3.769226074,-8.807006836,1,0,0,0,2,2,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2333,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4160,46.89282227,86.86282349,1,0,0,response1disk,,7,-5.736938477,14.82263184,1,0,0,rectangle,-5.736938477,14.82263184,1,0,0,-5.736938477,14.82263184,1,0,0,0,3,3,77,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.7167,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,636,-78.90582275,-52.69030762,1,0,0,response5disk,,2,12.15106201,4.853759766,1,0,0,rectangle,12.15106201,4.853759766,1,0,0,12.15106201,4.853759766,1,0,0,0,4,4,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5825,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3912,-72.61846924,-46.73242188,1,0,0,response5disk,,2,8.320800781,-4.916809082,1,0,0,rectangle,8.320800781,-4.916809082,1,0,0,8.320800781,-4.916809082,1,0,0,0,5,5,43,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0002,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1676,-62.43310547,28.38696289,1,0,0,response7disk,,1,-1.434265137,3.482666016,1,0,0,rectangle,-1.434265137,3.482666016,1,0,0,-1.434265137,3.482666016,1,0,0,0,6,6,46,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4149,,,,,,,,,,,,,,,,,,,,,,60fcfdb47438518d822266bb,610378d3d669369cac315fb4,2021-07-29_20h58.42.202,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,305,-23.10180664,-89.32202148,1,0,0,response5disk,,3,27.57861328,16.80963135,1,0,0,rectangle,27.57861328,16.80963135,1,0,0,27.57861328,16.80963135,1,0,0,0,7,7,146,1,,,,,,,,
