key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,3.5137,space,9.6073,space,37.7088,space,4.8837,space,1.5839,space,4.5564,127,FF,-43.33331555,81.99999171,1,0,0,response7disk_5,0,4.0127,-2.666606983,-2.666677475,1,0,0,rectangle_8,-2.666606983,-2.666677475,1,0,0,-2.666606983,-2.666677475,1,0,0,0,0,0,5,1,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,58,PF,50.66668725,-56.66667908,1,0,0,response3disk_5,4,27.4419,-9.999981225,3.333322704,1,0,0,rectangle_8,34.00002009,-92.00001347,1,0,0,-9.333314538,3.99998939,1,0,0,0,1,1,1,1,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.7166,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,PF,69.33335447,43.33330355,1,0,0,response1disk_5,6,46.8997,-2.666606983,-1.07288E-05,1,0,0,rectangle_8,-2.666606983,-1.07288E-05,1,0,0,-2.666606983,-1.07288E-05,1,0,0,0,2,2,4,1,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,PF,89.33335507,30.66665685,1,0,0,response1disk_5,6,4.267,-14.66660734,-10.66667771,1,0,0,rectangle_8,-14.66660734,-10.66667771,1,0,0,-14.66660734,-10.66667771,1,0,0,0,3,3,6,1,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,FF,-72.66660907,-32.66667837,1,0,0,response5disk_5,2,2.2156,4.666685879,-6.000010908,1,0,0,rectangle_8,14.00001949,-60.6666792,1,0,0,-3.333314359,-2.666677475,1,0,0,0,4,4,3,1,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.949,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,FF,-57.33331597,-36.0000118,1,0,0,response5disk_5,2,7.3642,-1.999980986,2.666656017,1,0,0,rectangle_8,-1.999980986,2.666656017,1,0,0,-1.999980986,2.666656017,1,0,0,0,5,5,0,1,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,78.0000214,35.33330331,1,0,0,response1disk_5,6,2.8825,-1.999980986,2.666656017,1,0,0,rectangle_8,-1.999980986,2.666656017,1,0,0,-1.999980986,2.666656017,1,0,0,0,6,6,2,1,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4819,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.87,2844,-31.99998188,-57.33334577,1,0,0,response5disk,,3,-0.666606923,7.333322823,1,0,0,rectangle,-0.666606923,7.333322823,1,0,0,-0.666606923,7.333322823,1,0,0,0,0,0,8,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.9641,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,767,46.66668713,76.66665822,1,0,0,response1disk,,7,2.000019133,2.666656017,1,0,0,rectangle,2.000019133,2.666656017,1,0,0,2.000019133,2.666656017,1,0,0,0,1,1,91,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.0979,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2509,74.00002128,-28.66667825,1,0,0,response3disk,,5,-11.3333146,1.999989331,1,0,0,rectangle,-11.3333146,1.999989331,1,0,0,-11.3333146,1.999989331,1,0,0,0,2,2,144,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9543,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1687,-77.33331656,27.33330307,1,0,0,response7disk,,1,-2.666606983,1.999989331,1,0,0,rectangle,-2.666606983,1.999989331,1,0,0,-2.666606983,1.999989331,1,0,0,0,3,3,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5122,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1714,65.33335435,28.66665679,1,0,0,response1disk,,6,3.333393196,0.666655958,1,0,0,rectangle,3.333393196,0.666655958,1,0,0,3.333393196,0.666655958,1,0,0,0,4,4,79,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4702,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2564,59.33335418,-22.00001138,1,0,0,response3disk,,5,2.66668582,3.99998939,1,0,0,rectangle,2.66668582,3.99998939,1,0,0,2.66668582,3.99998939,1,0,0,0,5,5,129,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.3638,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3618,68.0000211,34.66665697,1,0,0,response1disk,,6,-13.33331466,-0.666677415,1,0,0,rectangle,-13.33331466,-0.666677415,1,0,0,-13.33331466,-0.666677415,1,0,0,0,6,6,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5993,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1048,54.66668737,-72.66667956,1,0,0,response3disk,,4,-0.666606923,7.333322823,1,0,0,rectangle,-0.666606923,7.333322823,1,0,0,-0.666606923,7.333322823,1,0,0,0,7,7,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0868,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,474,75.33335465,-25.33334482,1,0,0,response3disk,,5,-3.999981046,-4.000010848,1,0,0,rectangle,-3.999981046,-4.000010848,1,0,0,-3.999981046,-4.000010848,1,0,0,0,8,8,109,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1045,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,111,74.00002128,-37.33334517,1,0,0,response3disk,,5,1.333393137,-3.333344162,1,0,0,rectangle,1.333393137,-3.333344162,1,0,0,1.333393137,-3.333344162,1,0,0,0,9,9,53,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3996,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,693,-61.33331609,-40.00001192,1,0,0,response5disk,,2,-3.999981046,1.999989331,1,0,0,rectangle,26.66668653,66.66665792,1,0,0,-3.999981046,0.666655958,1,0,0,0,10,10,27,1,,response1disk_3,TRUE,7,7,"[138,67,282,248,226,241,102,58,17,53,268,135,257,289,248,244,11,49,63,20]",2.2157,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.8168,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2951,-36.666608,-52.00001228,1,0,0,response5disk,,3,3.333393196,3.99998939,1,0,0,rectangle,3.333393196,3.99998939,1,0,0,3.333393196,3.99998939,1,0,0,0,11,11,128,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5201,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,42,81.33335483,-45.33334541,1,0,0,response3disk,,5,-4.666607042,2.666656017,1,0,0,rectangle,-4.666607042,2.666656017,1,0,0,-4.666607042,2.666656017,1,0,0,0,12,12,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2848,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3602,-79.33331662,-30.66667831,1,0,0,response5disk,,2,4.000019193,3.99998939,1,0,0,rectangle,4.000019193,3.99998939,1,0,0,4.000019193,3.99998939,1,0,0,0,13,13,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0036,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2594,-69.33331633,-38.66667855,1,0,0,response5disk,,2,4.000019193,-0.666677415,1,0,0,rectangle,4.000019193,-0.666677415,1,0,0,4.000019193,-0.666677415,1,0,0,0,14,14,70,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5811,,,,,,,,,,,,,,,,,,,,,,60fd025b3771dba1f0c29671,61036c8e2e04dc1b32ea0d49,2021-07-29_21h07.00.564,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3442,-61.33331609,21.99998993,1,0,0,response7disk,,1,-5.999981105,-3.333344162,1,0,0,rectangle,-5.999981105,-3.333344162,1,0,0,-5.999981105,-3.333344162,1,0,0,0,15,15,13,1,,,,,,,,
