key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.7234,space,6.8948,space,17.6165,space,8.05,space,1.1838,space,3.4663,117,FF,40.37799072,-79.30322266,1,0,0,response3disk_5,4,14.2679,-0.865722656,2.853912354,1,0,0,rectangle_8,-0.865722656,2.853912354,1,0,0,-0.865722656,2.853912354,1,0,0,0,0,0,0,1,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,PF,61.16955566,47.96942139,1,0,0,response1disk_5,6,1.1501,5.462524414,0.022521973,1,0,0,rectangle_8,-48.92456055,-60.1763916,1,0,0,-7.051025391,0.936828613,1,0,0,0,1,1,6,1,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.8837,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,PF,78.26104736,28.66186523,1,0,0,response1disk_5,6,1.5828,17.39556885,2.404266357,1,0,0,rectangle_8,17.39556885,2.404266357,1,0,0,17.39556885,2.404266357,1,0,0,0,2,2,1,1,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,44.12487793,35.58502197,1,0,0,response1disk_5,6,0.834,8.346374512,4.405700684,1,0,0,rectangle_8,8.346374512,4.405700684,1,0,0,8.346374512,4.405700684,1,0,0,0,3,3,4,1,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,-72.37896729,-49.00006104,1,0,0,response5disk_5,2,3.4169,-10.40679932,-7.367675781,1,0,0,rectangle_8,-53.12457275,-53.0168457,1,0,0,-19.62164307,-6.620910645,1,0,0,0,4,4,2,1,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.2338,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,156,FF,23.62017822,-57.40029907,1,0,0,response3disk_5,4,1.4497,19.07946777,-13.86199951,1,0,0,rectangle_8,19.07946777,-13.86199951,1,0,0,19.07946777,-13.86199951,1,0,0,0,5,5,3,1,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38,FF,-72.06054688,-73.17224121,1,0,0,response5disk_5,3,1.5327,-27.11676025,-4.611663818,1,0,0,rectangle_8,-27.11676025,-4.611663818,1,0,0,-27.11676025,-4.611663818,1,0,0,0,6,6,5,1,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9999,,,,,,,,,,,,,,,,,,,,,,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.7315,3465,45.1194458,-89.63336182,1,0,0,response3disk,,4,13.43695068,-10.28778076,1,0,0,rectangle,13.43695068,-10.28778076,1,0,0,13.43695068,-10.28778076,1,0,0,0,0,0,0,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.966,,,,,,,,,,,,,,,,,,,,,,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3669,-40.99169922,30.58294678,1,0,0,response7disk,,1,0.116638184,3.464630127,1,0,0,rectangle,0.116638184,3.464630127,1,0,0,0.116638184,3.464630127,1,0,0,0,1,1,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.081,,,,,,,,,,,,,,,,,,,,,,60fd03428b4a25226606b9ea,61036e227d71215a78b89df3,2021-07-30_13h16.23.336,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,404,37.4831543,-34.68444824,1,0,0,response3disk,,5,10.51599121,-14.94763184,1,0,0,rectangle,10.51599121,-14.94763184,1,0,0,10.51599121,-14.94763184,1,0,0,0,2,2,27,1,,,,,,,,
