key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2036,space,18.8109,space,14.6007,space,1.7801,space,0.6554,space,2.1437,31,PF,54,118,1,0,0,response1disk_5,7,7.0448,10,3,1,0,0,rectangle_8,10,3,1,0,0,10,3,1,0,0,0,0,0,4,1,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,84,141,1,0,0,response1disk_5,7,2.1844,-12,-1,1,0,0,rectangle_8,-45,131,1,0,0,-3,-4,1,0,0,0,1,1,2,1,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.436,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,118,-48,1,0,0,response3disk_5,5,3.5902,-2,4,1,0,0,rectangle_8,-2,4,1,0,0,-2,4,1,0,0,0,2,2,3,1,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,62,134,1,0,0,response1disk_5,7,1.7345,8,5,1,0,0,rectangle_8,8,5,1,0,0,8,5,1,0,0,0,3,3,6,1,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,51,135,1,0,0,response1disk_5,7,0.863,7,13,1,0,0,rectangle_8,-53,122,1,0,0,-17,2,1,0,0,0,4,4,5,1,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.5137,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,FF,61,-133,1,0,0,response3disk_5,4,2.0805,14,-7,1,0,0,rectangle_8,14,-7,1,0,0,14,-7,1,0,0,0,5,5,0,1,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,PF,89,-51,1,0,0,response3disk_5,5,1.2024,-7,-4,1,0,0,rectangle_8,-7,-4,1,0,0,-7,-4,1,0,0,0,6,6,1,1,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2467,,,,,,,,,,,,,,,,,,,,,,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.1156,1011,90,136,1,0,0,response1disk,,7,4,-2,1,0,0,rectangle,4,-2,1,0,0,4,-2,1,0,0,0,0,0,143,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.456,,,,,,,,,,,,,,,,,,,,,,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3243,-104,50,1,0,0,response7disk,,1,-10,-5,1,0,0,rectangle,-10,-5,1,0,0,-10,-5,1,0,0,0,1,1,8,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4172,,,,,,,,,,,,,,,,,,,,,,60fd03a3f22f9dd32bff5fa8,61036d7f810ea010637744ab,2021-07-30_12h40.40.156,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,143,59,-125,1,0,0,response3disk,,4,-1,18,1,0,0,rectangle,133,-58,1,0,0,-2,6,1,0,0,0,2,2,56,1,,response3disk_3,TRUE,5,5,"[142,74,227,253,292,141,115,320,320,34,161,92,55,266,3,99,261,9,102,267]",2.2737,rectangle
