key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.9012,space,15.9855,space,226.7346,space,238.8905,space,0.219,space,4.7733,79,FF,-71,28,1,0,0,response7disk_5,1,3.118,3,5,1,0,0,rectangle_8,3,5,1,0,0,3,5,1,0,0,0,0,0,3,1,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,FF,56,27,1,0,0,response1disk_5,6,3.9638,-2,-10,1,0,0,rectangle_8,43,77,1,0,0,0,5,1,0,0,0,1,1,5,1,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.8656,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,PF,43,52,1,0,0,response1disk_5,7,3.0817,5,5,1,0,0,rectangle_8,5,5,1,0,0,5,5,1,0,0,0,2,2,6,1,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,44,-87,1,0,0,response3disk_5,4,2.5749,6,9,1,0,0,rectangle_8,6,9,1,0,0,6,9,1,0,0,0,3,3,2,1,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,FF,66,-44,1,0,0,response3disk_5,5,1.066,2,1,1,0,0,rectangle_8,40,76,1,0,0,-4,-4,1,0,0,0,4,4,0,1,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.953,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,34,-54,1,0,0,response3disk_5,4,2.1979,-10,6,1,0,0,rectangle_8,-10,6,1,0,0,-10,6,1,0,0,0,5,5,4,1,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,PF,-21,-91,1,0,0,response5disk_5,3,4.7756,1,-5,1,0,0,rectangle_8,1,-5,1,0,0,1,-5,1,0,0,0,6,6,1,1,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8989,,,,,,,,,,,,,,,,,,,,,,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.7343,933,34,58,1,0,0,response1disk,,7,-7,-2,1,0,0,rectangle,-7,-2,1,0,0,-7,-2,1,0,0,0,0,0,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3495,,,,,,,,,,,,,,,,,,,,,,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3797,70,-24,1,0,0,response3disk,,5,1,2,1,0,0,rectangle,83,37,1,0,0,-11,-8,1,0,0,0,1,1,83,1,,response1disk_3,TRUE,6,6,"[95,165,42,122,25,87,180,220,318,189,296,258,201,35,129,15,26,2,258,115]",1.829,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.7029,,,,,,,,,,,,,,,,,,,,,,60fd054e01eea24cbe66aece,610371865c71bc937b21ddf9,2021-07-30_00h07.37.431,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2541,-76,23,1,0,0,response7disk,,1,12,2,1,0,0,rectangle,12,2,1,0,0,12,2,1,0,0,0,2,2,96,1,,,,,,,,
