key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.634,space,8.668,space,32.221,space,20.423,space,4.765,space,7.584,11,PF,-29,78,1,0,0,response7disk_5,0,18.553,-13,-2,1,0,0,rectangle_8,-13,-2,1,0,0,-13,-2,1,0,0,0,0,0,1,1,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,FF,-61,-91,1,0,0,response5disk_5,3,6.134,-13,-5,1,0,0,rectangle_8,104,-62,1,0,0,5,5,1,0,0,0,1,1,3,1,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.392,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,PF,62,86,1,0,0,response1disk_5,7,4.229,-14,-7,1,0,0,rectangle_8,-14,-7,1,0,0,-14,-7,1,0,0,0,2,2,2,1,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,87,PF,46,89,1,0,0,response1disk_5,7,4.01,-4,3,1,0,0,rectangle_8,-4,3,1,0,0,-4,3,1,0,0,0,3,3,4,1,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,FF,34,75,1,0,0,response1disk_5,7,1.488,7,1,1,0,0,rectangle_8,98,-50,1,0,0,-5,-12,1,0,0,0,4,4,0,1,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.323,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,PF,51,73,1,0,0,response1disk_5,7,2.005,-6,-5,1,0,0,rectangle_8,-6,-5,1,0,0,-6,-5,1,0,0,0,5,5,6,1,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,FF,82,-41,1,0,0,response3disk_5,5,2.188,14,-6,1,0,0,rectangle_8,14,-6,1,0,0,14,-6,1,0,0,0,6,6,5,1,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.555,,,,,,,,,,,,,,,,,,,,,,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,4.197,2269,44,87,1,0,0,response1disk,,7,21,-8,1,0,0,rectangle,21,-8,1,0,0,21,-8,1,0,0,0,0,0,29,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.404,,,,,,,,,,,,,,,,,,,,,,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1142,65,-39,1,0,0,response3disk,,5,-1,-5,1,0,0,rectangle,-1,-5,1,0,0,-1,-5,1,0,0,0,1,1,141,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.254,,,,,,,,,,,,,,,,,,,,,,60fd101eff0f1c63455307fe,61036dd53946c5585509af13,2021-07-29_20h11.53.248,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1577,27,90,1,0,0,response1disk,,7,5,-8,1,0,0,rectangle,5,-8,1,0,0,5,-8,1,0,0,0,2,2,38,1,,,,,,,,
