key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2267,space,9.0567,space,21.4824,space,3.9169,space,3.953,space,7.0495,117,PF,39,95,1,0,0,response1disk_5,7,7.6525,0,-2,1,0,0,rectangle_8,0,-2,1,0,0,0,-2,1,0,0,0,0,0,2,1,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,109,FF,36,74,1,0,0,response1disk_5,7,3.4166,-1,-2,1,0,0,rectangle_8,-83,-32,1,0,0,-3,-6,1,0,0,0,1,1,3,1,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,4.3172,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,PF,41,101,1,0,0,response1disk_5,7,2.9,0,0,1,0,0,rectangle_8,0,0,1,0,0,0,0,1,0,0,0,2,2,6,1,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,FF,68,30,1,0,0,response1disk_5,6,2.0502,3,-2,1,0,0,rectangle_8,3,-2,1,0,0,3,-2,1,0,0,0,3,3,0,1,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,73,-34,1,0,0,response3disk_5,5,2.0194,19,-2,1,0,0,rectangle_8,-84,-30,1,0,0,6,-2,1,0,0,0,4,4,5,1,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.2832,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,PF,46,56,1,0,0,response1disk_5,7,1.5001,15,-6,1,0,0,rectangle_8,15,-6,1,0,0,15,-6,1,0,0,0,5,5,1,1,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,45,-69,1,0,0,response3disk_5,4,1.9833,14,7,1,0,0,rectangle_8,14,7,1,0,0,14,7,1,0,0,0,6,6,4,1,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8337,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2462,150,101,45,1,0,0,response1disk,,6,6,7,1,0,0,rectangle,6,7,1,0,0,6,7,1,0,0,0,0,0,100,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4165,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,949,38,99,1,0,0,response1disk,,7,-13,-7,1,0,0,rectangle,-13,-7,1,0,0,-13,-7,1,0,0,0,1,1,77,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4504,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,832,42,83,1,0,0,response1disk,,7,13,3,1,0,0,rectangle,13,3,1,0,0,13,3,1,0,0,0,2,2,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7001,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,436,66,26,1,0,0,response1disk,,6,11,-7,1,0,0,rectangle,11,-7,1,0,0,11,-7,1,0,0,0,3,3,76,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0834,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3520,57,-24,1,0,0,response3disk,,5,14,8,1,0,0,rectangle,14,8,1,0,0,14,8,1,0,0,0,4,4,156,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2838,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,787,34,66,1,0,0,response1disk,,7,13,0,1,0,0,rectangle,13,0,1,0,0,13,0,1,0,0,0,5,5,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3669,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,852,35,60,1,0,0,response1disk,,7,4,-2,1,0,0,rectangle,4,-2,1,0,0,4,-2,1,0,0,0,6,6,75,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.5335,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2543,-47,-87,1,0,0,response5disk,,3,-6,0,1,0,0,rectangle,-6,0,1,0,0,-6,0,1,0,0,0,7,7,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.7999,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1536,42,-84,1,0,0,response3disk,,4,2,-7,1,0,0,rectangle,2,-7,1,0,0,2,-7,1,0,0,0,8,8,157,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7667,,,,,,,,,,,,,,,,,,,,,,60fd51ecc8c5b6dcbb506fac,61036e8fc5234f1187fb1c72,2021-07-29_23h15.09.069,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1986,71,-40,1,0,0,response3disk,,5,17,5,1,0,0,rectangle,17,5,1,0,0,17,5,1,0,0,0,9,9,83,1,,,,,,,,
