key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.353,space,2.993,space,15.954,space,6.268,space,0.912,space,6.064,30,FF,65,-74,1,0,0,response3disk_5,4,15.747,-2,-7,1,0,0,rectangle_8,-2,-7,1,0,0,-2,-7,1,0,0,0,0,0,0,1,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,PF,47,103,1,0,0,response1disk_5,7,3.2,5,1,1,0,0,rectangle_8,41,-113,1,0,0,-1,-1,1,0,0,0,1,1,2,1,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,4.187,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,FF,99,41,1,0,0,response1disk_5,6,3.32,-12,-4,1,0,0,rectangle_8,-12,-4,1,0,0,-12,-4,1,0,0,0,2,2,5,1,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,63,PF,-46,96,1,0,0,response7disk_5,0,2.6,-2,-1,1,0,0,rectangle_8,-2,-1,1,0,0,-2,-1,1,0,0,0,3,3,1,1,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,PF,41,100,1,0,0,response1disk_5,7,1.351,-2,0,1,0,0,rectangle_8,43,-101,1,0,0,-2,-5,1,0,0,0,4,4,4,1,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.036,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,PF,46,101,1,0,0,response1disk_5,7,2.37,6,-3,1,0,0,rectangle_8,6,-3,1,0,0,6,-3,1,0,0,0,5,5,6,1,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,46,111,1,0,0,response1disk_5,7,1.104,-12,-4,1,0,0,rectangle_8,-12,-4,1,0,0,-12,-4,1,0,0,0,6,6,3,1,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.502,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.891,1302,108,38,1,0,0,response1disk,,6,8,-1,1,0,0,rectangle,8,-1,1,0,0,8,-1,1,0,0,0,0,0,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.055,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1639,41,102,1,0,0,response1disk,,7,12,0,1,0,0,rectangle,12,0,1,0,0,12,0,1,0,0,0,1,1,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.585,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2297,46,-107,1,0,0,response3disk,,4,3,-2,1,0,0,rectangle,3,-2,1,0,0,3,-2,1,0,0,0,2,2,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.971,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3172,42,114,1,0,0,response1disk,,7,6,5,1,0,0,rectangle,6,5,1,0,0,6,5,1,0,0,0,3,3,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4368,-35,107,1,0,0,response7disk,,0,0,0,1,0,0,rectangle,0,0,1,0,0,0,0,1,0,0,0,4,4,133,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.888,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2968,38,98,1,0,0,response1disk,,7,11,-4,1,0,0,rectangle,11,-4,1,0,0,11,-4,1,0,0,0,5,5,5,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.688,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,579,41,95,1,0,0,response1disk,,7,15,-3,1,0,0,rectangle,15,-3,1,0,0,15,-3,1,0,0,0,6,6,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.621,,,,,,,,,,,,,,,,,,,,,,60fd55ed264098eb4692f1d9,61036ae405f315829a6dd535,2021-07-30_12h59.51.023,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1637,31,71,1,0,0,response1disk,,7,21,1,1,0,0,rectangle,21,1,1,0,0,21,1,1,0,0,0,7,7,73,1,,,,,,,,
