key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,3.1959,space,30.3062,space,21.8142,space,14.2476,space,0.8501,space,3.0146,88,FF,-58.80078125,-31.16796875,1,0,0,response5disk_5,2,7.9031,-15.359375,5.9296875,1,0,0,rectangle_8,-15.359375,5.9296875,1,0,0,-15.359375,5.9296875,1,0,0,0,0,0,5,1,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,136,PF,27.73046875,66.546875,1,0,0,response1disk_5,7,4.4851,5.6484375,6.58984375,1,0,0,rectangle_8,57.1015625,-34.23828125,1,0,0,2.546875,4.95703125,1,0,0,0,1,1,2,1,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.0331,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,81,FF,-60.92578125,-29.34765625,1,0,0,response5disk_5,2,2.2493,-14.87109375,-5.01953125,1,0,0,rectangle_8,-14.87109375,-5.01953125,1,0,0,-14.87109375,-5.01953125,1,0,0,0,2,2,3,1,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,FF,58.74609375,41.87109375,1,0,0,response1disk_5,6,2.2652,4.37109375,0.375,1,0,0,rectangle_8,4.37109375,0.375,1,0,0,4.37109375,0.375,1,0,0,0,3,3,0,1,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,-54.765625,-21.65625,1,0,0,response5disk_5,2,3.4501,-5.47265625,8.8046875,1,0,0,rectangle_8,75.8359375,28.6875,1,0,0,-2.640625,-3.76953125,1,0,0,0,4,4,6,1,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.8512,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,PF,96.05859375,34.30859375,1,0,0,response1disk_5,6,2.0838,17.23828125,4.78515625,1,0,0,rectangle_8,17.23828125,4.78515625,1,0,0,17.23828125,4.78515625,1,0,0,0,5,5,4,1,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,90.140625,-70.7734375,1,0,0,response3disk_5,5,2.7829,16.46875,-11.08203125,1,0,0,rectangle_8,16.46875,-11.08203125,1,0,0,16.46875,-11.08203125,1,0,0,0,6,6,1,1,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9852,,,,,,,,,,,,,,,,,,,,,,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,4.3531,181,73.265625,35.1796875,1,0,0,response1disk,,6,10.0234375,5.859375,1,0,0,rectangle,10.0234375,5.859375,1,0,0,10.0234375,5.859375,1,0,0,0,0,0,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.035,,,,,,,,,,,,,,,,,,,,,,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2544,41.87109375,-83.40625,1,0,0,response3disk,,4,7.625,-5.71484375,1,0,0,rectangle,7.625,-5.71484375,1,0,0,7.625,-5.71484375,1,0,0,0,1,1,116,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9155,,,,,,,,,,,,,,,,,,,,,,60fd62affd3d7f977a27fc6b,61036e3ff1dd5187a7b63c6e,2021-07-29_23h14.00.701,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1606,36.00390625,-85.8671875,1,0,0,response3disk,,4,4.23046875,3.22265625,1,0,0,rectangle,91.76953125,-71.640625,1,0,0,10.75,11.74609375,1,0,0,0,2,2,74,1,,response3disk_3,TRUE,5,3,"[278,200,279,203,214,71,63,35,148,25,236,78,73,104,100,275,152,38,226,3]",2.2504,rectangle
