key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.536,space,15.517,space,35.933,space,15.755,space,0.793,space,3.96,1,PF,20,41,1,0,0,response1disk_5,7,4.582,2,7,1,0,0,rectangle_8,2,7,1,0,0,2,7,1,0,0,0,0,0,6,1,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,PF,21,39,1,0,0,response1disk_5,7,2.167,-8,-1,1,0,0,rectangle_8,-47,31,1,0,0,-2,5,1,0,0,0,1,1,1,1,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.101,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,PF,44,19,1,0,0,response1disk_5,6,1.533,6,4,1,0,0,rectangle_8,6,4,1,0,0,6,4,1,0,0,0,2,2,2,1,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,95,FF,25,39,1,0,0,response1disk_5,7,1.516,-3,8,1,0,0,rectangle_8,-3,8,1,0,0,-3,8,1,0,0,0,3,3,3,1,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,41,19,1,0,0,response1disk_5,6,1.367,3,6,1,0,0,rectangle_8,-41,17,1,0,0,-12,2,1,0,0,0,4,4,0,1,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.582,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,PF,43,23,1,0,0,response1disk_5,6,1.217,8,4,1,0,0,rectangle_8,8,4,1,0,0,8,4,1,0,0,0,5,5,4,1,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,FF,20,40,1,0,0,response1disk_5,7,1.066,-7,1,1,0,0,rectangle_8,-7,1,1,0,0,-7,1,1,0,0,0,6,6,5,1,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.383,,,,,,,,,,,,,,,,,,,,,,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.857,1633,30,40,1,0,0,response1disk,,7,1,3,1,0,0,rectangle,1,3,1,0,0,1,3,1,0,0,0,0,0,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.116,,,,,,,,,,,,,,,,,,,,,,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2496,34,15,1,0,0,response1disk,,6,2,-2,1,0,0,rectangle,2,-2,1,0,0,2,-2,1,0,0,0,1,1,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.114,,,,,,,,,,,,,,,,,,,,,,60fd6537ec893eee4eb8c3eb,61036a4ba0280fce27023e4f,2021-07-29_22h56.49.400,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3952,39,24,1,0,0,response1disk,,6,-24,-2,1,0,0,rectangle,-24,-2,1,0,0,-24,-2,1,0,0,0,2,2,134,1,,,,,,,,
