key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,3.8687,space,8.9443,space,6.2699,space,3.9414,space,1.3338,space,3.0283,139,PF,38.6015625,-79.17578125,1,0,0,response3disk_5,4,3.9384,-0.95703125,2.02734375,1,0,0,rectangle_8,-0.95703125,2.02734375,1,0,0,-0.95703125,2.02734375,1,0,0,0,0,0,4,1,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,FF,82.40625,-35.421875,1,0,0,response3disk_5,5,2.4341,0.30859375,-7.4375,1,0,0,rectangle_8,-33.15234375,82.45703125,1,0,0,1.3125,-4.265625,1,0,0,0,1,1,5,1,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.9244,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,63.98046875,24.08203125,1,0,0,response1disk_5,6,1.7178,-3.1953125,-1.78125,1,0,0,rectangle_8,-3.1953125,-1.78125,1,0,0,-3.1953125,-1.78125,1,0,0,0,2,2,1,1,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,53,PF,51.1640625,-27.234375,1,0,0,response3disk_5,5,1.4183,-7.55078125,-0.97265625,1,0,0,rectangle_8,-7.55078125,-0.97265625,1,0,0,-7.55078125,-0.97265625,1,0,0,0,3,3,6,1,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,FF,46.94921875,-29.36328125,1,0,0,response3disk_5,5,1.051,11.765625,-7.64453125,1,0,0,rectangle_8,-15.8828125,90.48046875,1,0,0,0.54296875,-12.91015625,1,0,0,0,4,4,0,1,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,1.868,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,PF,30.90625,-52.859375,1,0,0,response3disk_5,4,1.1349,9.1015625,-3.1171875,1,0,0,rectangle_8,9.1015625,-3.1171875,1,0,0,9.1015625,-3.1171875,1,0,0,0,5,5,2,1,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,FF,-33.03125,-71.75390625,1,0,0,response5disk_5,3,1.5354,18.6484375,-0.78515625,1,0,0,rectangle_8,18.6484375,-0.78515625,1,0,0,18.6484375,-0.78515625,1,0,0,0,6,6,3,1,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.185,,,,,,,,,,,,,,,,,,,,,,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.1357,2491,28.6640625,-64.1640625,1,0,0,response3disk,,4,9.89453125,-6.984375,1,0,0,rectangle,9.89453125,-6.984375,1,0,0,9.89453125,-6.984375,1,0,0,0,0,0,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.602,,,,,,,,,,,,,,,,,,,,,,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2684,-47.8359375,-85.58203125,1,0,0,response5disk,,3,-9.69921875,12.265625,1,0,0,rectangle,-9.69921875,12.265625,1,0,0,-9.69921875,12.265625,1,0,0,0,1,1,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2191,,,,,,,,,,,,,,,,,,,,,,60fd6b02340bf3233276eba9,61036ef566dec8e5896fc4f5,2021-07-29_23h18.50.991,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,582,72.55078125,34.83203125,1,0,0,response1disk,,6,13.09765625,3.796875,1,0,0,rectangle,13.09765625,3.796875,1,0,0,13.09765625,3.796875,1,0,0,0,2,2,37,1,,,,,,,,
