key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.119,space,3.231,space,24.479,space,5.685,space,0.647,space,4.772,54,FF,40,70,1,0,0,response1disk_5,7,6.382,2,4,1,0,0,rectangle_8,2,4,1,0,0,2,4,1,0,0,0,0,0,3,1,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,99,-21,1,0,0,response3disk_5,5,2.999,1,0,1,0,0,rectangle_8,48,78,1,0,0,-5,-6,1,0,0,0,1,1,4,1,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.633,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,75,-35,1,0,0,response3disk_5,5,2.866,-3,-3,1,0,0,rectangle_8,-3,-3,1,0,0,-3,-3,1,0,0,0,2,2,1,1,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,135,PF,83,-35,1,0,0,response3disk_5,5,1.582,-6,7,1,0,0,rectangle_8,-6,7,1,0,0,-6,7,1,0,0,0,3,3,2,1,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,PF,-39,97,1,0,0,response7disk_5,0,1.783,4,2,1,0,0,rectangle_8,40,107,1,0,0,-9,1,1,0,0,0,4,4,6,1,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.35,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,FF,-93,-52,1,0,0,response5disk_5,2,1.783,4,5,1,0,0,rectangle_8,4,5,1,0,0,4,5,1,0,0,0,5,5,5,1,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,FF,-98,47,1,0,0,response7disk_5,1,1.116,-4,3,1,0,0,rectangle_8,-4,3,1,0,0,-4,3,1,0,0,0,6,6,0,1,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.766,,,,,,,,,,,,,,,,,,,,,,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.962,1399,92,70,1,0,0,response1disk,,6,-8,-2,1,0,0,rectangle,-8,-2,1,0,0,-8,-2,1,0,0,0,0,0,44,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.933,,,,,,,,,,,,,,,,,,,,,,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3487,48,-71,1,0,0,response3disk,,4,4,6,1,0,0,rectangle,4,6,1,0,0,4,6,1,0,0,0,1,1,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.532,,,,,,,,,,,,,,,,,,,,,,60fd700ffac5eba3832e3304,6103798053b06843ea59217a,2021-07-30_00h01.37.363,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,434,-49,-72,1,0,0,response5disk,,3,-15,-8,1,0,0,rectangle,-15,-8,1,0,0,-15,-8,1,0,0,0,2,2,157,1,,,,,,,,
