key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3071,space,3.529,space,16.8731,space,5.5664,space,1.2911,space,5.735,72,FF,36.8203125,87.58984375,1,0,0,response1disk_5,7,4.7511,6.34765625,1.06640625,1,0,0,rectangle_8,6.34765625,1.06640625,1,0,0,6.34765625,1.06640625,1,0,0,0,0,0,3,1,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,FF,25.61328125,64.05859375,1,0,0,response1disk_5,7,2.0503,-8.7734375,-6.92578125,1,0,0,rectangle_8,-36.7421875,83.46484375,1,0,0,-1.62109375,-6.6328125,1,0,0,0,1,1,5,1,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.8838,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,40.03125,98.4609375,1,0,0,response1disk_5,7,2.9003,-12.84765625,-8.50390625,1,0,0,rectangle_8,-12.84765625,-8.50390625,1,0,0,-12.84765625,-8.50390625,1,0,0,0,2,2,2,1,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,120,PF,92.703125,23.765625,1,0,0,response1disk_5,6,1.8509,11.8046875,-2.8828125,1,0,0,rectangle_8,11.8046875,-2.8828125,1,0,0,11.8046875,-2.8828125,1,0,0,0,3,3,1,1,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,47.5234375,-30.66796875,1,0,0,response3disk_5,5,1.7162,3.03125,-5.40234375,1,0,0,rectangle_8,-26.28125,109.4140625,1,0,0,-12.8125,-1.796875,1,0,0,0,4,4,6,1,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,PF,24.91015625,-65.03515625,1,0,0,response3disk_5,4,2.4174,3.34375,4.7890625,1,0,0,rectangle_8,3.34375,4.7890625,1,0,0,3.34375,4.7890625,1,0,0,0,5,5,4,1,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,FF,-39.04296875,-60.9453125,1,0,0,response5disk_5,3,1.9346,-1.90625,8.49609375,1,0,0,rectangle_8,-1.90625,8.49609375,1,0,0,-1.90625,8.49609375,1,0,0,0,6,6,0,1,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8009,,,,,,,,,,,,,,,,,,,,,,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.0589,1584,51.27734375,-29.10546875,1,0,0,response3disk,,5,9.6875,-4.73828125,1,0,0,rectangle,9.6875,-4.73828125,1,0,0,9.6875,-4.73828125,1,0,0,0,0,0,96,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.951,,,,,,,,,,,,,,,,,,,,,,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1688,-83.05078125,-35.9140625,1,0,0,response5disk,,2,6.67578125,-0.67578125,1,0,0,rectangle,6.67578125,-0.67578125,1,0,0,6.67578125,-0.67578125,1,0,0,0,1,1,9,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8169,,,,,,,,,,,,,,,,,,,,,,60fd73381530a432898654d5,61036ad4970c3c4689702f9a,2021-07-29_21h59.02.339,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4042,84.41796875,50.20703125,1,0,0,response1disk,,6,3.5859375,-0.953125,1,0,0,rectangle,3.5859375,-0.953125,1,0,0,3.5859375,-0.953125,1,0,0,0,2,2,20,1,,,,,,,,
