key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.854,space,5.523,space,15.45,space,3.715,space,0.747,space,3.886,63,PF,-41,-57,1,0,0,response5disk_5,3,18.92,-21,5,1,0,0,rectangle_8,-21,5,1,0,0,-21,5,1,0,0,0,0,0,6,1,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,FF,-37,42,1,0,0,response7disk_5,0,2.867,-17,11,1,0,0,rectangle_8,33,81,1,0,0,-17,-2,1,0,0,0,1,1,0,1,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.535,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,PF,23,-82,1,0,0,response3disk_5,4,2.084,2,-1,1,0,0,rectangle_8,2,-1,1,0,0,2,-1,1,0,0,0,2,2,1,1,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,-45,54,1,0,0,response7disk_5,0,4.684,-5,2,1,0,0,rectangle_8,-5,2,1,0,0,-5,2,1,0,0,0,3,3,4,1,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,FF,-45,-67,1,0,0,response5disk_5,3,4.117,-20,-4,1,0,0,rectangle_8,53,90,1,0,0,3,-7,1,0,0,0,4,4,3,1,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.65,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,137,PF,73,-38,1,0,0,response3disk_5,5,4.383,2,1,1,0,0,rectangle_8,2,1,1,0,0,2,1,1,0,0,0,5,5,2,1,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,FF,-27,90,1,0,0,response7disk_5,0,3.951,-13,-12,1,0,0,rectangle_8,-13,-12,1,0,0,-13,-12,1,0,0,0,6,6,5,1,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.116,,,,,,,,,,,,,,,,,,,,,,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.689,3566,49,-80,1,0,0,response3disk,,4,12,-3,1,0,0,rectangle,12,-3,1,0,0,12,-3,1,0,0,0,0,0,5,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.583,,,,,,,,,,,,,,,,,,,,,,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3897,67,33,1,0,0,response1disk,,6,16,-6,1,0,0,rectangle,16,-6,1,0,0,16,-6,1,0,0,0,1,1,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.118,,,,,,,,,,,,,,,,,,,,,,60fd760a74bf79dc673e156e,61036debd1e815722ce9f194,2021-07-30_13h13.07.357,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2403,31,-57,1,0,0,response3disk,,4,6,-6,1,0,0,rectangle,6,-6,1,0,0,6,-6,1,0,0,0,2,2,88,1,,,,,,,,
