key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.33,space,4.482,space,32.363,space,3.428,space,0.93,space,4.459,152,PF,77,-41,1,0,0,response3disk_5,5,23.216,0,5,1,0,0,rectangle_8,0,5,1,0,0,0,5,1,0,0,0,0,0,2,1,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,PF,32,67,1,0,0,response1disk_5,7,4.634,-6,0,1,0,0,rectangle_8,38,-93,1,0,0,-5,5,1,0,0,0,1,1,1,1,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,3.418,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,151,PF,-40,-70,1,0,0,response5disk_5,3,4.784,13,-3,1,0,0,rectangle_8,13,-3,1,0,0,13,-3,1,0,0,0,2,2,4,1,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,FF,98,32,1,0,0,response1disk_5,6,5.683,15,7,1,0,0,rectangle_8,15,7,1,0,0,15,7,1,0,0,0,3,3,3,1,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,71,28,1,0,0,response1disk_5,6,1.983,16,2,1,0,0,rectangle_8,54,-76,1,0,0,22,-2,1,0,0,0,4,4,5,1,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.099,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,63,FF,31,-76,1,0,0,response3disk_5,4,2.466,12,-3,1,0,0,rectangle_8,12,-3,1,0,0,12,-3,1,0,0,0,5,5,0,1,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,59,-48,1,0,0,response3disk_5,5,1.303,24,-6,1,0,0,rectangle_8,24,-6,1,0,0,24,-6,1,0,0,0,6,6,6,1,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.466,,,,,,,,,,,,,,,,,,,,,,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.119,3220,45,-29,1,0,0,response3disk,,5,10,-1,1,0,0,rectangle,10,-1,1,0,0,10,-1,1,0,0,0,0,0,98,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.966,,,,,,,,,,,,,,,,,,,,,,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,59,41,-56,1,0,0,response3disk,,4,15,0,1,0,0,rectangle,15,0,1,0,0,15,0,1,0,0,0,1,1,125,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.183,,,,,,,,,,,,,,,,,,,,,,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,649,81,-38,1,0,0,response3disk,,5,27,-4,1,0,0,rectangle,27,-4,1,0,0,27,-4,1,0,0,0,2,2,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.549,,,,,,,,,,,,,,,,,,,,,,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1096,82,48,1,0,0,response1disk,,6,19,9,1,0,0,rectangle,19,9,1,0,0,19,9,1,0,0,0,3,3,113,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1072,58,-40,1,0,0,response3disk,,5,13,-4,1,0,0,rectangle,13,-4,1,0,0,13,-4,1,0,0,0,4,4,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.383,,,,,,,,,,,,,,,,,,,,,,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,389,56,-30,1,0,0,response3disk,,5,23,-9,1,0,0,rectangle,23,-9,1,0,0,23,-9,1,0,0,0,5,5,110,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.582,,,,,,,,,,,,,,,,,,,,,,60fd84f001f3672f1d717cc7,61036b5d80e18145fa95da26,2021-07-29_22h01.46.129,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3450,45,-30,1,0,0,response3disk,,5,19,-3,1,0,0,rectangle,19,-3,1,0,0,19,-3,1,0,0,0,6,6,152,1,,,,,,,,
