key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.2026,space,2.2064,space,20.8469,space,14.0802,space,0.9293,space,4.1508,140,PF,103.866394,43.09463501,1,0,0,response1disk_5,6,9.7717,-16.74188232,-13.89144897,1,0,0,rectangle_8,-16.74188232,-13.89144897,1,0,0,-16.74188232,-13.89144897,1,0,0,0,0,0,4,1,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,52.1817627,-111.5057373,1,0,0,response3disk_5,4,2.3166,-4.88067627,-6.413330078,1,0,0,rectangle_8,-89.67669678,-50.66827393,1,0,0,-0.053466797,4.483520508,1,0,0,0,1,1,1,1,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.8013,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,-39.27746582,83.71856689,1,0,0,response7disk_5,0,2.3674,7.434692383,-1.395355225,1,0,0,rectangle_8,7.434692383,-1.395355225,1,0,0,7.434692383,-1.395355225,1,0,0,0,2,2,6,1,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,FF,102.9746704,49.77957153,1,0,0,response1disk_5,6,1.4998,-1.36138916,2.156158447,1,0,0,rectangle_8,-1.36138916,2.156158447,1,0,0,-1.36138916,2.156158447,1,0,0,0,3,3,3,1,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,FF,-88.13964844,-36.40496826,1,0,0,response5disk_5,2,1.3169,-8.43359375,5.077270508,1,0,0,rectangle_8,-76.47753906,-46.44918823,1,0,0,-11.57727051,-3.126525879,1,0,0,0,4,4,0,1,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.2688,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,FF,-46.92883301,-89.06933594,1,0,0,response5disk_5,3,1.3822,-11.67468262,5.307006836,1,0,0,rectangle_8,-11.67468262,5.307006836,1,0,0,-11.67468262,5.307006836,1,0,0,0,5,5,5,1,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,PF,46.81225586,64.05471802,1,0,0,response1disk_5,7,0.9843,-19.83435059,-0.843780518,1,0,0,rectangle_8,-19.83435059,-0.843780518,1,0,0,-19.83435059,-0.843780518,1,0,0,0,6,6,2,1,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1164,,,,,,,,,,,,,,,,,,,,,,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,0.8313,1458,-68.74353027,34.31826782,1,0,0,response7disk,,1,-19.00073242,-6.330993652,1,0,0,rectangle,-19.00073242,-6.330993652,1,0,0,-19.00073242,-6.330993652,1,0,0,0,0,0,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0498,,,,,,,,,,,,,,,,,,,,,,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3905,85.06939697,46.56713867,1,0,0,response1disk,,6,-1.943054199,-2.031311035,1,0,0,rectangle,-1.943054199,-2.031311035,1,0,0,-1.943054199,-2.031311035,1,0,0,0,1,1,83,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9659,,,,,,,,,,,,,,,,,,,,,,60fd8576272fbc9918d4677e,61036e9afeab2892fddca0c4,2021-07-29_22h15.08.439,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3684,70.06176758,-51.69494629,1,0,0,response3disk,,5,-4.958312988,-9.42590332,1,0,0,rectangle,-4.958312988,-9.42590332,1,0,0,-4.958312988,-9.42590332,1,0,0,0,2,2,77,1,,,,,,,,
