key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2772,space,1.5016,space,8.0352,space,0.6526,space,0.5198,space,3.2802,150,FF,99.19946289,59.38690186,1,0,0,response1disk_5,6,6.2247,15.26568604,-6.129455566,1,0,0,rectangle_8,15.26568604,-6.129455566,1,0,0,15.26568604,-6.129455566,1,0,0,0,0,0,5,1,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,PF,-94.54370117,36.61611938,1,0,0,response7disk_5,1,2.2686,-7.424560547,-0.673248291,1,0,0,rectangle_8,34.09881592,-86.75372314,1,0,0,13.65808105,-5.078796387,1,0,0,0,1,1,6,1,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.2848,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,PF,43.46606445,-82.06982422,1,0,0,response3disk_5,4,2.1649,19.20599365,-9.356414795,1,0,0,rectangle_8,19.20599365,-9.356414795,1,0,0,19.20599365,-9.356414795,1,0,0,0,2,2,2,1,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,FF,60.21289063,-88.91668701,1,0,0,response3disk_5,4,2.468,26.70904541,-0.180969238,1,0,0,rectangle_8,26.70904541,-0.180969238,1,0,0,26.70904541,-0.180969238,1,0,0,0,3,3,0,1,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,91.92657471,-28.61230469,1,0,0,response3disk_5,5,2.4965,35.68444824,-1.839447021,1,0,0,rectangle_8,43.51495361,-72.94073486,1,0,0,22.35644531,-3.745483398,1,0,0,0,4,4,4,1,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.9987,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,PF,64.30096436,78.49404907,1,0,0,response1disk_5,7,1.3835,22.59106445,8.981231689,1,0,0,rectangle_8,22.59106445,8.981231689,1,0,0,22.59106445,8.981231689,1,0,0,0,5,5,1,1,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,FF,-71.20495605,-41.18518066,1,0,0,response5disk_5,2,1.3343,-1.937438965,-17.75210571,1,0,0,rectangle_8,-1.937438965,-17.75210571,1,0,0,-1.937438965,-17.75210571,1,0,0,0,6,6,3,1,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5343,,,,,,,,,,,,,,,,,,,,,,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.8853,3981,35.91241455,-120.8029175,1,0,0,response3disk,,4,0.904174805,-2.61340332,1,0,0,rectangle,0.904174805,-2.61340332,1,0,0,0.904174805,-2.61340332,1,0,0,0,0,0,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2621,,,,,,,,,,,,,,,,,,,,,,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2736,-41.16381836,-71.62115479,1,0,0,response5disk,,3,7.989501953,9.164245605,1,0,0,rectangle,7.989501953,9.164245605,1,0,0,7.989501953,9.164245605,1,0,0,0,1,1,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2689,,,,,,,,,,,,,,,,,,,,,,60fd8ca930ae2235452962a2,6103795fa44862f47913e48f,2021-07-29_21h03.59.324,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1525,-26.20855713,-60.01037598,1,0,0,response5disk,,3,3.737976074,-3.471343994,1,0,0,rectangle,3.737976074,-3.471343994,1,0,0,3.737976074,-3.471343994,1,0,0,0,2,2,154,1,,,,,,,,
