key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.449,space,15.204,space,60.162,space,20.694,space,2.738,space,5.139,93,FF,42,87,1,0,0,response1disk_5,7,17.784,7,3,1,0,0,rectangle_8,7,3,1,0,0,7,3,1,0,0,0,0,0,3,1,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,PF,87,36,1,0,0,response1disk_5,6,6.767,-7,9,1,0,0,rectangle_8,-49,107,1,0,0,3,2,1,0,0,0,1,1,2,1,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.983,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,PF,105,38,1,0,0,response1disk_5,6,5.167,-1,1,1,0,0,rectangle_8,-1,1,1,0,0,-1,1,1,0,0,0,2,2,1,1,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,FF,51,82,1,0,0,response1disk_5,7,3.352,-9,-9,1,0,0,rectangle_8,-9,-9,1,0,0,-9,-9,1,0,0,0,3,3,5,1,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,PF,41,97,1,0,0,response1disk_5,7,2.149,1,-4,1,0,0,rectangle_8,-40,102,1,0,0,-1,1,1,0,0,0,4,4,4,1,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.701,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,PF,40,75,1,0,0,response1disk_5,7,2.584,3,5,1,0,0,rectangle_8,3,5,1,0,0,3,5,1,0,0,0,5,5,6,1,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,FF,99,34,1,0,0,response1disk_5,6,3.283,1,5,1,0,0,rectangle_8,1,5,1,0,0,1,5,1,0,0,0,6,6,0,1,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.133,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.946,2525,75,46,1,0,0,response1disk,,6,0,-1,1,0,0,rectangle,0,-1,1,0,0,0,-1,1,0,0,0,0,0,124,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.466,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,604,80,37,1,0,0,response1disk,,6,-2,2,1,0,0,rectangle,-2,2,1,0,0,-2,2,1,0,0,0,1,1,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.716,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1896,-101,-34,1,0,0,response5disk,,2,-3,3,1,0,0,rectangle,-3,3,1,0,0,-3,3,1,0,0,0,2,2,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.483,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,450,69,-44,1,0,0,response3disk,,5,3,-1,1,0,0,rectangle,3,-1,1,0,0,3,-1,1,0,0,0,3,3,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.767,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1323,36,-73,1,0,0,response3disk,,4,-3,1,1,0,0,rectangle,-3,1,1,0,0,-3,1,1,0,0,0,4,4,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.834,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1297,-42,-90,1,0,0,response5disk,,3,-2,-3,1,0,0,rectangle,-2,-3,1,0,0,-2,-3,1,0,0,0,5,5,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.317,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,929,84,33,1,0,0,response1disk,,6,-2,-2,1,0,0,rectangle,-2,-2,1,0,0,-2,-2,1,0,0,0,6,6,58,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.634,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3161,38,-83,1,0,0,response3disk,,4,-1,4,1,0,0,rectangle,-1,4,1,0,0,-1,4,1,0,0,0,7,7,4,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.301,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1976,94,-36,1,0,0,response3disk,,5,2,1,1,0,0,rectangle,2,1,1,0,0,2,1,1,0,0,0,8,8,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.284,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,65,-95,-45,1,0,0,response5disk,,2,6,1,1,0,0,rectangle,6,1,1,0,0,6,1,1,0,0,0,9,9,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.534,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2168,-96,-54,1,0,0,response5disk,,2,-6,-5,1,0,0,rectangle,98,51,1,0,0,-1,3,1,0,0,0,10,10,131,1,,response1disk_3,TRUE,6,6,"[11,18,309,242,159,173,51,36,302,132,243,273,118,178,121,289,120,274,32,40]",2.934,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.167,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3849,-47,-116,1,0,0,response5disk,,3,3,4,1,0,0,rectangle,3,4,1,0,0,3,4,1,0,0,0,11,11,97,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,492,83,36,1,0,0,response1disk,,6,-2,-5,1,0,0,rectangle,-2,-5,1,0,0,-2,-5,1,0,0,0,12,12,3,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.199,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1332,76,-33,1,0,0,response3disk,,5,-2,0,1,0,0,rectangle,-2,0,1,0,0,-2,0,1,0,0,0,13,13,146,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,417,35,-75,1,0,0,response3disk,,4,6,0,1,0,0,rectangle,6,0,1,0,0,6,0,1,0,0,0,14,14,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.966,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2585,67,36,1,0,0,response1disk,,6,-7,-1,1,0,0,rectangle,-7,-1,1,0,0,-7,-1,1,0,0,0,15,15,59,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.567,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2307,30,-81,1,0,0,response3disk,,4,1,-5,1,0,0,rectangle,1,-5,1,0,0,1,-5,1,0,0,0,16,16,31,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.117,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,628,92,-41,1,0,0,response3disk,,5,-4,8,1,0,0,rectangle,-41,91,1,0,0,-2,-5,1,0,0,0,17,17,15,1,,response7disk_3,TRUE,0,0,"[11,18,309,242,159,173,51,36,302,132,243,273,118,178,121,289,120,274,32,40]",1.601,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,611,-36,-79,1,0,0,response5disk,,3,-1,1,1,0,0,rectangle,-1,1,1,0,0,-1,1,1,0,0,0,18,18,105,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.884,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,235,42,-85,1,0,0,response3disk,,4,-3,-1,1,0,0,rectangle,-3,-1,1,0,0,-3,-1,1,0,0,0,19,19,33,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.285,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,258,-42,-83,1,0,0,response5disk,,3,-1,-6,1,0,0,rectangle,-1,-6,1,0,0,-1,-6,1,0,0,0,20,20,23,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.983,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,518,35,-89,1,0,0,response3disk,,4,11,10,1,0,0,rectangle,11,10,1,0,0,11,10,1,0,0,0,21,21,46,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.383,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,949,45,-86,1,0,0,response3disk,,4,7,-8,1,0,0,rectangle,7,-8,1,0,0,7,-8,1,0,0,0,22,22,159,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.784,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,225,92,-48,1,0,0,response3disk,,5,8,6,1,0,0,rectangle,8,6,1,0,0,8,6,1,0,0,0,23,23,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.216,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2266,79,-35,1,0,0,response3disk,,5,-6,1,1,0,0,rectangle,-6,1,1,0,0,-6,1,1,0,0,0,24,24,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.534,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1061,-34,-85,1,0,0,response5disk,,3,-3,2,1,0,0,rectangle,-3,2,1,0,0,-3,2,1,0,0,0,25,25,144,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.516,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3823,79,-51,1,0,0,response3disk,,5,4,6,1,0,0,rectangle,4,6,1,0,0,4,6,1,0,0,0,26,26,32,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.767,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,889,-95,-42,1,0,0,response5disk,,2,-1,7,1,0,0,rectangle,-1,7,1,0,0,-1,7,1,0,0,0,27,27,39,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2182,106,54,1,0,0,response1disk,,6,-24,-1,1,0,0,rectangle,-24,-1,1,0,0,-24,-1,1,0,0,0,28,28,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.484,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,615,23,-95,1,0,0,response3disk,,4,-5,10,1,0,0,rectangle,-5,10,1,0,0,-5,10,1,0,0,0,29,29,95,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.201,,,,,,,,,,,,,,,,,,,,,,60fd8ea378ec4f0fa9a043be,61036f235259933529c752cd,2021-07-29_20h18.00.086,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1450,-45,-99,1,0,0,response5disk,,3,5,-4,1,0,0,rectangle,5,-4,1,0,0,5,-4,1,0,0,0,30,30,57,1,,,,,,,,
