key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.263,space,6.276,space,64.301,space,11.813,space,2.02,space,3.669,67,PF,39,69,1,0,0,response1disk_5,7,21.785,-3,-10,1,0,0,rectangle_8,-3,-10,1,0,0,-3,-10,1,0,0,0,0,0,6,1,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,151,PF,-30,-94,1,0,0,response5disk_5,3,5.017,-8,-8,1,0,0,rectangle_8,-93,-38,1,0,0,-6,-10,1,0,0,0,1,1,1,1,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,5.05,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,77,36,1,0,0,response1disk_5,6,3.466,14,2,1,0,0,rectangle_8,14,2,1,0,0,14,2,1,0,0,0,2,2,4,1,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,FF,-87,15,1,0,0,response7disk_5,1,9.001,-30,-13,1,0,0,rectangle_8,-30,-13,1,0,0,-30,-13,1,0,0,0,3,3,5,1,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,-61,-34,1,0,0,response5disk_5,2,1.4,-13,-3,1,0,0,rectangle_8,-84,-44,1,0,0,-27,-7,1,0,0,0,4,4,3,1,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,PF,80,-42,1,0,0,response3disk_5,5,2.266,14,-16,1,0,0,rectangle_8,14,-16,1,0,0,14,-16,1,0,0,0,5,5,2,1,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,77,31,1,0,0,response1disk_5,6,2.183,17,14,1,0,0,rectangle_8,17,14,1,0,0,17,14,1,0,0,0,6,6,0,1,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.95,,,,,,,,,,,,,,,,,,,,,,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.923,1219,-86,-48,1,0,0,response5disk,,2,-7,2,1,0,0,rectangle,-7,2,1,0,0,-7,2,1,0,0,0,0,0,28,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.134,,,,,,,,,,,,,,,,,,,,,,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1010,68,-25,1,0,0,response3disk,,5,19,1,1,0,0,rectangle,19,1,1,0,0,19,1,1,0,0,0,1,1,32,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,60fd90dcfe0ff975d27c61c1,61036c7107acff5c33023766,2021-07-29_23h05.58.287,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,684,84,64,1,0,0,response1disk,,6,0,-6,1,0,0,rectangle,0,-6,1,0,0,0,-6,1,0,0,0,2,2,93,1,,,,,,,,
