key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,13.706,space,6.209,space,47.7195,space,4.2879,space,0.1207,space,4.7357,96,FF,-47.171875,104.09375,1,0,0,response7disk_5,0,10.053,14.33984375,-6.515625,1,0,0,rectangle_8,14.33984375,-6.515625,1,0,0,14.33984375,-6.515625,1,0,0,0,0,0,0,1,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,PF,-63.91796875,28.2734375,1,0,0,response7disk_5,1,8.7508,-0.91015625,3.2734375,1,0,0,rectangle_8,-38.125,104.0273438,1,0,0,-5.8515625,-3.33984375,1,0,0,0,1,1,1,1,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.3333,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,FF,69.80859375,37.62109375,1,0,0,response1disk_5,6,5.8164,-2.546875,-1.81640625,1,0,0,rectangle_8,-2.546875,-1.81640625,1,0,0,-2.546875,-1.81640625,1,0,0,0,2,2,3,1,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,PF,30.33203125,-90.67578125,1,0,0,response3disk_5,4,1.8655,-5.73828125,11.87109375,1,0,0,rectangle_8,-5.73828125,11.87109375,1,0,0,-5.73828125,11.87109375,1,0,0,0,3,3,2,1,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,FF,79.78515625,41.55859375,1,0,0,response1disk_5,6,1.6679,14.57421875,-7.31640625,1,0,0,rectangle_8,-29.1796875,-100.6289063,1,0,0,11.5078125,6.6953125,1,0,0,0,4,4,5,1,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.5836,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,PF,71.5546875,-41.9765625,1,0,0,response3disk_5,5,2.135,-24.12109375,13.34375,1,0,0,rectangle_8,-24.12109375,13.34375,1,0,0,-24.12109375,13.34375,1,0,0,0,5,5,4,1,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,PF,55.6484375,-67.3046875,1,0,0,response3disk_5,4,1.7156,19.8671875,-0.421875,1,0,0,rectangle_8,19.8671875,-0.421875,1,0,0,19.8671875,-0.421875,1,0,0,0,6,6,6,1,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2336,,,,,,,,,,,,,,,,,,,,,,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.0553,4119,68.296875,-28.921875,1,0,0,response3disk,,5,1.20703125,0.47265625,1,0,0,rectangle,1.20703125,0.47265625,1,0,0,1.20703125,0.47265625,1,0,0,0,0,0,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.7666,,,,,,,,,,,,,,,,,,,,,,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3892,31.23046875,-60.08203125,1,0,0,response3disk,,4,-2.16796875,1.609375,1,0,0,rectangle,-2.16796875,1.609375,1,0,0,-2.16796875,1.609375,1,0,0,0,1,1,139,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.8021,,,,,,,,,,,,,,,,,,,,,,60fd9253ff686bfc8372a42e,610366bfe360822e03470ad6,2021-07-29_22h42.11.718,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1928,72.53125,-40.86328125,1,0,0,response3disk,,5,9.6640625,-0.79296875,1,0,0,rectangle,9.6640625,-0.79296875,1,0,0,9.6640625,-0.79296875,1,0,0,0,2,2,40,1,,,,,,,,
