key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.4005,space,36.9573,space,34.6346,space,19.0729,space,15.4903,space,5.4888,57,PF,-92,33,1,0,0,response7disk_5,1,1.8823,-19,6,1,0,0,rectangle_8,-19,6,1,0,0,-19,6,1,0,0,0,0,0,6,1,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,-90,-51,1,0,0,response5disk_5,2,5.9402,-4,12,1,0,0,rectangle_8,-44,-97,1,0,0,-3,1,1,0,0,0,1,1,2,1,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,10.0589,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,FF,52,91,1,0,0,response1disk_5,7,5.6488,-3,6,1,0,0,rectangle_8,-3,6,1,0,0,-3,6,1,0,0,0,2,2,3,1,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,PF,-104,-53,1,0,0,response5disk_5,2,4.0328,-8,0,1,0,0,rectangle_8,-8,0,1,0,0,-8,0,1,0,0,0,3,3,4,1,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,PF,-40,86,1,0,0,response7disk_5,0,3.832,-6,-6,1,0,0,rectangle_8,-45,-101,1,0,0,-1,9,1,0,0,0,4,4,1,1,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,6.0409,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,FF,-62,47,1,0,0,response7disk_5,1,2.109,8,-5,1,0,0,rectangle_8,8,-5,1,0,0,8,-5,1,0,0,0,5,5,5,1,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,FF,84,44,1,0,0,response1disk_5,6,1.4069,-5,4,1,0,0,rectangle_8,-5,4,1,0,0,-5,4,1,0,0,0,6,6,0,1,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.1213,,,,,,,,,,,,,,,,,,,,,,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.3685,3072,-95,55,1,0,0,response7disk,,1,-19,4,1,0,0,rectangle,-19,4,1,0,0,-19,4,1,0,0,0,0,0,95,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4042,,,,,,,,,,,,,,,,,,,,,,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1845,89,41,1,0,0,response1disk,,6,2,-4,1,0,0,rectangle,41,-101,1,0,0,-3,-2,1,0,0,0,1,1,60,1,,response3disk_3,TRUE,4,4,"[2,69,74,42,135,147,285,209,160,75,20,242,75,97,315,283,39,178,277,315]",3.0638,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.6569,,,,,,,,,,,,,,,,,,,,,,60fda145558ce7763d95441e,610377bc03bf8ae497a56e42,2021-07-30_12h01.56.683,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3601,53,-54,1,0,0,response3disk,,4,-4,-3,1,0,0,rectangle,-4,-3,1,0,0,-4,-3,1,0,0,0,2,2,29,1,,,,,,,,
