key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,8.4962,space,4.2825,space,5.7297,space,4.0003,space,2.0806,space,9.4343,31,FF,49.203125,-27.40234375,1,0,0,response3disk_5,5,12.9332,-2.35546875,3.6484375,1,0,0,rectangle_8,-2.35546875,3.6484375,1,0,0,-2.35546875,3.6484375,1,0,0,0,0,0,0,1,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,PF,-27.1015625,-38.53515625,1,0,0,response5disk_5,3,4.4004,-9.1796875,-0.8203125,1,0,0,rectangle_8,56.37890625,21.37890625,1,0,0,1.95703125,-2.62890625,1,0,0,0,1,1,1,1,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.2002,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,135,PF,38.28515625,-15.15234375,1,0,0,response3disk_5,5,3.5175,0.9921875,1.9140625,1,0,0,rectangle_8,0.9921875,1.9140625,1,0,0,0.9921875,1.9140625,1,0,0,0,2,2,6,1,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,FF,-30.8359375,-45.640625,1,0,0,response5disk_5,3,1.8183,-11.74609375,-13.65234375,1,0,0,rectangle_8,-11.74609375,-13.65234375,1,0,0,-11.74609375,-13.65234375,1,0,0,0,3,3,3,1,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,-27.9375,-40.32421875,1,0,0,response5disk_5,3,1.1676,0.45703125,-0.90234375,1,0,0,rectangle_8,42.72265625,14.1796875,1,0,0,-2.8984375,-2.25,1,0,0,0,4,4,2,1,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.6001,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,PF,16.64453125,-61.3125,1,0,0,response3disk_5,4,1.9807,0.2421875,3.671875,1,0,0,rectangle_8,0.2421875,3.671875,1,0,0,0.2421875,3.671875,1,0,0,0,5,5,4,1,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,FF,-33.4921875,-21.4609375,1,0,0,response5disk_5,2,6.1328,-1.48828125,-4.87890625,1,0,0,rectangle_8,-1.48828125,-4.87890625,1,0,0,-1.48828125,-4.87890625,1,0,0,0,6,6,5,1,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9344,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9785,786,-16.42578125,-37.55859375,1,0,0,response5disk,,3,-3.05859375,-1.38671875,1,0,0,rectangle,-18.703125,48.58203125,1,0,0,response7disk_3,TRUE,0,0,"[128,93,313,110,229,321,276,220,235,89,218,223,316,2,266,1,52,223,284,158]",2.6329,-5.671875,-6.078125,1,0,0,rectangle,0,0,0,86,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1663,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,200,27.53125,-57.5546875,1,0,0,response3disk,,4,5.73828125,-9.27734375,1,0,0,rectangle,-42.08984375,18.03125,1,0,0,response7disk_3,TRUE,1,1,"[128,93,313,110,229,321,276,220,235,89,218,223,316,2,266,1,52,223,284,158]",2.2,-12.0546875,2.27734375,1,0,0,rectangle,0,1,1,101,1,
,,,,,,,,,,,,,FF,,,,,,,,1.5165,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1487,28.1875,43.80859375,1,0,0,response1disk,,7,-0.59765625,-0.234375,1,0,0,rectangle,-0.59765625,-0.234375,1,0,0,,,,,,,-0.59765625,-0.234375,1,0,0,,0,2,2,152,1,
,,,,,,,,,,,,,FF,,,,,,,,1.083,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2968,46.9453125,14.73828125,1,0,0,response1disk,,6,-12.10546875,5.84765625,1,0,0,rectangle,-12.10546875,5.84765625,1,0,0,,,,,,,-12.10546875,5.84765625,1,0,0,,0,3,3,54,1,
,,,,,,,,,,,,,FF,,,,,,,,2.517,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1265,26.54296875,-40.25390625,1,0,0,response3disk,,4,1.41015625,3.328125,1,0,0,rectangle,1.41015625,3.328125,1,0,0,,,,,,,1.41015625,3.328125,1,0,0,,0,4,4,124,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0836,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,577,41.9921875,-24.015625,1,0,0,response3disk,,5,8.8515625,8.01171875,1,0,0,rectangle,8.8515625,8.01171875,1,0,0,,,,,,,8.8515625,8.01171875,1,0,0,,0,5,5,25,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3834,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1896,-27.5703125,-40.4140625,1,0,0,response5disk,,3,-10.42578125,0.68359375,1,0,0,rectangle,-10.42578125,0.68359375,1,0,0,,,,,,,-10.42578125,0.68359375,1,0,0,,0,6,6,91,1,
,,,,,,,,,,,,,FF,,,,,,,,0.784,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2303,-37.12109375,-23.09375,1,0,0,response5disk,,2,-3.01953125,-2.99609375,1,0,0,rectangle,-3.01953125,-2.99609375,1,0,0,,,,,,,-3.01953125,-2.99609375,1,0,0,,0,7,7,151,1,
,,,,,,,,,,,,,FF,,,,,,,,1.4833,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2056,27.265625,51.34765625,1,0,0,response1disk,,7,6.515625,2.92578125,1,0,0,rectangle,6.515625,2.92578125,1,0,0,,,,,,,6.515625,2.92578125,1,0,0,,0,8,8,118,1,
,,,,,,,,,,,,,FF,,,,,,,,1.6332,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1466,31.2265625,-48.56640625,1,0,0,response3disk,,4,-2.03515625,-2.10546875,1,0,0,rectangle,-2.03515625,-2.10546875,1,0,0,,,,,,,-2.03515625,-2.10546875,1,0,0,,0,9,9,137,1,
,,,,,,,,,,,,,FF,,,,,,,,6.367,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3051,-29.0390625,-46.91796875,1,0,0,response5disk,,3,-7.9453125,0.76171875,1,0,0,rectangle,-7.9453125,0.76171875,1,0,0,,,,,,,-7.9453125,0.76171875,1,0,0,,0,10,10,82,1,
,,,,,,,,,,,,,FF,,,,,,,,1.1831,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2396,52.17578125,-27.6171875,1,0,0,response3disk,,5,-11.94921875,3.9375,1,0,0,rectangle,-11.94921875,3.9375,1,0,0,,,,,,,-11.94921875,3.9375,1,0,0,,0,11,11,66,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2833,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2339,27.0390625,-49.7421875,1,0,0,response3disk,,4,0.109375,4.6015625,1,0,0,rectangle,0.109375,4.6015625,1,0,0,,,,,,,0.109375,4.6015625,1,0,0,,0,12,12,73,1,
,,,,,,,,,,,,,FF,,,,,,,,1.3835,,,,,,,,,,,,,,,,,,,,,,60fda6eee038c8ca51572ade,61036f07c47011d51cdbae9c,2021-07-29_23h16.56.084,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3075,33.375,-38.25390625,1,0,0,response3disk,,4,18.23828125,-0.1953125,1,0,0,rectangle,18.23828125,-0.1953125,1,0,0,,,,,,,18.23828125,-0.1953125,1,0,0,,0,13,13,49,1,
