key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3869,space,4.6144,space,4.7516,space,2.5353,space,0.7668,space,3.1004,136,PF,47.79077148,80.66574097,1,0,0,response1disk_5,7,5.3565,-3.627075195,-6.79119873,1,0,0,rectangle_8,-3.627075195,-6.79119873,1,0,0,-3.627075195,-6.79119873,1,0,0,0,0,0,1,1,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,FF,28.26361084,-76.03442383,1,0,0,response3disk_5,4,2.1997,4.06072998,-9.191223145,1,0,0,rectangle_8,-76.3817749,30.29998779,1,0,0,2.069641113,0.27444458,1,0,0,0,1,1,0,1,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.5002,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,FF,-73.77508545,-33.60858154,1,0,0,response5disk_5,2,2.6333,8.537475586,-1.558563232,1,0,0,rectangle_8,8.537475586,-1.558563232,1,0,0,8.537475586,-1.558563232,1,0,0,0,2,2,3,1,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,FF,84.75799561,28.08306885,1,0,0,response1disk_5,6,2.3158,-3.880737305,4.181335449,1,0,0,rectangle_8,-3.880737305,4.181335449,1,0,0,-3.880737305,4.181335449,1,0,0,0,3,3,5,1,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,-66.78936768,27.70046997,1,0,0,response7disk_5,1,1.2156,-13.16955566,-4.209350586,1,0,0,rectangle_8,-75.53851318,50.64016724,1,0,0,-8.201660156,7.973571777,1,0,0,0,4,4,6,1,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.9503,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,-20.68701172,-77.1171875,1,0,0,response5disk_5,3,4.8666,4.447631836,10.06118774,1,0,0,rectangle_8,4.447631836,10.06118774,1,0,0,4.447631836,10.06118774,1,0,0,0,5,5,2,1,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,92.24475098,45.57470703,1,0,0,response1disk_5,6,1.7006,9.621520996,-9.017028809,1,0,0,rectangle_8,9.621520996,-9.017028809,1,0,0,9.621520996,-9.017028809,1,0,0,0,6,6,4,1,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4821,,,,,,,,,,,,,,,,,,,,,,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.2011,2389,81.93701172,26.91210938,1,0,0,response1disk,,6,20.26251221,-0.573120117,1,0,0,rectangle,20.26251221,-0.573120117,1,0,0,20.26251221,-0.573120117,1,0,0,0,0,0,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8322,,,,,,,,,,,,,,,,,,,,,,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4326,-31.32598877,58.64355469,1,0,0,response7disk,,0,-3.057556152,6.927124023,1,0,0,rectangle,-3.057556152,6.927124023,1,0,0,-3.057556152,6.927124023,1,0,0,0,1,1,98,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2337,,,,,,,,,,,,,,,,,,,,,,60fdb19cd9af60d495e15453,61036d59b6b0254c353273db,2021-07-29_23h09.33.379,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4240,-73.17675781,-22.21856689,1,0,0,response5disk,,2,3.071960449,0.051574707,1,0,0,rectangle,3.071960449,0.051574707,1,0,0,3.071960449,0.051574707,1,0,0,0,2,2,112,1,,,,,,,,
