key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.8604,space,16.4943,space,29.759,space,8.7281,space,5.7728,space,4.5196,83,PF,-95.19998997,-48.00000715,1,0,0,response5disk_5,2,14.6169,-8.799988687,-0.800006449,1,0,0,rectangle_8,-8.799988687,-0.800006449,1,0,0,-8.799988687,-0.800006449,1,0,0,0,0,0,6,1,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,41.60006089,75.19997027,1,0,0,response1disk_5,7,3.7591,5.600060356,0.799993575,1,0,0,rectangle_8,39.20001203,99.19997063,1,0,0,4.000011504,10.39999372,1,0,0,0,1,1,5,1,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.6333,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,PF,48.80001217,92.79999495,1,0,0,response1disk_5,7,6.8109,-15.19998878,-4.000006497,1,0,0,rectangle_8,-15.19998878,-4.000006497,1,0,0,-15.19998878,-4.000006497,1,0,0,0,2,2,1,1,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,FF,-54.39994054,91.99999493,1,0,0,response7disk_5,0,2.8843,3.200011492,3.999993622,1,0,0,rectangle_8,3.200011492,3.999993622,1,0,0,3.200011492,3.999993622,1,0,0,0,3,3,0,1,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,FF,80.80001265,-49.60000718,1,0,0,response3disk_5,5,7.4602,3.200011492,-4.000006497,1,0,0,rectangle_8,41.60006089,103.1999707,1,0,0,-0.799988568,-2.400006473,1,0,0,0,4,4,3,1,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.1967,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,92.80001283,45.59999424,1,0,0,response1disk_5,6,2.7482,-15.99998879,-8.000006557,1,0,0,rectangle_8,-15.99998879,-8.000006557,1,0,0,-15.99998879,-8.000006557,1,0,0,0,5,5,2,1,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,PF,38.40001202,70.39999461,1,0,0,response1disk_5,7,9.2147,3.200011492,3.19999361,1,0,0,rectangle_8,3.200011492,3.19999361,1,0,0,3.200011492,3.19999361,1,0,0,0,6,6,4,1,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9337,,,,,,,,,,,,,,,,,,,,,,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.1187,2844,33.60006077,70.39999461,1,0,0,response1disk,,7,-5.599988639,-0.800006449,1,0,0,rectangle,-5.599988639,-0.800006449,1,0,0,-5.599988639,-0.800006449,1,0,0,0,0,0,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7635,,,,,,,,,,,,,,,,,,,,,,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1457,-58.3999406,-74.40000755,1,0,0,response5disk,,3,16.00001168,3.999993622,1,0,0,rectangle,16.00001168,3.999993622,1,0,0,16.00001168,3.999993622,1,0,0,0,1,1,119,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4322,,,,,,,,,,,,,,,,,,,,,,60fdb491fed04550de2a2068,61036dbc0932c682af6e03df,2021-07-29_23h13.47.463,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3032,56.00001228,96.79999501,1,0,0,response1disk,,7,-17.59998882,-2.400006473,1,0,0,rectangle,-17.59998882,-2.400006473,1,0,0,-17.59998882,-2.400006473,1,0,0,0,2,2,69,1,,,,,,,,
