key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.2249,space,11.6602,space,14.0712,space,11.2167,space,1.8815,space,6.3169,83,PF,91,32,1,0,0,response1disk_5,6,6.9393,0,0,1,0,0,rectangle_8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,62,-44,1,0,0,response3disk_5,5,2.4406,-11,4,1,0,0,rectangle_8,81,-41,1,0,0,12,2,1,0,0,0,1,1,0,1,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.4535,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,PF,-61,-46,1,0,0,response5disk_5,2,4.9888,2,2,1,0,0,rectangle_8,2,2,1,0,0,2,2,1,0,0,0,2,2,2,1,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,FF,47,-71,1,0,0,response3disk_5,4,4.6657,2,4,1,0,0,rectangle_8,2,4,1,0,0,2,4,1,0,0,0,3,3,3,1,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,22,FF,96,-32,1,0,0,response3disk_5,5,3.3007,-2,13,1,0,0,rectangle_8,51,-27,1,0,0,4,-4,1,0,0,0,4,4,5,1,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.264,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,PF,-73,46,1,0,0,response7disk_5,1,5.1973,9,-4,1,0,0,rectangle_8,9,-4,1,0,0,9,-4,1,0,0,0,5,5,4,1,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,PF,28,-78,1,0,0,response3disk_5,4,4.295,11,3,1,0,0,rectangle_8,11,3,1,0,0,11,3,1,0,0,0,6,6,6,1,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0747,,,,,,,,,,,,,,,,,,,,,,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.024,298,61,-92,1,0,0,response3disk,,4,18,-1,1,0,0,rectangle,18,-1,1,0,0,18,-1,1,0,0,0,0,0,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5936,,,,,,,,,,,,,,,,,,,,,,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3497,68,48,1,0,0,response1disk,,6,3,-5,1,0,0,rectangle,3,-5,1,0,0,3,-5,1,0,0,0,1,1,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9097,,,,,,,,,,,,,,,,,,,,,,60fdb4958e221c323ee7e1c5,61036f03db302659b0568e6b,2021-07-29_22h19.26.455,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,260,-58,27,1,0,0,response7disk,,1,9,5,1,0,0,rectangle,9,5,1,0,0,9,5,1,0,0,0,2,2,122,1,,,,,,,,
