key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.3802,space,220.2459,space,56.3032,space,19.4035,space,2.1861,space,3.792,103,PF,-37,69,1,0,0,response7disk_5,0,7.3528,-1,-2,1,0,0,rectangle_8,-1,-2,1,0,0,-1,-2,1,0,0,0,0,0,6,1,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,FF,46,92,1,0,0,response1disk_5,7,16.2021,-3,9,1,0,0,rectangle_8,85,-46,1,0,0,2,-1,1,0,0,0,1,1,5,1,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.3313,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,FF,49,95,1,0,0,response1disk_5,7,9.3997,-3,3,1,0,0,rectangle_8,-3,3,1,0,0,-3,3,1,0,0,0,2,2,0,1,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,PF,49,-68,1,0,0,response3disk_5,4,5.4312,-3,7,1,0,0,rectangle_8,-3,7,1,0,0,-3,7,1,0,0,0,3,3,4,1,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,PF,58,97,1,0,0,response1disk_5,7,2.6874,1,-4,1,0,0,rectangle_8,62,-29,1,0,0,-5,10,1,0,0,0,4,4,2,1,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.3183,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,PF,-32,-69,1,0,0,response5disk_5,3,5.1819,-5,9,1,0,0,rectangle_8,-5,9,1,0,0,-5,9,1,0,0,0,5,5,1,1,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,FF,-89,39,1,0,0,response7disk_5,1,3.518,-2,-1,1,0,0,rectangle_8,-2,-1,1,0,0,-2,-1,1,0,0,0,6,6,3,1,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.532,,,,,,,,,,,,,,,,,,,,,,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.07,3445,-77,38,1,0,0,response7disk,,1,-9,6,1,0,0,rectangle,-9,6,1,0,0,-9,6,1,0,0,0,0,0,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.5516,,,,,,,,,,,,,,,,,,,,,,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3808,-40,89,1,0,0,response7disk,,0,-5,-1,1,0,0,rectangle,-5,-1,1,0,0,-5,-1,1,0,0,0,1,1,39,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5641,,,,,,,,,,,,,,,,,,,,,,60fdca594b75824bdfe2f7fe,61036ef6272321e9cb645269,2021-07-30_05h18.45.024,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2606,-39,78,1,0,0,response7disk,,0,-7,4,1,0,0,rectangle,-7,4,1,0,0,-7,4,1,0,0,0,2,2,76,1,,,,,,,,
