key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.16611,space,8.14521,space,40.5853,space,47.692675,space,3.917115,space,6.022235,27,PF,-37.31640625,-87.03515625,1,0,0,response5disk_5,3,12.065035,-1.703125,-0.40234375,1,0,0,rectangle_8,-1.703125,-0.40234375,1,0,0,-1.703125,-0.40234375,1,0,0,0,0,0,1,1,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,109,PF,42.1015625,-77.97265625,1,0,0,response3disk_5,4,2.816245,4.58984375,-0.0078125,1,0,0,rectangle_8,-86.14453125,47.83203125,1,0,0,11.3671875,1.90234375,1,0,0,0,1,1,2,1,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,4.13532,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,-44.0234375,-73.8671875,1,0,0,response5disk_5,3,4.73258,0.66796875,-5.35546875,1,0,0,rectangle_8,0.66796875,-5.35546875,1,0,0,0.66796875,-5.35546875,1,0,0,0,2,2,6,1,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,FF,45.1171875,73.40234375,1,0,0,response1disk_5,7,2.86623,2.015625,4.6015625,1,0,0,rectangle_8,2.015625,4.6015625,1,0,0,2.015625,4.6015625,1,0,0,0,3,3,3,1,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,122,PF,-52.640625,-86.77734375,1,0,0,response5disk_5,3,2.716005,9.2109375,3.94140625,1,0,0,rectangle_8,-60.453125,34.65625,1,0,0,-6.10546875,3.109375,1,0,0,0,4,4,4,1,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.333295,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,FF,76.04296875,-40.953125,1,0,0,response3disk_5,5,4.66542,-1.08203125,5.671875,1,0,0,rectangle_8,-1.08203125,5.671875,1,0,0,-1.08203125,5.671875,1,0,0,0,5,5,5,1,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,FF,29.484375,87.96875,1,0,0,response1disk_5,7,1.23391,-8.75,-6.74609375,1,0,0,rectangle_8,-8.75,-6.74609375,1,0,0,-8.75,-6.74609375,1,0,0,0,6,6,0,1,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.283895,,,,,,,,,,,,,,,,,,,,,,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,5.024045,2351,47.4375,77.27734375,1,0,0,response1disk,,7,3.453125,3.80859375,1,0,0,rectangle,3.453125,3.80859375,1,0,0,3.453125,3.80859375,1,0,0,0,0,0,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.916805,,,,,,,,,,,,,,,,,,,,,,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4137,33.84765625,96.296875,1,0,0,response1disk,,7,4.796875,-6.44140625,1,0,0,rectangle,4.796875,-6.44140625,1,0,0,4.796875,-6.44140625,1,0,0,0,1,1,70,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.815545,,,,,,,,,,,,,,,,,,,,,,60fdcd21c7b9174239c6f73e,61036b7652747e33664b31ab,2021-07-29_22h02.54.952,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4131,34.11328125,68.93359375,1,0,0,response1disk,,7,-7.64453125,-5.7578125,1,0,0,rectangle,-7.64453125,-5.7578125,1,0,0,-7.64453125,-5.7578125,1,0,0,0,2,2,60,1,,,,,,,,
