key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.17,space,3.636,space,24.785,space,2.913,space,0.681,space,3.533,155,PF,-55,-56,1,0,0,response5disk_5,3,16.877,28,-7,1,0,0,rectangle_8,28,-7,1,0,0,28,-7,1,0,0,0,0,0,2,1,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,FF,46,85,1,0,0,response1disk_5,7,2.672,7,-1,1,0,0,rectangle_8,-31,80,1,0,0,7,-8,1,0,0,0,1,1,3,1,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.702,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,FF,88,35,1,0,0,response1disk_5,6,4.272,1,0,1,0,0,rectangle_8,1,0,1,0,0,1,0,1,0,0,0,2,2,0,1,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,PF,100,53,1,0,0,response1disk_5,6,2.424,23,-8,1,0,0,rectangle_8,23,-8,1,0,0,23,-8,1,0,0,0,3,3,6,1,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,PF,-70,-38,1,0,0,response5disk_5,2,4.489,1,-2,1,0,0,rectangle_8,-49,67,1,0,0,-9,1,1,0,0,0,4,4,4,1,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.395,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,FF,87,29,1,0,0,response1disk_5,6,2.546,20,6,1,0,0,rectangle_8,20,6,1,0,0,20,6,1,0,0,0,5,5,5,1,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,PF,94,43,1,0,0,response1disk_5,6,2.186,9,3,1,0,0,rectangle_8,9,3,1,0,0,9,3,1,0,0,0,6,6,1,1,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.684,,,,,,,,,,,,,,,,,,,,,,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.56,1458,-61,-33,1,0,0,response5disk,,2,6,-3,1,0,0,rectangle,6,-3,1,0,0,6,-3,1,0,0,0,0,0,76,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.544,,,,,,,,,,,,,,,,,,,,,,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2653,-39,-78,1,0,0,response5disk,,3,-8,-12,1,0,0,rectangle,-8,-12,1,0,0,-8,-12,1,0,0,0,1,1,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.309,,,,,,,,,,,,,,,,,,,,,,60fdd2cafe684291d330f316,610369ad2ef4c8c2e0f41258,2021-07-29_22h54.37.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3944,-45,-78,1,0,0,response5disk,,3,-1,-11,1,0,0,rectangle,-1,-11,1,0,0,-1,-11,1,0,0,0,2,2,133,1,,,,,,,,
