key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2763,space,18.8121,space,55.5629,space,8.1991,space,2.872,space,4.0172,59,FF,42.66668701,89.99999195,1,0,0,response1disk_5,7,3.1353,2.66668582,-2.000010788,1,0,0,rectangle_8,2.66668582,-2.000010788,1,0,0,2.66668582,-2.000010788,1,0,0,0,0,0,0,1,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,PF,43.3333537,17.33332312,1,0,0,response1disk_5,6,4.8832,18.6666863,-7.333344281,1,0,0,rectangle_8,-81.99998337,-48.00001216,1,0,0,16.00001955,9.999989569,1,0,0,0,1,1,6,1,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.5155,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,PF,75.33335465,33.33330325,1,0,0,response1disk_5,6,3.1663,12.00001943,-4.666677535,1,0,0,rectangle_8,12.00001943,-4.666677535,1,0,0,12.00001943,-4.666677535,1,0,0,0,2,2,4,1,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,FF,24.00001979,68.66665798,1,0,0,response1disk_5,7,1.149,6.000019252,-10.66667771,1,0,0,rectangle_8,6.000019252,-10.66667771,1,0,0,6.000019252,-10.66667771,1,0,0,0,3,3,3,1,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,PF,39.33339427,-60.6666792,1,0,0,response3disk_5,4,1.7336,8.000019312,-6.666677594,1,0,0,rectangle_8,-56.66660859,-45.33334541,1,0,0,4.000019193,-1.07288E-05,1,0,0,0,4,4,1,1,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.6668,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,FF,-27.99998176,76.66665822,1,0,0,response7disk_5,0,1.3333,16.66668624,-2.000010788,1,0,0,rectangle_8,16.66668624,-2.000010788,1,0,0,16.66668624,-2.000010788,1,0,0,0,5,5,5,1,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62,PF,62.00002092,29.99999017,1,0,0,response1disk_5,6,1.6668,1.9735E-05,-7.333344281,1,0,0,rectangle_8,1.9735E-05,-7.333344281,1,0,0,1.9735E-05,-7.333344281,1,0,0,0,6,6,2,1,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7839,,,,,,,,,,,,,,,,,,,,,,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9801,224,66.66668773,22.66665661,1,0,0,response1disk,,6,7.333393315,-6.000010908,1,0,0,rectangle,7.333393315,-6.000010908,1,0,0,7.333393315,-6.000010908,1,0,0,0,0,0,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1997,,,,,,,,,,,,,,,,,,,,,,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1427,59.33335418,30.66665685,1,0,0,response1disk,,6,-1.3333143,-6.000010908,1,0,0,rectangle,-1.3333143,-6.000010908,1,0,0,-1.3333143,-6.000010908,1,0,0,0,1,1,31,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3502,,,,,,,,,,,,,,,,,,,,,,60fdd47cb6da7411e888e23c,61036dd7292d5a54a075b625,2021-07-29_22h12.00.124,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,974,27.33339391,-72.66667956,1,0,0,response3disk,,4,-2.666606983,3.333322704,1,0,0,rectangle,-2.666606983,3.333322704,1,0,0,-2.666606983,3.333322704,1,0,0,0,2,2,47,1,,,,,,,,
