key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6394,space,3.6726,space,22.9951,space,2.9455,space,1.0262,space,2.9558,86,PF,28,-46,1,0,0,response3disk_5,4,6.5912,5,10,1,0,0,rectangle_8,5,10,1,0,0,5,10,1,0,0,0,0,0,4,1,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,FF,17,37,1,0,0,response1disk_5,7,1.5142,-3,2,1,0,0,rectangle_8,46,-22,1,0,0,-1,-4,1,0,0,0,1,1,3,1,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.5295,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,PF,15,-47,1,0,0,response3disk_5,4,2.163,0,3,1,0,0,rectangle_8,0,3,1,0,0,0,3,1,0,0,0,2,2,1,1,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,FF,47,-25,1,0,0,response3disk_5,5,1.3645,5,-7,1,0,0,rectangle_8,5,-7,1,0,0,5,-7,1,0,0,0,3,3,5,1,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,PF,14,37,1,0,0,response1disk_5,7,1.481,-4,-2,1,0,0,rectangle_8,48,-21,1,0,0,11,2,1,0,0,0,4,4,2,1,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.3462,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,FF,21,50,1,0,0,response1disk_5,7,1.3478,5,-3,1,0,0,rectangle_8,5,-3,1,0,0,5,-3,1,0,0,0,5,5,0,1,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,19,-47,1,0,0,response3disk_5,4,2.7788,-1,-2,1,0,0,rectangle_8,-1,-2,1,0,0,-1,-2,1,0,0,0,6,6,6,1,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2647,,,,,,,,,,,,,,,,,,,,,,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2194,4133,13,-26,1,0,0,response3disk,,4,-4,9,1,0,0,rectangle,-4,9,1,0,0,-4,9,1,0,0,0,0,0,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4479,,,,,,,,,,,,,,,,,,,,,,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2791,-18,-41,1,0,0,response5disk,,3,-5,-1,1,0,0,rectangle,-5,-1,1,0,0,-5,-1,1,0,0,0,1,1,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7804,,,,,,,,,,,,,,,,,,,,,,60fdda0524e89e50a1cc0ba9,61036af878938179e74f578e,2021-07-29_19h59.46.594,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1119,44,-31,1,0,0,response3disk,,5,5,-6,1,0,0,rectangle,5,-6,1,0,0,5,-6,1,0,0,0,2,2,2,1,,,,,,,,
