key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.154,space,29.4385,space,26.3878,space,16.2608,space,1.961099999,space,5.9147,143,PF,-50.390625,121.8515625,1,0,0,response7disk_5,0,7.0566,-3.65625,-8.40625,1,0,0,rectangle_8,-3.65625,-8.40625,1,0,0,-3.65625,-8.40625,1,0,0,0,0,0,2,1,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,FF,35.921875,-75.07421875,1,0,0,response3disk_5,4,4.528,-4.7578125,-2.6953125,1,0,0,rectangle_8,38.0078125,64.92578125,1,0,0,9.98046875,2.546875,1,0,0,0,1,1,5,1,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,4.2615,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,41.88671875,-83.1953125,1,0,0,response3disk_5,4,3.6406,5.1953125,-3.8828125,1,0,0,rectangle_8,5.1953125,-3.8828125,1,0,0,5.1953125,-3.8828125,1,0,0,0,2,2,0,1,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,141,PF,-17.65234375,-58.5390625,1,0,0,response5disk_5,3,3.968400001,-1.2578125,6.453125,1,0,0,rectangle_8,-1.2578125,6.453125,1,0,0,-1.2578125,6.453125,1,0,0,0,3,3,6,1,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,-42.92578125,-19.56640625,1,0,0,response5disk_5,2,1.788599999,12.875,7.73828125,1,0,0,rectangle_8,35.74609375,68.2265625,1,0,0,13.3515625,-13.125,1,0,0,0,4,4,3,1,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.9865,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,PF,-30.97265625,-70.4453125,1,0,0,response5disk_5,3,4.7962,-11.40625,2.0390625,1,0,0,rectangle_8,-11.40625,2.0390625,1,0,0,-11.40625,2.0390625,1,0,0,0,5,5,4,1,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,155,PF,41.375,-27.55078125,1,0,0,response3disk_5,5,1.6383,22.8515625,-12.24609375,1,0,0,rectangle_8,22.8515625,-12.24609375,1,0,0,22.8515625,-12.24609375,1,0,0,0,6,6,1,1,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.787700001,,,,,,,,,,,,,,,,,,,,,,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,5.2813,3105,30.11328125,-76.05859375,1,0,0,response3disk,,4,-13.02734375,4.8359375,1,0,0,rectangle,-13.02734375,4.8359375,1,0,0,-13.02734375,4.8359375,1,0,0,0,0,0,124,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9564,,,,,,,,,,,,,,,,,,,,,,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4054,38.05078125,-29.01171875,1,0,0,response3disk,,5,27.046875,-13.91015625,1,0,0,rectangle,27.046875,-13.91015625,1,0,0,27.046875,-13.91015625,1,0,0,0,1,1,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.557,,,,,,,,,,,,,,,,,,,,,,60fddd15f7f160155121ae9e,61036b3723a23dcf36216c90,2021-07-29_20h01.01.694,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3951,28.3359375,-37.45703125,1,0,0,response3disk,,4,21.51953125,-1.18359375,1,0,0,rectangle,21.51953125,-1.18359375,1,0,0,21.51953125,-1.18359375,1,0,0,0,2,2,108,1,,,,,,,,
